initial_state_mean,transition_matrix,observation_matrix,process_noise_covariance,observation_noise_covariance,initial_covariance,avg_residual_mean,avg_residual_std,avg_covariance_diff
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",6.191923791009353,27.109093029320764,156.98676110702962
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",4.556591592193604,34.99525304498708,239.30189670296102
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",5.741125770602225,30.135335646093516,218.74298092118323
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",2.921506674136826,47.111548167282756,463.0598742349552
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",9.291044850088442,31.52865721010842,126.67225151833844
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",6.295674035612146,25.285253255155848,78.13405129393786
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",11.006482666341645,37.154338146320946,188.9614290890189
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",6.165096842311536,28.230723895560374,134.78163302428464
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",-7.662761681821809,32.81124114216798,206.0846333830527
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",-9.809599136033729,40.269229329929296,324.14338503677243
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",-7.89752810133239,35.379542969603776,266.26914329150515
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",-11.224897592997108,55.05588562356688,633.2341489295483
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",-3.620795329725631,38.77873071992166,173.60295613153096
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",-7.494664402370317,33.400710043008424,100.021882728678
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",-1.8294061426956023,42.426884586515015,235.8440195798222
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",-7.748956582527684,34.58891912360248,178.37711602394418
