Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.712 (0.687, 0.687)","0.022 (0.021, 0.021)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.021, 0.021)",Model
0.01,"0.712 (0.687, 0.687)","0.383 (0.371, 0.371)","0.837 (0.812, 0.812)","0.373 (0.364, 0.364)","0.029 (0.028, 0.028)",Model
0.02,"0.712 (0.687, 0.687)","0.692 (0.686, 0.686)","0.615 (0.565, 0.565)","0.693 (0.686, 0.686)","0.042 (0.038, 0.038)",Model
0.03,"0.712 (0.687, 0.687)","0.828 (0.820, 0.820)","0.457 (0.413, 0.413)","0.836 (0.829, 0.829)","0.058 (0.050, 0.050)",Model
0.04,"0.712 (0.687, 0.687)","0.898 (0.896, 0.896)","0.360 (0.357, 0.357)","0.910 (0.905, 0.905)","0.082 (0.071, 0.071)",Model
0.05,"0.712 (0.687, 0.687)","0.933 (0.931, 0.931)","0.279 (0.268, 0.268)","0.947 (0.945, 0.945)","0.106 (0.088, 0.088)",Model
0.06,"0.712 (0.687, 0.687)","0.948 (0.946, 0.946)","0.237 (0.196, 0.196)","0.964 (0.961, 0.961)","0.129 (0.114, 0.114)",Model
0.07,"0.712 (0.687, 0.687)","0.956 (0.953, 0.953)","0.195 (0.149, 0.149)","0.973 (0.969, 0.969)","0.134 (0.113, 0.113)",Model
0.08,"0.712 (0.687, 0.687)","0.962 (0.957, 0.957)","0.165 (0.106, 0.106)","0.980 (0.975, 0.975)","0.144 (0.122, 0.122)",Model
0.09,"0.712 (0.687, 0.687)","0.966 (0.964, 0.964)","0.138 (0.085, 0.085)","0.984 (0.981, 0.981)","0.153 (0.121, 0.121)",Model
0.1,"0.712 (0.687, 0.687)","0.968 (0.966, 0.966)","0.121 (0.085, 0.085)","0.986 (0.984, 0.984)","0.158 (0.128, 0.128)",Model
0.11,"0.712 (0.687, 0.687)","0.970 (0.969, 0.969)","0.103 (0.085, 0.085)","0.989 (0.987, 0.987)","0.167 (0.156, 0.156)",Model
0.12,"0.712 (0.687, 0.687)","0.971 (0.969, 0.969)","0.095 (0.085, 0.085)","0.990 (0.989, 0.989)","0.179 (0.133, 0.133)",Model
0.13,"0.712 (0.687, 0.687)","0.972 (0.969, 0.969)","0.095 (0.085, 0.085)","0.991 (0.990, 0.990)","0.188 (0.150, 0.150)",Model
0.14,"0.712 (0.687, 0.687)","0.973 (0.971, 0.971)","0.083 (0.065, 0.065)","0.992 (0.992, 0.992)","0.196 (0.150, 0.150)",Model
0.15,"0.712 (0.687, 0.687)","0.974 (0.971, 0.971)","0.083 (0.065, 0.065)","0.993 (0.993, 0.993)","0.224 (0.188, 0.188)",Model
0.16,"0.712 (0.687, 0.687)","0.974 (0.972, 0.972)","0.078 (0.062, 0.062)","0.994 (0.994, 0.994)","0.234 (0.200, 0.200)",Model
0.17,"0.712 (0.687, 0.687)","0.975 (0.973, 0.973)","0.078 (0.062, 0.062)","0.995 (0.994, 0.994)","0.267 (0.200, 0.200)",Model
0.18,"0.712 (0.687, 0.687)","0.975 (0.973, 0.973)","0.069 (0.043, 0.043)","0.995 (0.994, 0.994)","0.271 (0.143, 0.143)",Model
0.19,"0.712 (0.687, 0.687)","0.976 (0.974, 0.974)","0.057 (0.042, 0.042)","0.996 (0.996, 0.996)","0.258 (0.182, 0.182)",Model
0.2,"0.712 (0.687, 0.687)","0.976 (0.975, 0.975)","0.053 (0.022, 0.022)","0.996 (0.996, 0.996)","0.265 (0.125, 0.125)",Model
0.21,"0.712 (0.687, 0.687)","0.976 (0.975, 0.975)","0.048 (0.022, 0.022)","0.997 (0.996, 0.996)","0.265 (0.143, 0.143)",Model
0.22,"0.712 (0.687, 0.687)","0.976 (0.975, 0.975)","0.040 (0.022, 0.022)","0.997 (0.996, 0.996)","0.247 (0.111, 0.111)",Model
0.23,"0.712 (0.687, 0.687)","0.977 (0.975, 0.975)","0.040 (0.022, 0.022)","0.997 (0.997, 0.997)","0.257 (0.143, 0.143)",Model
0.24,"0.712 (0.687, 0.687)","0.977 (0.975, 0.975)","0.032 (0.022, 0.022)","0.997 (0.997, 0.997)","0.239 (0.100, 0.100)",Model
0.25,"0.712 (0.687, 0.687)","0.977 (0.976, 0.976)","0.029 (0.022, 0.022)","0.998 (0.997, 0.997)","0.231 (0.125, 0.125)",Model
0.26,"0.712 (0.687, 0.687)","0.977 (0.976, 0.976)","0.020 (0.000, 0.000)","0.998 (0.997, 0.997)","0.192 (0.000, 0.000)",Model
0.27,"0.712 (0.687, 0.687)","0.977 (0.976, 0.976)","0.012 (0.000, 0.000)","0.998 (0.998, 0.998)","0.147 (0.000, 0.000)",Model
0.28,"0.712 (0.687, 0.687)","0.977 (0.976, 0.976)","0.009 (0.000, 0.000)","0.999 (0.999, 0.999)","0.117 (0.000, 0.000)",Model
0.29,"0.712 (0.687, 0.687)","0.977 (0.976, 0.976)","0.009 (0.000, 0.000)","0.999 (0.999, 0.999)","0.117 (0.000, 0.000)",Model
0.3,"0.712 (0.687, 0.687)","0.977 (0.976, 0.976)","0.009 (0.000, 0.000)","0.999 (0.999, 0.999)","0.117 (0.000, 0.000)",Model
0.31,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.009 (0.000, 0.000)","0.999 (0.999, 0.999)","0.117 (0.000, 0.000)",Model
0.32,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.009 (0.000, 0.000)","0.999 (0.999, 0.999)","0.117 (0.000, 0.000)",Model
0.33,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.004 (0.000, 0.000)","0.999 (0.999, 0.999)","0.067 (0.000, 0.000)",Model
0.34,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.004 (0.000, 0.000)","0.999 (0.999, 0.999)","0.067 (0.000, 0.000)",Model
0.35000000000000003,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.004 (0.000, 0.000)","0.999 (0.999, 0.999)","0.067 (0.000, 0.000)",Model
0.36,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.37,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.38,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.39,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.4,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.41000000000000003,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.42,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.43,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.44,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.45,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.46,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.47000000000000003,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.48,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.49,"0.712 (0.687, 0.687)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.51,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.52,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.53,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.54,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.55,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.56,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5700000000000001,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.58,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.59,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.61,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.62,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.63,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.64,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.65,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.66,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.67,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.68,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6900000000000001,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.7000000000000001,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.71,"0.712 (0.687, 0.687)","0.978 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
