,ady_dna,avisitn,aval_AlloSure,aval_AlloMap
count,8856.0,8856.0,8856.0,8856.0
mean,285.8200090334237,288.89961607949414,0.23436897759701866,30.183717253839205
std,223.68567754111982,222.3732375462811,0.7823788262440781,5.9283705913830245
min,43.0,30.0,-0.068664629,3.0
25%,147.0,182.0,0.0255104443,27.0
50%,226.0,182.0,0.058229004550000005,31.0
75%,340.25,365.0,0.139182001075,35.0
max,2059.0,2098.0,16.834724983,39.0
