Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.02,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.04,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.06,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.08,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.1,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.12,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.14,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.16,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.18,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.2,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.22,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.24,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.26,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.28,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.3,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.32,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.34,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.36,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.38,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.4,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.42,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.44,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.46,"0.580 (0.573, 0.608)","0.081 (0.078, 0.083)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.081 (0.078, 0.083)",Model
0.48,"0.580 (0.573, 0.608)","0.099 (0.083, 0.101)","0.970 (0.969, 1.000)","0.020 (0.019, 0.023)","0.082 (0.074, 0.082)",Model
0.5,"0.580 (0.573, 0.608)","0.405 (0.382, 0.410)","0.719 (0.667, 0.720)","0.377 (0.358, 0.381)","0.094 (0.078, 0.095)",Model
0.52,"0.580 (0.573, 0.608)","0.919 (0.917, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.54,"0.580 (0.573, 0.608)","0.919 (0.917, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.56,"0.580 (0.573, 0.608)","0.919 (0.917, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.58,"0.580 (0.573, 0.608)","0.919 (0.917, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.02,"0.651 (0.640, 0.659)","0.221 (0.213, 0.234)","0.920 (0.909, 0.933)","0.161 (0.147, 0.170)","0.087 (0.086, 0.091)",AlloSure
0.04,"0.651 (0.640, 0.659)","0.371 (0.353, 0.379)","0.774 (0.727, 0.833)","0.336 (0.317, 0.347)","0.094 (0.093, 0.098)",AlloSure
0.06,"0.651 (0.640, 0.659)","0.486 (0.470, 0.486)","0.697 (0.677, 0.700)","0.466 (0.451, 0.478)","0.104 (0.097, 0.107)",AlloSure
0.08,"0.651 (0.640, 0.659)","0.564 (0.551, 0.582)","0.594 (0.548, 0.667)","0.572 (0.547, 0.574)","0.109 (0.106, 0.113)",AlloSure
0.1,"0.651 (0.640, 0.659)","0.647 (0.616, 0.655)","0.562 (0.548, 0.600)","0.656 (0.617, 0.661)","0.117 (0.115, 0.137)",AlloSure
0.12,"0.651 (0.640, 0.659)","0.678 (0.660, 0.714)","0.562 (0.516, 0.600)","0.694 (0.666, 0.722)","0.132 (0.131, 0.145)",AlloSure
0.14,"0.651 (0.640, 0.659)","0.706 (0.688, 0.738)","0.562 (0.484, 0.567)","0.725 (0.700, 0.753)","0.145 (0.137, 0.150)",AlloSure
0.16,"0.651 (0.640, 0.659)","0.738 (0.727, 0.756)","0.533 (0.484, 0.562)","0.761 (0.742, 0.773)","0.165 (0.142, 0.169)",AlloSure
0.18,"0.651 (0.640, 0.659)","0.753 (0.735, 0.774)","0.469 (0.452, 0.500)","0.781 (0.759, 0.798)","0.150 (0.146, 0.171)",AlloSure
0.2,"0.651 (0.640, 0.659)","0.771 (0.748, 0.774)","0.469 (0.387, 0.485)","0.800 (0.773, 0.801)","0.158 (0.153, 0.158)",AlloSure
0.22,"0.651 (0.640, 0.659)","0.771 (0.764, 0.787)","0.406 (0.387, 0.433)","0.808 (0.793, 0.818)","0.151 (0.149, 0.162)",AlloSure
0.24,"0.651 (0.640, 0.659)","0.782 (0.774, 0.790)","0.355 (0.344, 0.433)","0.819 (0.805, 0.828)","0.153 (0.138, 0.157)",AlloSure
0.26,"0.651 (0.640, 0.659)","0.790 (0.784, 0.792)","0.355 (0.344, 0.424)","0.828 (0.816, 0.831)","0.155 (0.145, 0.165)",AlloSure
0.28,"0.651 (0.640, 0.659)","0.800 (0.797, 0.803)","0.344 (0.323, 0.424)","0.839 (0.834, 0.842)","0.149 (0.149, 0.181)",AlloSure
0.3,"0.651 (0.640, 0.659)","0.800 (0.797, 0.800)","0.344 (0.323, 0.400)","0.839 (0.834, 0.844)","0.155 (0.149, 0.169)",AlloSure
0.32,"0.651 (0.640, 0.659)","0.805 (0.800, 0.805)","0.344 (0.290, 0.394)","0.845 (0.839, 0.850)","0.159 (0.141, 0.174)",AlloSure
0.34,"0.651 (0.640, 0.659)","0.810 (0.808, 0.813)","0.344 (0.290, 0.364)","0.850 (0.850, 0.856)","0.172 (0.145, 0.182)",AlloSure
0.36,"0.651 (0.640, 0.659)","0.818 (0.816, 0.818)","0.344 (0.290, 0.364)","0.864 (0.856, 0.864)","0.177 (0.158, 0.185)",AlloSure
0.38,"0.651 (0.640, 0.659)","0.826 (0.823, 0.829)","0.344 (0.290, 0.364)","0.870 (0.862, 0.875)","0.180 (0.164, 0.197)",AlloSure
0.4,"0.651 (0.640, 0.659)","0.834 (0.826, 0.836)","0.344 (0.290, 0.364)","0.873 (0.870, 0.883)","0.186 (0.167, 0.207)",AlloSure
0.42,"0.651 (0.640, 0.659)","0.836 (0.831, 0.839)","0.344 (0.290, 0.364)","0.879 (0.873, 0.886)","0.190 (0.173, 0.211)",AlloSure
0.44,"0.651 (0.640, 0.659)","0.842 (0.831, 0.844)","0.344 (0.290, 0.364)","0.879 (0.879, 0.892)","0.200 (0.173, 0.218)",AlloSure
0.46,"0.651 (0.640, 0.659)","0.842 (0.831, 0.847)","0.312 (0.290, 0.333)","0.882 (0.879, 0.894)","0.185 (0.173, 0.208)",AlloSure
0.48,"0.651 (0.640, 0.659)","0.847 (0.839, 0.847)","0.312 (0.290, 0.333)","0.890 (0.887, 0.894)","0.200 (0.184, 0.204)",AlloSure
0.5,"0.651 (0.640, 0.659)","0.847 (0.842, 0.852)","0.312 (0.290, 0.333)","0.894 (0.890, 0.896)","0.204 (0.184, 0.213)",AlloSure
0.52,"0.651 (0.640, 0.659)","0.847 (0.844, 0.849)","0.281 (0.267, 0.290)","0.896 (0.895, 0.897)","0.191 (0.178, 0.196)",AlloSure
0.54,"0.651 (0.640, 0.659)","0.852 (0.849, 0.857)","0.281 (0.233, 0.290)","0.904 (0.901, 0.908)","0.200 (0.171, 0.205)",AlloSure
0.56,"0.651 (0.640, 0.659)","0.855 (0.852, 0.865)","0.250 (0.200, 0.258)","0.910 (0.907, 0.917)","0.186 (0.158, 0.195)",AlloSure
0.58,"0.651 (0.640, 0.659)","0.857 (0.855, 0.868)","0.250 (0.200, 0.258)","0.913 (0.907, 0.918)","0.195 (0.162, 0.195)",AlloSure
0.02,"0.680 (0.645, 0.683)","0.013 (0.013, 0.014)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.013 (0.013, 0.014)",Logistic Regression
0.04,"0.680 (0.645, 0.683)","0.013 (0.013, 0.014)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.013 (0.013, 0.014)",Logistic Regression
0.06,"0.680 (0.645, 0.683)","0.013 (0.013, 0.014)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.013 (0.013, 0.014)",Logistic Regression
0.08,"0.680 (0.645, 0.683)","0.906 (0.905, 0.907)","0.344 (0.290, 0.364)","0.913 (0.912, 0.916)","0.052 (0.045, 0.056)",Logistic Regression
0.1,"0.680 (0.645, 0.683)","0.959 (0.959, 0.965)","0.156 (0.067, 0.194)","0.970 (0.969, 0.977)","0.059 (0.038, 0.080)",Logistic Regression
0.12,"0.680 (0.645, 0.683)","0.969 (0.968, 0.975)","0.125 (0.040, 0.129)","0.980 (0.979, 0.987)","0.074 (0.034, 0.082)",Logistic Regression
0.14,"0.680 (0.645, 0.683)","0.973 (0.972, 0.979)","0.040 (0.031, 0.097)","0.985 (0.984, 0.991)","0.045 (0.027, 0.071)",Logistic Regression
0.16,"0.680 (0.645, 0.683)","0.976 (0.975, 0.982)","0.040 (0.031, 0.097)","0.988 (0.988, 0.994)","0.067 (0.034, 0.088)",Logistic Regression
0.18,"0.680 (0.645, 0.683)","0.979 (0.976, 0.983)","0.040 (0.031, 0.097)","0.991 (0.989, 0.994)","0.067 (0.037, 0.100)",Logistic Regression
0.2,"0.680 (0.645, 0.683)","0.979 (0.978, 0.983)","0.040 (0.031, 0.097)","0.991 (0.991, 0.995)","0.077 (0.043, 0.120)",Logistic Regression
0.22,"0.680 (0.645, 0.683)","0.979 (0.979, 0.984)","0.040 (0.031, 0.091)","0.992 (0.992, 0.996)","0.100 (0.050, 0.130)",Logistic Regression
0.24,"0.680 (0.645, 0.683)","0.980 (0.980, 0.985)","0.040 (0.031, 0.061)","0.993 (0.993, 0.996)","0.111 (0.056, 0.118)",Logistic Regression
0.26,"0.680 (0.645, 0.683)","0.980 (0.980, 0.985)","0.040 (0.031, 0.061)","0.993 (0.993, 0.997)","0.105 (0.059, 0.118)",Logistic Regression
0.28,"0.680 (0.645, 0.683)","0.981 (0.981, 0.986)","0.040 (0.031, 0.061)","0.994 (0.993, 0.997)","0.111 (0.067, 0.118)",Logistic Regression
0.3,"0.680 (0.645, 0.683)","0.981 (0.981, 0.986)","0.040 (0.031, 0.061)","0.994 (0.994, 0.998)","0.118 (0.071, 0.125)",Logistic Regression
0.32,"0.680 (0.645, 0.683)","0.982 (0.981, 0.986)","0.040 (0.031, 0.061)","0.995 (0.994, 0.998)","0.133 (0.071, 0.143)",Logistic Regression
0.34,"0.680 (0.645, 0.683)","0.982 (0.982, 0.986)","0.031 (0.030, 0.040)","0.995 (0.995, 0.998)","0.083 (0.077, 0.143)",Logistic Regression
0.36,"0.680 (0.645, 0.683)","0.983 (0.982, 0.986)","0.031 (0.030, 0.040)","0.996 (0.996, 0.998)","0.091 (0.091, 0.143)",Logistic Regression
0.38,"0.680 (0.645, 0.683)","0.983 (0.982, 0.986)","0.031 (0.030, 0.040)","0.996 (0.996, 0.998)","0.100 (0.100, 0.143)",Logistic Regression
0.4,"0.680 (0.645, 0.683)","0.983 (0.983, 0.986)","0.030 (0.000, 0.031)","0.997 (0.997, 0.998)","0.100 (0.000, 0.111)",Logistic Regression
0.42,"0.680 (0.645, 0.683)","0.984 (0.984, 0.986)","0.030 (0.000, 0.031)","0.997 (0.997, 0.999)","0.125 (0.000, 0.125)",Logistic Regression
0.44,"0.680 (0.645, 0.683)","0.985 (0.984, 0.986)","0.030 (0.000, 0.031)","0.998 (0.998, 0.999)","0.143 (0.000, 0.167)",Logistic Regression
0.46,"0.680 (0.645, 0.683)","0.985 (0.984, 0.986)","0.030 (0.000, 0.031)","0.998 (0.998, 0.999)","0.143 (0.000, 0.167)",Logistic Regression
0.48,"0.680 (0.645, 0.683)","0.985 (0.984, 0.986)","0.030 (0.000, 0.031)","0.998 (0.998, 0.999)","0.143 (0.000, 0.167)",Logistic Regression
0.5,"0.680 (0.645, 0.683)","0.985 (0.985, 0.986)","0.030 (0.000, 0.031)","0.998 (0.998, 0.999)","0.167 (0.000, 0.167)",Logistic Regression
0.52,"0.680 (0.645, 0.683)","0.985 (0.985, 0.986)","0.030 (0.000, 0.031)","0.998 (0.998, 1.000)","0.167 (0.000, 0.200)",Logistic Regression
0.54,"0.680 (0.645, 0.683)","0.985 (0.985, 0.986)","0.030 (0.000, 0.031)","0.998 (0.998, 1.000)","0.200 (0.000, 0.200)",Logistic Regression
0.56,"0.680 (0.645, 0.683)","0.985 (0.985, 0.986)","0.030 (0.000, 0.031)","0.998 (0.998, 1.000)","0.200 (0.000, 0.200)",Logistic Regression
0.58,"0.680 (0.645, 0.683)","0.985 (0.985, 0.987)","0.030 (0.000, 0.031)","0.998 (0.998, 1.000)","0.200 (0.000, 0.200)",Logistic Regression
