,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.7461081291817172,0.6915548539857932,0.684931506849315,0.6919170898193624,0.10840761262346423,Full Dataset
1,0.2,0.7461081291817172,0.8240726124704025,0.573820395738204,0.8377590943144926,0.16208082545141875,Full Dataset
2,0.30000000000000004,0.7461081291817172,0.8664561957379637,0.4916286149162861,0.886955797885624,0.19214753123140987,Full Dataset
3,0.4,0.7461081291817172,0.888950276243094,0.4520547945205479,0.9128444185465745,0.22098214285714285,Full Dataset
4,0.5,0.7461081291817172,0.9015785319652723,0.4079147640791476,0.9285773745109465,0.23801065719360567,Full Dataset
5,0.1,0.7552927291960534,0.692035745850928,0.696113074204947,0.691795778309244,0.11733174508636093,Test Dataset
6,0.2,0.7552927291960534,0.8227437886673868,0.5848056537102474,0.8367474264323593,0.174118884797475,Test Dataset
7,0.30000000000000004,0.7552927291960534,0.8638907983894727,0.5,0.8853072683789124,0.2041847041847042,Test Dataset
8,0.4,0.7552927291960534,0.8857900422272414,0.46113074204946997,0.910782988457939,0.23324396782841822,Test Dataset
9,0.5,0.7552927291960534,0.8979672002356869,0.4169611307420495,0.9262763855672247,0.24973544973544973,Test Dataset
