Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.679 (0.642, 0.642)","0.025 (0.025, 0.025)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.025 (0.025, 0.025)",Model
0.01,"0.679 (0.642, 0.642)","0.226 (0.174, 0.174)","0.897 (0.860, 0.860)","0.209 (0.154, 0.154)","0.028 (0.028, 0.028)",Model
0.02,"0.679 (0.642, 0.642)","0.579 (0.546, 0.546)","0.661 (0.615, 0.615)","0.577 (0.540, 0.540)","0.039 (0.036, 0.036)",Model
0.03,"0.679 (0.642, 0.642)","0.747 (0.715, 0.715)","0.495 (0.385, 0.385)","0.754 (0.719, 0.719)","0.048 (0.042, 0.042)",Model
0.04,"0.679 (0.642, 0.642)","0.836 (0.812, 0.812)","0.387 (0.279, 0.279)","0.848 (0.822, 0.822)","0.060 (0.050, 0.050)",Model
0.05,"0.679 (0.642, 0.642)","0.891 (0.881, 0.881)","0.311 (0.256, 0.256)","0.906 (0.893, 0.893)","0.076 (0.065, 0.065)",Model
0.06,"0.679 (0.642, 0.642)","0.924 (0.917, 0.917)","0.269 (0.209, 0.209)","0.941 (0.928, 0.928)","0.101 (0.091, 0.091)",Model
0.07,"0.679 (0.642, 0.642)","0.944 (0.940, 0.940)","0.194 (0.116, 0.116)","0.964 (0.956, 0.956)","0.116 (0.093, 0.093)",Model
0.08,"0.679 (0.642, 0.642)","0.958 (0.956, 0.956)","0.159 (0.096, 0.096)","0.978 (0.974, 0.974)","0.149 (0.118, 0.118)",Model
0.09,"0.679 (0.642, 0.642)","0.965 (0.965, 0.965)","0.126 (0.077, 0.077)","0.986 (0.983, 0.983)","0.186 (0.125, 0.125)",Model
0.1,"0.679 (0.642, 0.642)","0.968 (0.969, 0.969)","0.114 (0.070, 0.070)","0.989 (0.988, 0.988)","0.217 (0.133, 0.133)",Model
0.11,"0.679 (0.642, 0.642)","0.970 (0.971, 0.971)","0.091 (0.070, 0.070)","0.992 (0.992, 0.992)","0.242 (0.154, 0.154)",Model
0.12,"0.679 (0.642, 0.642)","0.971 (0.972, 0.972)","0.077 (0.067, 0.067)","0.994 (0.993, 0.993)","0.267 (0.176, 0.176)",Model
0.13,"0.679 (0.642, 0.642)","0.972 (0.973, 0.973)","0.067 (0.067, 0.067)","0.995 (0.994, 0.994)","0.301 (0.188, 0.188)",Model
0.14,"0.679 (0.642, 0.642)","0.973 (0.974, 0.974)","0.063 (0.058, 0.058)","0.996 (0.996, 0.996)","0.365 (0.250, 0.250)",Model
0.15,"0.679 (0.642, 0.642)","0.974 (0.974, 0.974)","0.058 (0.049, 0.049)","0.997 (0.996, 0.996)","0.445 (0.250, 0.250)",Model
0.16,"0.679 (0.642, 0.642)","0.974 (0.974, 0.974)","0.051 (0.047, 0.047)","0.997 (0.996, 0.996)","0.441 (0.231, 0.231)",Model
0.17,"0.679 (0.642, 0.642)","0.974 (0.975, 0.975)","0.046 (0.033, 0.033)","0.998 (0.997, 0.997)","0.506 (0.231, 0.231)",Model
0.18,"0.679 (0.642, 0.642)","0.974 (0.975, 0.975)","0.040 (0.024, 0.024)","0.998 (0.997, 0.997)","0.529 (0.231, 0.231)",Model
0.19,"0.679 (0.642, 0.642)","0.974 (0.975, 0.975)","0.040 (0.024, 0.024)","0.998 (0.998, 0.998)","0.529 (0.231, 0.231)",Model
