Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.38,"0.706 (0.683, 0.683)","0.977 (0.975, 0.975)","0.015 (0.000, 0.000)","0.999 (0.999, 0.999)","0.233 (0.000, 0.000)",Model
0.39,"0.706 (0.683, 0.683)","0.977 (0.975, 0.975)","0.012 (0.000, 0.000)","0.999 (0.999, 0.999)","0.167 (0.000, 0.000)",Model
0.4,"0.706 (0.683, 0.683)","0.977 (0.975, 0.975)","0.007 (0.000, 0.000)","1.000 (0.999, 0.999)","0.167 (0.000, 0.000)",Model
0.41000000000000003,"0.706 (0.683, 0.683)","0.977 (0.975, 0.975)","0.007 (0.000, 0.000)","1.000 (0.999, 0.999)","0.167 (0.000, 0.000)",Model
0.42,"0.706 (0.683, 0.683)","0.977 (0.975, 0.975)","0.007 (0.000, 0.000)","1.000 (0.999, 0.999)","0.167 (0.000, 0.000)",Model
0.43,"0.706 (0.683, 0.683)","0.977 (0.975, 0.975)","0.007 (0.000, 0.000)","1.000 (0.999, 0.999)","0.167 (0.000, 0.000)",Model
0.44,"0.706 (0.683, 0.683)","0.977 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (0.999, 0.999)","0.100 (0.000, 0.000)",Model
0.45,"0.706 (0.683, 0.683)","0.977 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (0.999, 0.999)","0.100 (0.000, 0.000)",Model
0.46,"0.706 (0.683, 0.683)","0.977 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.47000000000000003,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.48,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.49,"0.706 (0.683, 0.683)","0.978 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
