Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source,AUC_Median,Accuracy_Median,Sensitivity_Median,Specificity_Median,PPV (Precision)_Median
0.3,"0.707 (0.690, 0.690)","0.979 (0.975, 0.975)","0.035 (0.015, 0.015)","0.999 (0.999, 0.999)","0.333 (0.250, 0.250)",Model,0.707,0.979,0.035,0.999,0.333
0.31,"0.707 (0.690, 0.690)","0.979 (0.975, 0.975)","0.035 (0.015, 0.015)","0.999 (0.999, 0.999)","0.333 (0.333, 0.333)",Model,0.707,0.979,0.035,0.999,0.333
0.32,"0.707 (0.690, 0.690)","0.979 (0.975, 0.975)","0.035 (0.015, 0.015)","1.000 (0.999, 0.999)","0.333 (0.333, 0.333)",Model,0.707,0.979,0.035,1.0,0.333
0.33,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.035 (0.015, 0.015)","1.000 (1.000, 1.000)","0.500 (0.400, 0.400)",Model,0.707,0.979,0.035,1.0,0.5
0.34,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.035 (0.000, 0.000)","1.000 (1.000, 1.000)","0.400 (0.000, 0.000)",Model,0.707,0.979,0.035,1.0,0.4
0.35000000000000003,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.035 (0.000, 0.000)","1.000 (1.000, 1.000)","0.500 (0.000, 0.000)",Model,0.707,0.979,0.035,1.0,0.5
0.36,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.035 (0.000, 0.000)","1.000 (1.000, 1.000)","0.500 (0.000, 0.000)",Model,0.707,0.979,0.035,1.0,0.5
0.37,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.035 (0.000, 0.000)","1.000 (1.000, 1.000)","0.500 (0.000, 0.000)",Model,0.707,0.979,0.035,1.0,0.5
0.38,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.035 (0.000, 0.000)","1.000 (1.000, 1.000)","0.500 (0.000, 0.000)",Model,0.707,0.979,0.035,1.0,0.5
0.39,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.035 (0.000, 0.000)","1.000 (1.000, 1.000)","0.500 (0.000, 0.000)",Model,0.707,0.979,0.035,1.0,0.5
0.4,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.020 (0.000, 0.000)","1.000 (1.000, 1.000)","0.500 (0.000, 0.000)",Model,0.707,0.979,0.02,1.0,0.5
0.41000000000000003,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.020 (0.000, 0.000)","1.000 (1.000, 1.000)","0.500 (0.000, 0.000)",Model,0.707,0.979,0.02,1.0,0.5
0.42,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.020 (0.000, 0.000)","1.000 (1.000, 1.000)","0.500 (0.000, 0.000)",Model,0.707,0.979,0.02,1.0,0.5
0.43,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.020 (0.000, 0.000)","1.000 (1.000, 1.000)","0.500 (0.000, 0.000)",Model,0.707,0.979,0.02,1.0,0.5
0.44,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.020 (0.000, 0.000)","1.000 (1.000, 1.000)","0.500 (0.000, 0.000)",Model,0.707,0.979,0.02,1.0,0.5
0.45,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.020 (0.000, 0.000)","1.000 (1.000, 1.000)","0.500 (0.000, 0.000)",Model,0.707,0.979,0.02,1.0,0.5
0.46,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.020 (0.000, 0.000)","1.000 (1.000, 1.000)","0.500 (0.000, 0.000)",Model,0.707,0.979,0.02,1.0,0.5
0.47000000000000003,"0.707 (0.690, 0.690)","0.979 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.979,0.0,1.0,0.0
0.48,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.979,0.0,1.0,0.0
0.49,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.979,0.0,1.0,0.0
0.5,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.979,0.0,1.0,0.0
0.51,"0.707 (0.690, 0.690)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.979,0.0,1.0,0.0
0.52,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.53,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.54,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.55,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.56,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.5700000000000001,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.58,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.59,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.6,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.61,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.62,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.63,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.64,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.65,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.66,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.67,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.68,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
0.6900000000000001,"0.707 (0.690, 0.690)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.707,0.978,0.0,1.0,0.0
