Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source,AUC_Median,Accuracy_Median,Sensitivity_Median,Specificity_Median,PPV (Precision)_Median
0.21,"0.663 (0.635, 0.635)","0.821 (0.820, 0.820)","0.431 (0.386, 0.386)","0.830 (0.829, 0.829)","0.049 (0.042, 0.042)",AlloSure,0.663,0.821,0.431,0.83,0.049
0.22,"0.663 (0.635, 0.635)","0.827 (0.825, 0.825)","0.373 (0.341, 0.341)","0.836 (0.836, 0.836)","0.044 (0.038, 0.038)",AlloSure,0.663,0.827,0.373,0.836,0.044
0.23,"0.663 (0.635, 0.635)","0.835 (0.831, 0.831)","0.373 (0.341, 0.341)","0.844 (0.843, 0.843)","0.046 (0.040, 0.040)",AlloSure,0.663,0.835,0.373,0.844,0.046
0.24,"0.663 (0.635, 0.635)","0.840 (0.839, 0.839)","0.373 (0.295, 0.295)","0.851 (0.850, 0.850)","0.047 (0.037, 0.037)",AlloSure,0.663,0.84,0.373,0.851,0.047
0.25,"0.663 (0.635, 0.635)","0.844 (0.843, 0.843)","0.373 (0.277, 0.277)","0.855 (0.854, 0.854)","0.048 (0.036, 0.036)",AlloSure,0.663,0.844,0.373,0.855,0.048
0.26,"0.663 (0.635, 0.635)","0.850 (0.845, 0.845)","0.373 (0.255, 0.255)","0.862 (0.856, 0.856)","0.049 (0.034, 0.034)",AlloSure,0.663,0.85,0.373,0.862,0.049
0.27,"0.663 (0.635, 0.635)","0.853 (0.850, 0.850)","0.373 (0.250, 0.250)","0.865 (0.862, 0.862)","0.051 (0.034, 0.034)",AlloSure,0.663,0.853,0.373,0.865,0.051
0.28,"0.663 (0.635, 0.635)","0.855 (0.854, 0.854)","0.353 (0.250, 0.250)","0.867 (0.866, 0.866)","0.049 (0.036, 0.036)",AlloSure,0.663,0.855,0.353,0.867,0.049
0.29,"0.663 (0.635, 0.635)","0.857 (0.856, 0.856)","0.353 (0.250, 0.250)","0.870 (0.869, 0.869)","0.050 (0.037, 0.037)",AlloSure,0.663,0.857,0.353,0.87,0.05
0.3,"0.663 (0.635, 0.635)","0.859 (0.858, 0.858)","0.353 (0.250, 0.250)","0.872 (0.872, 0.872)","0.052 (0.038, 0.038)",AlloSure,0.663,0.859,0.353,0.872,0.052
0.31,"0.663 (0.635, 0.635)","0.862 (0.860, 0.860)","0.353 (0.250, 0.250)","0.875 (0.873, 0.873)","0.053 (0.038, 0.038)",AlloSure,0.663,0.862,0.353,0.875,0.053
0.32,"0.663 (0.635, 0.635)","0.865 (0.863, 0.863)","0.333 (0.250, 0.250)","0.879 (0.876, 0.876)","0.051 (0.039, 0.039)",AlloSure,0.663,0.865,0.333,0.879,0.051
0.33,"0.663 (0.635, 0.635)","0.868 (0.866, 0.866)","0.333 (0.250, 0.250)","0.882 (0.879, 0.879)","0.052 (0.040, 0.040)",AlloSure,0.663,0.868,0.333,0.882,0.052
0.34,"0.663 (0.635, 0.635)","0.873 (0.869, 0.869)","0.314 (0.250, 0.250)","0.887 (0.883, 0.883)","0.050 (0.041, 0.041)",AlloSure,0.663,0.873,0.314,0.887,0.05
0.35000000000000003,"0.663 (0.635, 0.635)","0.874 (0.873, 0.873)","0.314 (0.250, 0.250)","0.889 (0.887, 0.887)","0.051 (0.042, 0.042)",AlloSure,0.663,0.874,0.314,0.889,0.051
0.36,"0.663 (0.635, 0.635)","0.876 (0.875, 0.875)","0.314 (0.250, 0.250)","0.891 (0.888, 0.888)","0.053 (0.043, 0.043)",AlloSure,0.663,0.876,0.314,0.891,0.053
0.37,"0.663 (0.635, 0.635)","0.878 (0.878, 0.878)","0.314 (0.250, 0.250)","0.894 (0.891, 0.891)","0.054 (0.044, 0.044)",AlloSure,0.663,0.878,0.314,0.894,0.054
0.38,"0.663 (0.635, 0.635)","0.879 (0.879, 0.879)","0.314 (0.250, 0.250)","0.894 (0.892, 0.892)","0.055 (0.046, 0.046)",AlloSure,0.663,0.879,0.314,0.894,0.055
0.39,"0.663 (0.635, 0.635)","0.882 (0.881, 0.881)","0.314 (0.250, 0.250)","0.897 (0.895, 0.895)","0.057 (0.047, 0.047)",AlloSure,0.663,0.882,0.314,0.897,0.057
0.4,"0.663 (0.635, 0.635)","0.883 (0.881, 0.881)","0.294 (0.250, 0.250)","0.897 (0.897, 0.897)","0.055 (0.048, 0.048)",AlloSure,0.663,0.883,0.294,0.897,0.055
0.41000000000000003,"0.663 (0.635, 0.635)","0.885 (0.883, 0.883)","0.294 (0.250, 0.250)","0.898 (0.898, 0.898)","0.055 (0.049, 0.049)",AlloSure,0.663,0.885,0.294,0.898,0.055
0.42,"0.663 (0.635, 0.635)","0.888 (0.884, 0.884)","0.294 (0.250, 0.250)","0.901 (0.900, 0.900)","0.056 (0.050, 0.050)",AlloSure,0.663,0.888,0.294,0.901,0.056
0.43,"0.663 (0.635, 0.635)","0.888 (0.885, 0.885)","0.294 (0.250, 0.250)","0.902 (0.901, 0.901)","0.057 (0.051, 0.051)",AlloSure,0.663,0.888,0.294,0.902,0.057
0.44,"0.663 (0.635, 0.635)","0.890 (0.888, 0.888)","0.294 (0.250, 0.250)","0.904 (0.904, 0.904)","0.058 (0.052, 0.052)",AlloSure,0.663,0.89,0.294,0.904,0.058
0.45,"0.663 (0.635, 0.635)","0.891 (0.889, 0.889)","0.255 (0.227, 0.227)","0.905 (0.905, 0.905)","0.051 (0.049, 0.049)",AlloSure,0.663,0.891,0.255,0.905,0.051
0.46,"0.663 (0.635, 0.635)","0.893 (0.890, 0.890)","0.255 (0.227, 0.227)","0.907 (0.907, 0.907)","0.052 (0.051, 0.051)",AlloSure,0.663,0.893,0.255,0.907,0.052
0.47000000000000003,"0.663 (0.635, 0.635)","0.896 (0.892, 0.892)","0.255 (0.227, 0.227)","0.910 (0.909, 0.909)","0.053 (0.053, 0.053)",AlloSure,0.663,0.896,0.255,0.91,0.053
0.48,"0.663 (0.635, 0.635)","0.897 (0.894, 0.894)","0.255 (0.227, 0.227)","0.911 (0.910, 0.910)","0.054 (0.054, 0.054)",AlloSure,0.663,0.897,0.255,0.911,0.054
0.49,"0.663 (0.635, 0.635)","0.899 (0.895, 0.895)","0.255 (0.227, 0.227)","0.913 (0.911, 0.911)","0.055 (0.054, 0.054)",AlloSure,0.663,0.899,0.255,0.913,0.055
0.5,"0.663 (0.635, 0.635)","0.900 (0.896, 0.896)","0.255 (0.227, 0.227)","0.914 (0.912, 0.912)","0.056 (0.055, 0.055)",AlloSure,0.663,0.9,0.255,0.914,0.056
0.51,"0.663 (0.635, 0.635)","0.901 (0.896, 0.896)","0.255 (0.227, 0.227)","0.915 (0.913, 0.913)","0.057 (0.055, 0.055)",AlloSure,0.663,0.901,0.255,0.915,0.057
0.52,"0.663 (0.635, 0.635)","0.903 (0.898, 0.898)","0.255 (0.227, 0.227)","0.918 (0.915, 0.915)","0.058 (0.056, 0.056)",AlloSure,0.663,0.903,0.255,0.918,0.058
0.53,"0.663 (0.635, 0.635)","0.904 (0.899, 0.899)","0.235 (0.227, 0.227)","0.919 (0.916, 0.916)","0.058 (0.055, 0.055)",AlloSure,0.663,0.904,0.235,0.919,0.058
0.54,"0.663 (0.635, 0.635)","0.907 (0.900, 0.900)","0.235 (0.227, 0.227)","0.922 (0.918, 0.918)","0.060 (0.056, 0.056)",AlloSure,0.663,0.907,0.235,0.922,0.06
0.55,"0.663 (0.635, 0.635)","0.910 (0.903, 0.903)","0.235 (0.205, 0.205)","0.925 (0.920, 0.920)","0.056 (0.055, 0.055)",AlloSure,0.663,0.91,0.235,0.925,0.056
0.56,"0.663 (0.635, 0.635)","0.911 (0.903, 0.903)","0.235 (0.205, 0.205)","0.925 (0.920, 0.920)","0.057 (0.057, 0.057)",AlloSure,0.663,0.911,0.235,0.925,0.057
0.5700000000000001,"0.663 (0.635, 0.635)","0.912 (0.904, 0.904)","0.235 (0.205, 0.205)","0.927 (0.921, 0.921)","0.059 (0.058, 0.058)",AlloSure,0.663,0.912,0.235,0.927,0.059
0.58,"0.663 (0.635, 0.635)","0.913 (0.905, 0.905)","0.235 (0.205, 0.205)","0.928 (0.921, 0.921)","0.061 (0.058, 0.058)",AlloSure,0.663,0.913,0.235,0.928,0.061
0.59,"0.663 (0.635, 0.635)","0.913 (0.906, 0.906)","0.235 (0.205, 0.205)","0.928 (0.922, 0.922)","0.062 (0.060, 0.060)",AlloSure,0.663,0.913,0.235,0.928,0.062
0.6,"0.663 (0.635, 0.635)","0.915 (0.908, 0.908)","0.235 (0.205, 0.205)","0.930 (0.923, 0.923)","0.063 (0.061, 0.061)",AlloSure,0.663,0.915,0.235,0.93,0.063
0.61,"0.663 (0.635, 0.635)","0.915 (0.909, 0.909)","0.235 (0.205, 0.205)","0.930 (0.924, 0.924)","0.064 (0.061, 0.061)",AlloSure,0.663,0.915,0.235,0.93,0.064
0.62,"0.663 (0.635, 0.635)","0.917 (0.908, 0.908)","0.216 (0.205, 0.205)","0.932 (0.925, 0.925)","0.062 (0.059, 0.059)",AlloSure,0.663,0.917,0.216,0.932,0.062
0.63,"0.663 (0.635, 0.635)","0.917 (0.909, 0.909)","0.209 (0.205, 0.205)","0.932 (0.925, 0.925)","0.062 (0.059, 0.059)",AlloSure,0.663,0.917,0.209,0.932,0.062
0.64,"0.663 (0.635, 0.635)","0.917 (0.911, 0.911)","0.209 (0.205, 0.205)","0.932 (0.926, 0.926)","0.062 (0.061, 0.061)",AlloSure,0.663,0.917,0.209,0.932,0.062
0.65,"0.663 (0.635, 0.635)","0.918 (0.912, 0.912)","0.209 (0.205, 0.205)","0.934 (0.927, 0.927)","0.062 (0.061, 0.061)",AlloSure,0.663,0.918,0.209,0.934,0.062
0.66,"0.663 (0.635, 0.635)","0.920 (0.913, 0.913)","0.205 (0.194, 0.194)","0.935 (0.928, 0.928)","0.062 (0.062, 0.062)",AlloSure,0.663,0.92,0.205,0.935,0.062
0.67,"0.663 (0.635, 0.635)","0.921 (0.913, 0.913)","0.205 (0.194, 0.194)","0.937 (0.930, 0.930)","0.063 (0.062, 0.062)",AlloSure,0.663,0.921,0.205,0.937,0.063
0.68,"0.663 (0.635, 0.635)","0.921 (0.914, 0.914)","0.205 (0.194, 0.194)","0.937 (0.931, 0.931)","0.064 (0.063, 0.063)",AlloSure,0.663,0.921,0.205,0.937,0.064
0.6900000000000001,"0.663 (0.635, 0.635)","0.922 (0.914, 0.914)","0.205 (0.194, 0.194)","0.938 (0.933, 0.933)","0.065 (0.064, 0.064)",AlloSure,0.663,0.922,0.205,0.938,0.065
0.7000000000000001,"0.663 (0.635, 0.635)","0.923 (0.915, 0.915)","0.205 (0.194, 0.194)","0.939 (0.934, 0.934)","0.065 (0.064, 0.064)",AlloSure,0.663,0.923,0.205,0.939,0.065
0.71,"0.663 (0.635, 0.635)","0.924 (0.916, 0.916)","0.205 (0.194, 0.194)","0.940 (0.934, 0.934)","0.068 (0.065, 0.065)",AlloSure,0.663,0.924,0.205,0.94,0.068
0.72,"0.663 (0.635, 0.635)","0.925 (0.918, 0.918)","0.194 (0.182, 0.182)","0.941 (0.936, 0.936)","0.067 (0.062, 0.062)",AlloSure,0.663,0.925,0.194,0.941,0.067
0.73,"0.663 (0.635, 0.635)","0.925 (0.919, 0.919)","0.194 (0.182, 0.182)","0.941 (0.936, 0.936)","0.068 (0.064, 0.064)",AlloSure,0.663,0.925,0.194,0.941,0.068
0.74,"0.663 (0.635, 0.635)","0.926 (0.920, 0.920)","0.182 (0.179, 0.179)","0.941 (0.936, 0.936)","0.069 (0.064, 0.064)",AlloSure,0.663,0.926,0.182,0.941,0.069
0.75,"0.663 (0.635, 0.635)","0.927 (0.921, 0.921)","0.182 (0.179, 0.179)","0.943 (0.938, 0.938)","0.070 (0.064, 0.064)",AlloSure,0.663,0.927,0.182,0.943,0.07
0.76,"0.663 (0.635, 0.635)","0.928 (0.922, 0.922)","0.182 (0.179, 0.179)","0.944 (0.938, 0.938)","0.071 (0.066, 0.066)",AlloSure,0.663,0.928,0.182,0.944,0.071
0.77,"0.663 (0.635, 0.635)","0.928 (0.923, 0.923)","0.182 (0.179, 0.179)","0.944 (0.939, 0.939)","0.067 (0.066, 0.066)",AlloSure,0.663,0.928,0.182,0.944,0.067
0.78,"0.663 (0.635, 0.635)","0.929 (0.924, 0.924)","0.182 (0.179, 0.179)","0.946 (0.940, 0.940)","0.067 (0.066, 0.066)",AlloSure,0.663,0.929,0.182,0.946,0.067
0.79,"0.663 (0.635, 0.635)","0.930 (0.925, 0.925)","0.182 (0.179, 0.179)","0.946 (0.941, 0.941)","0.068 (0.066, 0.066)",AlloSure,0.663,0.93,0.182,0.946,0.068
0.8,"0.663 (0.635, 0.635)","0.931 (0.925, 0.925)","0.179 (0.176, 0.176)","0.948 (0.942, 0.942)","0.067 (0.063, 0.063)",AlloSure,0.663,0.931,0.179,0.948,0.067
0.81,"0.663 (0.635, 0.635)","0.932 (0.926, 0.926)","0.179 (0.176, 0.176)","0.948 (0.942, 0.942)","0.069 (0.063, 0.063)",AlloSure,0.663,0.932,0.179,0.948,0.069
0.8200000000000001,"0.663 (0.635, 0.635)","0.932 (0.927, 0.927)","0.176 (0.159, 0.159)","0.948 (0.943, 0.943)","0.064 (0.062, 0.062)",AlloSure,0.663,0.932,0.176,0.948,0.064
0.8300000000000001,"0.663 (0.635, 0.635)","0.932 (0.927, 0.927)","0.176 (0.159, 0.159)","0.949 (0.944, 0.944)","0.065 (0.062, 0.062)",AlloSure,0.663,0.932,0.176,0.949,0.065
0.84,"0.663 (0.635, 0.635)","0.932 (0.928, 0.928)","0.176 (0.159, 0.159)","0.949 (0.945, 0.945)","0.066 (0.064, 0.064)",AlloSure,0.663,0.932,0.176,0.949,0.066
0.85,"0.663 (0.635, 0.635)","0.933 (0.929, 0.929)","0.176 (0.159, 0.159)","0.950 (0.945, 0.945)","0.067 (0.065, 0.065)",AlloSure,0.663,0.933,0.176,0.95,0.067
0.86,"0.663 (0.635, 0.635)","0.932 (0.930, 0.930)","0.176 (0.159, 0.159)","0.950 (0.946, 0.946)","0.068 (0.067, 0.067)",AlloSure,0.663,0.932,0.176,0.95,0.068
0.87,"0.663 (0.635, 0.635)","0.933 (0.930, 0.930)","0.176 (0.159, 0.159)","0.950 (0.948, 0.948)","0.068 (0.068, 0.068)",AlloSure,0.663,0.933,0.176,0.95,0.068
0.88,"0.663 (0.635, 0.635)","0.933 (0.931, 0.931)","0.176 (0.159, 0.159)","0.950 (0.948, 0.948)","0.069 (0.069, 0.069)",AlloSure,0.663,0.933,0.176,0.95,0.069
0.89,"0.663 (0.635, 0.635)","0.935 (0.931, 0.931)","0.176 (0.159, 0.159)","0.952 (0.949, 0.949)","0.070 (0.069, 0.069)",AlloSure,0.663,0.935,0.176,0.952,0.07
0.9,"0.663 (0.635, 0.635)","0.935 (0.931, 0.931)","0.176 (0.159, 0.159)","0.952 (0.949, 0.949)","0.071 (0.070, 0.070)",AlloSure,0.663,0.935,0.176,0.952,0.071
0.91,"0.663 (0.635, 0.635)","0.935 (0.932, 0.932)","0.176 (0.159, 0.159)","0.953 (0.949, 0.949)","0.071 (0.071, 0.071)",AlloSure,0.663,0.935,0.176,0.953,0.071
0.92,"0.663 (0.635, 0.635)","0.937 (0.932, 0.932)","0.176 (0.159, 0.159)","0.954 (0.949, 0.949)","0.071 (0.071, 0.071)",AlloSure,0.663,0.937,0.176,0.954,0.071
0.93,"0.663 (0.635, 0.635)","0.937 (0.933, 0.933)","0.176 (0.159, 0.159)","0.955 (0.950, 0.950)","0.074 (0.072, 0.072)",AlloSure,0.663,0.937,0.176,0.955,0.074
0.9400000000000001,"0.663 (0.635, 0.635)","0.938 (0.934, 0.934)","0.176 (0.159, 0.159)","0.955 (0.951, 0.951)","0.074 (0.073, 0.073)",AlloSure,0.663,0.938,0.176,0.955,0.074
0.9500000000000001,"0.663 (0.635, 0.635)","0.939 (0.935, 0.935)","0.176 (0.159, 0.159)","0.956 (0.951, 0.951)","0.075 (0.074, 0.074)",AlloSure,0.663,0.939,0.176,0.956,0.075
0.96,"0.663 (0.635, 0.635)","0.939 (0.935, 0.935)","0.176 (0.136, 0.136)","0.957 (0.952, 0.952)","0.075 (0.066, 0.066)",AlloSure,0.663,0.939,0.176,0.957,0.075
0.97,"0.663 (0.635, 0.635)","0.940 (0.936, 0.936)","0.164 (0.136, 0.136)","0.957 (0.953, 0.953)","0.076 (0.066, 0.066)",AlloSure,0.663,0.94,0.164,0.957,0.076
0.98,"0.663 (0.635, 0.635)","0.940 (0.936, 0.936)","0.164 (0.114, 0.114)","0.958 (0.953, 0.953)","0.076 (0.057, 0.057)",AlloSure,0.663,0.94,0.164,0.958,0.076
0.99,"0.663 (0.635, 0.635)","0.941 (0.937, 0.937)","0.164 (0.114, 0.114)","0.959 (0.954, 0.954)","0.078 (0.057, 0.057)",AlloSure,0.663,0.941,0.164,0.959,0.078
1.0,"0.663 (0.635, 0.635)","0.942 (0.937, 0.937)","0.164 (0.114, 0.114)","0.959 (0.954, 0.954)","0.078 (0.057, 0.057)",AlloSure,0.663,0.942,0.164,0.959,0.078
1.01,"0.663 (0.635, 0.635)","0.942 (0.938, 0.938)","0.164 (0.114, 0.114)","0.959 (0.955, 0.955)","0.080 (0.057, 0.057)",AlloSure,0.663,0.942,0.164,0.959,0.08
0.0,"0.631 (0.594, 0.594)","0.022 (0.019, 0.019)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.019, 0.019)",Logistic Regression,0.631,0.022,1.0,0.0,0.022
0.01,"0.631 (0.594, 0.594)","0.022 (0.019, 0.019)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.019, 0.019)",Logistic Regression,0.631,0.022,1.0,0.0,0.022
0.02,"0.631 (0.594, 0.594)","0.369 (0.357, 0.357)","0.719 (0.702, 0.702)","0.360 (0.350, 0.350)","0.026 (0.022, 0.022)",Logistic Regression,0.631,0.369,0.719,0.36,0.026
0.03,"0.631 (0.594, 0.594)","0.949 (0.947, 0.947)","0.137 (0.114, 0.114)","0.968 (0.965, 0.965)","0.080 (0.067, 0.067)",Logistic Regression,0.631,0.949,0.137,0.968,0.08
0.04,"0.631 (0.594, 0.594)","0.965 (0.964, 0.964)","0.059 (0.043, 0.043)","0.985 (0.985, 0.985)","0.081 (0.059, 0.059)",Logistic Regression,0.631,0.965,0.059,0.985,0.081
0.05,"0.631 (0.594, 0.594)","0.970 (0.969, 0.969)","0.030 (0.023, 0.023)","0.991 (0.990, 0.990)","0.083 (0.045, 0.045)",Logistic Regression,0.631,0.97,0.03,0.991,0.083
0.06,"0.631 (0.594, 0.594)","0.973 (0.972, 0.972)","0.030 (0.023, 0.023)","0.994 (0.993, 0.993)","0.118 (0.059, 0.059)",Logistic Regression,0.631,0.973,0.03,0.994,0.118
0.07,"0.631 (0.594, 0.594)","0.974 (0.974, 0.974)","0.023 (0.015, 0.015)","0.994 (0.994, 0.994)","0.077 (0.062, 0.062)",Logistic Regression,0.631,0.974,0.023,0.994,0.077
0.08,"0.631 (0.594, 0.594)","0.975 (0.975, 0.975)","0.020 (0.015, 0.015)","0.995 (0.995, 0.995)","0.077 (0.071, 0.071)",Logistic Regression,0.631,0.975,0.02,0.995,0.077
0.09,"0.631 (0.594, 0.594)","0.975 (0.975, 0.975)","0.020 (0.015, 0.015)","0.996 (0.996, 0.996)","0.100 (0.071, 0.071)",Logistic Regression,0.631,0.975,0.02,0.996,0.1
0.1,"0.631 (0.594, 0.594)","0.975 (0.974, 0.974)","0.015 (0.000, 0.000)","0.997 (0.996, 0.996)","0.083 (0.000, 0.000)",Logistic Regression,0.631,0.975,0.015,0.997,0.083
0.11,"0.631 (0.594, 0.594)","0.975 (0.974, 0.974)","0.015 (0.000, 0.000)","0.997 (0.997, 0.997)","0.111 (0.000, 0.000)",Logistic Regression,0.631,0.975,0.015,0.997,0.111
0.12,"0.631 (0.594, 0.594)","0.976 (0.975, 0.975)","0.015 (0.000, 0.000)","0.998 (0.998, 0.998)","0.125 (0.000, 0.000)",Logistic Regression,0.631,0.976,0.015,0.998,0.125
0.13,"0.631 (0.594, 0.594)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","0.998 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.976,0.0,0.998,0.0
0.14,"0.631 (0.594, 0.594)","0.977 (0.974, 0.974)","0.000 (0.000, 0.000)","0.998 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.977,0.0,0.998,0.0
0.15,"0.631 (0.594, 0.594)","0.978 (0.974, 0.974)","0.000 (0.000, 0.000)","0.998 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.998,0.0
0.16,"0.631 (0.594, 0.594)","0.978 (0.974, 0.974)","0.000 (0.000, 0.000)","0.999 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.17,"0.631 (0.594, 0.594)","0.978 (0.974, 0.974)","0.000 (0.000, 0.000)","0.999 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.18,"0.631 (0.594, 0.594)","0.978 (0.974, 0.974)","0.000 (0.000, 0.000)","0.999 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.19,"0.631 (0.594, 0.594)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.2,"0.631 (0.594, 0.594)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.21,"0.631 (0.594, 0.594)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.22,"0.631 (0.594, 0.594)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.23,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.24,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.25,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.26,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.27,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.28,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.29,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.3,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.31,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,0.999,0.0
0.32,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.33,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.34,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.35000000000000003,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.36,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.37,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.38,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.39,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.4,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.41000000000000003,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.42,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.43,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.44,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.45,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.46,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.47000000000000003,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
