,ady_dna,avisitn,aval_AlloSure,aval_AlloMap
count,9708.0,9708.0,9708.0,9708.0
mean,285.5221466831479,288.4596209311908,0.21962375253994573,29.790894107952205
std,247.13138097810602,245.99344550499944,0.7418969328809988,6.169571738475436
min,34.0,30.0,-0.067295147,2.0
25%,124.0,121.0,0.025712969699999998,27.0
50%,213.0,182.0,0.0574395282,31.0
75%,345.0,365.0,0.1324367331,34.0
max,2059.0,2098.0,16.983634347,39.0
