,ady_dna,avisitn,aval_AlloSure,aval_AlloMap
count,12468.0,12468.0,12468.0,12468.0
mean,295.90656079563684,298.7733397497594,0.23733886630776477,29.791305742701315
std,261.07576101845103,260.06058821328753,0.7814367429315168,6.237016529873289
min,16.0,30.0,-0.068664629,2.0
25%,124.0,121.0,0.026269428925,27.0
50%,215.0,182.0,0.059141486150000006,31.0
75%,357.0,365.0,0.14081730745,34.0
max,2059.0,2098.0,16.983634347,39.0
