Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.694 (0.667, 0.667)","0.022 (0.022, 0.022)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.022, 0.022)",Model
0.01,"0.694 (0.667, 0.667)","0.268 (0.236, 0.236)","0.919 (0.902, 0.902)","0.254 (0.218, 0.218)","0.027 (0.026, 0.026)",Model
0.02,"0.694 (0.667, 0.667)","0.656 (0.645, 0.645)","0.594 (0.504, 0.504)","0.657 (0.644, 0.644)","0.039 (0.033, 0.033)",Model
0.03,"0.694 (0.667, 0.667)","0.815 (0.809, 0.809)","0.474 (0.402, 0.402)","0.822 (0.817, 0.817)","0.058 (0.049, 0.049)",Model
0.04,"0.694 (0.667, 0.667)","0.892 (0.885, 0.885)","0.336 (0.305, 0.305)","0.905 (0.899, 0.899)","0.076 (0.056, 0.056)",Model
0.05,"0.694 (0.667, 0.667)","0.932 (0.925, 0.925)","0.242 (0.182, 0.182)","0.947 (0.942, 0.942)","0.096 (0.066, 0.066)",Model
0.06,"0.694 (0.667, 0.667)","0.952 (0.947, 0.947)","0.164 (0.091, 0.091)","0.969 (0.966, 0.966)","0.114 (0.055, 0.055)",Model
0.07,"0.694 (0.667, 0.667)","0.962 (0.956, 0.956)","0.145 (0.068, 0.068)","0.980 (0.978, 0.978)","0.147 (0.063, 0.063)",Model
0.08,"0.694 (0.667, 0.667)","0.967 (0.964, 0.964)","0.127 (0.068, 0.068)","0.986 (0.985, 0.985)","0.168 (0.089, 0.089)",Model
0.09,"0.694 (0.667, 0.667)","0.970 (0.967, 0.967)","0.109 (0.068, 0.068)","0.989 (0.988, 0.988)","0.181 (0.107, 0.107)",Model
0.1,"0.694 (0.667, 0.667)","0.972 (0.969, 0.969)","0.098 (0.068, 0.068)","0.991 (0.990, 0.990)","0.192 (0.135, 0.135)",Model
0.11,"0.694 (0.667, 0.667)","0.974 (0.972, 0.972)","0.085 (0.043, 0.043)","0.993 (0.993, 0.993)","0.222 (0.167, 0.167)",Model
0.12,"0.694 (0.667, 0.667)","0.975 (0.972, 0.972)","0.085 (0.043, 0.043)","0.995 (0.994, 0.994)","0.265 (0.175, 0.175)",Model
0.13,"0.694 (0.667, 0.667)","0.976 (0.973, 0.973)","0.082 (0.043, 0.043)","0.995 (0.994, 0.994)","0.304 (0.206, 0.206)",Model
0.14,"0.694 (0.667, 0.667)","0.976 (0.974, 0.974)","0.068 (0.035, 0.035)","0.996 (0.995, 0.995)","0.307 (0.250, 0.250)",Model
0.15,"0.694 (0.667, 0.667)","0.976 (0.974, 0.974)","0.056 (0.031, 0.031)","0.996 (0.995, 0.995)","0.296 (0.250, 0.250)",Model
0.16,"0.694 (0.667, 0.667)","0.976 (0.974, 0.974)","0.044 (0.008, 0.008)","0.997 (0.996, 0.996)","0.277 (0.071, 0.071)",Model
0.17,"0.694 (0.667, 0.667)","0.977 (0.974, 0.974)","0.044 (0.008, 0.008)","0.997 (0.997, 0.997)","0.294 (0.071, 0.071)",Model
0.18,"0.694 (0.667, 0.667)","0.977 (0.974, 0.974)","0.044 (0.008, 0.008)","0.998 (0.997, 0.997)","0.315 (0.083, 0.083)",Model
0.19,"0.694 (0.667, 0.667)","0.977 (0.975, 0.975)","0.034 (0.000, 0.000)","0.998 (0.997, 0.997)","0.273 (0.000, 0.000)",Model
0.2,"0.694 (0.667, 0.667)","0.977 (0.975, 0.975)","0.025 (0.000, 0.000)","0.998 (0.997, 0.997)","0.257 (0.000, 0.000)",Model
0.21,"0.694 (0.667, 0.667)","0.977 (0.975, 0.975)","0.014 (0.000, 0.000)","0.998 (0.998, 0.998)","0.175 (0.000, 0.000)",Model
0.22,"0.694 (0.667, 0.667)","0.977 (0.975, 0.975)","0.014 (0.000, 0.000)","0.998 (0.998, 0.998)","0.175 (0.000, 0.000)",Model
0.23,"0.694 (0.667, 0.667)","0.977 (0.975, 0.975)","0.007 (0.000, 0.000)","0.998 (0.998, 0.998)","0.075 (0.000, 0.000)",Model
0.24,"0.694 (0.667, 0.667)","0.977 (0.975, 0.975)","0.007 (0.000, 0.000)","0.999 (0.998, 0.998)","0.133 (0.000, 0.000)",Model
0.25,"0.694 (0.667, 0.667)","0.977 (0.975, 0.975)","0.007 (0.000, 0.000)","0.999 (0.998, 0.998)","0.133 (0.000, 0.000)",Model
0.26,"0.694 (0.667, 0.667)","0.978 (0.975, 0.975)","0.007 (0.000, 0.000)","0.999 (0.999, 0.999)","0.133 (0.000, 0.000)",Model
0.27,"0.694 (0.667, 0.667)","0.978 (0.975, 0.975)","0.007 (0.000, 0.000)","0.999 (0.999, 0.999)","0.133 (0.000, 0.000)",Model
0.28,"0.694 (0.667, 0.667)","0.978 (0.975, 0.975)","0.004 (0.000, 0.000)","1.000 (0.999, 0.999)","0.033 (0.000, 0.000)",Model
0.29,"0.694 (0.667, 0.667)","0.978 (0.975, 0.975)","0.004 (0.000, 0.000)","1.000 (0.999, 0.999)","0.050 (0.000, 0.000)",Model
0.3,"0.694 (0.667, 0.667)","0.978 (0.975, 0.975)","0.004 (0.000, 0.000)","1.000 (0.999, 0.999)","0.050 (0.000, 0.000)",Model
0.31,"0.694 (0.667, 0.667)","0.978 (0.975, 0.975)","0.004 (0.000, 0.000)","1.000 (0.999, 0.999)","0.050 (0.000, 0.000)",Model
0.32,"0.694 (0.667, 0.667)","0.978 (0.975, 0.975)","0.004 (0.000, 0.000)","1.000 (0.999, 0.999)","0.050 (0.000, 0.000)",Model
0.33,"0.694 (0.667, 0.667)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.34,"0.694 (0.667, 0.667)","0.978 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
