Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.629 (0.603, 0.603)","0.033 (0.028, 0.028)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.033 (0.028, 0.028)",Model
0.01,"0.629 (0.603, 0.603)","0.246 (0.241, 0.241)","0.875 (0.818, 0.818)","0.224 (0.219, 0.219)","0.037 (0.033, 0.033)",Model
0.02,"0.629 (0.603, 0.603)","0.500 (0.486, 0.486)","0.654 (0.639, 0.639)","0.495 (0.481, 0.481)","0.043 (0.035, 0.035)",Model
0.03,"0.629 (0.603, 0.603)","0.647 (0.625, 0.625)","0.570 (0.556, 0.556)","0.650 (0.625, 0.625)","0.054 (0.045, 0.045)",Model
0.04,"0.629 (0.603, 0.603)","0.736 (0.723, 0.723)","0.473 (0.472, 0.472)","0.745 (0.727, 0.727)","0.061 (0.045, 0.045)",Model
0.05,"0.629 (0.603, 0.603)","0.795 (0.775, 0.775)","0.401 (0.379, 0.379)","0.808 (0.782, 0.782)","0.070 (0.047, 0.047)",Model
0.06,"0.629 (0.603, 0.603)","0.843 (0.833, 0.833)","0.306 (0.276, 0.276)","0.862 (0.842, 0.842)","0.073 (0.047, 0.047)",Model
0.07,"0.629 (0.603, 0.603)","0.871 (0.857, 0.857)","0.251 (0.238, 0.238)","0.893 (0.879, 0.879)","0.079 (0.050, 0.050)",Model
0.08,"0.629 (0.603, 0.603)","0.896 (0.883, 0.883)","0.226 (0.143, 0.143)","0.919 (0.905, 0.905)","0.095 (0.041, 0.041)",Model
0.09,"0.629 (0.603, 0.603)","0.914 (0.905, 0.905)","0.176 (0.095, 0.095)","0.939 (0.928, 0.928)","0.103 (0.036, 0.036)",Model
0.1,"0.629 (0.603, 0.603)","0.925 (0.922, 0.922)","0.124 (0.095, 0.095)","0.952 (0.943, 0.943)","0.093 (0.050, 0.050)",Model
0.11,"0.629 (0.603, 0.603)","0.933 (0.932, 0.932)","0.094 (0.048, 0.048)","0.962 (0.954, 0.954)","0.094 (0.032, 0.032)",Model
0.12,"0.629 (0.603, 0.603)","0.941 (0.940, 0.940)","0.094 (0.048, 0.048)","0.971 (0.966, 0.966)","0.127 (0.038, 0.038)",Model
0.13,"0.629 (0.603, 0.603)","0.947 (0.945, 0.945)","0.081 (0.045, 0.045)","0.977 (0.968, 0.968)","0.129 (0.050, 0.050)",Model
0.14,"0.629 (0.603, 0.603)","0.951 (0.951, 0.951)","0.066 (0.045, 0.045)","0.982 (0.980, 0.980)","0.131 (0.067, 0.067)",Model
0.15,"0.629 (0.603, 0.603)","0.954 (0.953, 0.953)","0.048 (0.034, 0.034)","0.985 (0.982, 0.982)","0.145 (0.040, 0.040)",Model
0.16,"0.629 (0.603, 0.603)","0.956 (0.951, 0.951)","0.037 (0.034, 0.034)","0.988 (0.988, 0.988)","0.174 (0.045, 0.045)",Model
0.17,"0.629 (0.603, 0.603)","0.957 (0.952, 0.952)","0.037 (0.034, 0.034)","0.989 (0.990, 0.990)","0.184 (0.045, 0.045)",Model
0.18,"0.629 (0.603, 0.603)","0.959 (0.954, 0.954)","0.037 (0.034, 0.034)","0.990 (0.990, 0.990)","0.202 (0.050, 0.050)",Model
0.19,"0.629 (0.603, 0.603)","0.960 (0.956, 0.956)","0.037 (0.034, 0.034)","0.992 (0.993, 0.993)","0.224 (0.053, 0.053)",Model
0.2,"0.629 (0.603, 0.603)","0.961 (0.957, 0.957)","0.037 (0.034, 0.034)","0.992 (0.993, 0.993)","0.244 (0.056, 0.056)",Model
0.21,"0.629 (0.603, 0.603)","0.962 (0.957, 0.957)","0.037 (0.034, 0.034)","0.994 (0.995, 0.995)","0.253 (0.067, 0.067)",Model
0.22,"0.629 (0.603, 0.603)","0.962 (0.958, 0.958)","0.037 (0.034, 0.034)","0.994 (0.995, 0.995)","0.254 (0.071, 0.071)",Model
0.23,"0.629 (0.603, 0.603)","0.963 (0.959, 0.959)","0.037 (0.034, 0.034)","0.995 (0.995, 0.995)","0.354 (0.071, 0.071)",Model
0.24,"0.629 (0.603, 0.603)","0.963 (0.959, 0.959)","0.037 (0.034, 0.034)","0.995 (0.995, 0.995)","0.354 (0.071, 0.071)",Model
0.25,"0.629 (0.603, 0.603)","0.963 (0.959, 0.959)","0.037 (0.034, 0.034)","0.995 (0.995, 0.995)","0.354 (0.071, 0.071)",Model
0.26,"0.629 (0.603, 0.603)","0.963 (0.958, 0.958)","0.031 (0.028, 0.028)","0.995 (0.996, 0.996)","0.364 (0.071, 0.071)",Model
0.27,"0.629 (0.603, 0.603)","0.963 (0.958, 0.958)","0.026 (0.000, 0.000)","0.996 (0.996, 0.996)","0.164 (0.000, 0.000)",Model
0.28,"0.629 (0.603, 0.603)","0.963 (0.958, 0.958)","0.026 (0.000, 0.000)","0.996 (0.996, 0.996)","0.264 (0.000, 0.000)",Model
0.29,"0.629 (0.603, 0.603)","0.963 (0.958, 0.958)","0.019 (0.000, 0.000)","0.996 (0.996, 0.996)","0.064 (0.000, 0.000)",Model
0.3,"0.629 (0.603, 0.603)","0.963 (0.958, 0.958)","0.019 (0.000, 0.000)","0.996 (0.997, 0.997)","0.081 (0.000, 0.000)",Model
0.31,"0.629 (0.603, 0.603)","0.964 (0.958, 0.958)","0.019 (0.000, 0.000)","0.996 (0.999, 0.999)","0.114 (0.000, 0.000)",Model
0.32,"0.629 (0.603, 0.603)","0.964 (0.959, 0.959)","0.019 (0.000, 0.000)","0.997 (0.999, 0.999)","0.115 (0.000, 0.000)",Model
0.33,"0.629 (0.603, 0.603)","0.964 (0.958, 0.958)","0.010 (0.000, 0.000)","0.997 (0.999, 0.999)","0.100 (0.000, 0.000)",Model
0.34,"0.629 (0.603, 0.603)","0.963 (0.958, 0.958)","0.000 (0.000, 0.000)","0.997 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.35000000000000003,"0.629 (0.603, 0.603)","0.963 (0.958, 0.958)","0.000 (0.000, 0.000)","0.997 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.36,"0.629 (0.603, 0.603)","0.963 (0.958, 0.958)","0.000 (0.000, 0.000)","0.997 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.37,"0.629 (0.603, 0.603)","0.964 (0.959, 0.959)","0.000 (0.000, 0.000)","0.997 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.38,"0.629 (0.603, 0.603)","0.964 (0.959, 0.959)","0.000 (0.000, 0.000)","0.997 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.39,"0.629 (0.603, 0.603)","0.964 (0.959, 0.959)","0.000 (0.000, 0.000)","0.997 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.4,"0.629 (0.603, 0.603)","0.964 (0.959, 0.959)","0.000 (0.000, 0.000)","0.997 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.41000000000000003,"0.629 (0.603, 0.603)","0.964 (0.959, 0.959)","0.000 (0.000, 0.000)","0.997 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.42,"0.629 (0.603, 0.603)","0.964 (0.959, 0.959)","0.000 (0.000, 0.000)","0.997 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.43,"0.629 (0.603, 0.603)","0.964 (0.959, 0.959)","0.000 (0.000, 0.000)","0.997 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
