Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source,AUC_Median,Accuracy_Median,Sensitivity_Median,Specificity_Median,PPV (Precision)_Median
0.0,"0.705 (0.702, 0.702)","0.024 (0.021, 0.021)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.024 (0.021, 0.021)",Model,0.705,0.024,1.0,0.0,0.024
0.01,"0.705 (0.702, 0.702)","0.351 (0.335, 0.335)","0.825 (0.820, 0.820)","0.338 (0.326, 0.326)","0.032 (0.024, 0.024)",Model,0.705,0.351,0.825,0.338,0.032
0.02,"0.705 (0.702, 0.702)","0.688 (0.686, 0.686)","0.614 (0.557, 0.557)","0.689 (0.688, 0.688)","0.048 (0.044, 0.044)",Model,0.705,0.688,0.614,0.689,0.048
0.03,"0.705 (0.702, 0.702)","0.814 (0.809, 0.809)","0.492 (0.491, 0.491)","0.823 (0.817, 0.817)","0.069 (0.063, 0.063)",Model,0.705,0.814,0.492,0.823,0.069
0.04,"0.705 (0.702, 0.702)","0.881 (0.876, 0.876)","0.413 (0.377, 0.377)","0.892 (0.890, 0.890)","0.089 (0.086, 0.086)",Model,0.705,0.881,0.413,0.892,0.089
0.05,"0.705 (0.702, 0.702)","0.924 (0.911, 0.911)","0.311 (0.304, 0.304)","0.937 (0.928, 0.928)","0.109 (0.096, 0.096)",Model,0.705,0.924,0.311,0.937,0.109
0.06,"0.705 (0.702, 0.702)","0.943 (0.934, 0.934)","0.261 (0.230, 0.230)","0.959 (0.950, 0.950)","0.130 (0.113, 0.113)",Model,0.705,0.943,0.261,0.959,0.13
0.07,"0.705 (0.702, 0.702)","0.958 (0.945, 0.945)","0.217 (0.213, 0.213)","0.974 (0.963, 0.963)","0.162 (0.140, 0.140)",Model,0.705,0.958,0.217,0.974,0.162
0.08,"0.705 (0.702, 0.702)","0.961 (0.953, 0.953)","0.196 (0.180, 0.180)","0.978 (0.971, 0.971)","0.185 (0.149, 0.149)",Model,0.705,0.961,0.196,0.978,0.185
0.09,"0.705 (0.702, 0.702)","0.962 (0.958, 0.958)","0.174 (0.148, 0.148)","0.980 (0.977, 0.977)","0.185 (0.143, 0.143)",Model,0.705,0.962,0.174,0.98,0.185
0.1,"0.705 (0.702, 0.702)","0.965 (0.960, 0.960)","0.130 (0.115, 0.115)","0.983 (0.980, 0.980)","0.194 (0.143, 0.143)",Model,0.705,0.965,0.13,0.983,0.194
0.11,"0.705 (0.702, 0.702)","0.968 (0.965, 0.965)","0.130 (0.098, 0.098)","0.987 (0.984, 0.984)","0.222 (0.140, 0.140)",Model,0.705,0.968,0.13,0.987,0.222
0.12,"0.705 (0.702, 0.702)","0.969 (0.967, 0.967)","0.130 (0.098, 0.098)","0.988 (0.986, 0.986)","0.240 (0.158, 0.158)",Model,0.705,0.969,0.13,0.988,0.24
0.13,"0.705 (0.702, 0.702)","0.971 (0.968, 0.968)","0.109 (0.082, 0.082)","0.990 (0.988, 0.988)","0.227 (0.156, 0.156)",Model,0.705,0.971,0.109,0.99,0.227
0.14,"0.705 (0.702, 0.702)","0.973 (0.969, 0.969)","0.087 (0.082, 0.082)","0.992 (0.990, 0.990)","0.222 (0.192, 0.192)",Model,0.705,0.973,0.087,0.992,0.222
0.15,"0.705 (0.702, 0.702)","0.973 (0.970, 0.970)","0.082 (0.065, 0.065)","0.993 (0.991, 0.991)","0.231 (0.208, 0.208)",Model,0.705,0.973,0.082,0.993,0.231
0.16,"0.705 (0.702, 0.702)","0.974 (0.971, 0.971)","0.066 (0.065, 0.065)","0.994 (0.993, 0.993)","0.250 (0.250, 0.250)",Model,0.705,0.974,0.066,0.994,0.25
0.17,"0.705 (0.702, 0.702)","0.974 (0.972, 0.972)","0.066 (0.049, 0.049)","0.994 (0.993, 0.993)","0.250 (0.222, 0.222)",Model,0.705,0.974,0.066,0.994,0.25
0.18,"0.705 (0.702, 0.702)","0.975 (0.972, 0.972)","0.066 (0.049, 0.049)","0.996 (0.995, 0.995)","0.267 (0.250, 0.250)",Model,0.705,0.975,0.066,0.996,0.267
0.19,"0.705 (0.702, 0.702)","0.976 (0.972, 0.972)","0.066 (0.049, 0.049)","0.997 (0.995, 0.995)","0.286 (0.267, 0.267)",Model,0.705,0.976,0.066,0.997,0.286
0.2,"0.705 (0.702, 0.702)","0.976 (0.973, 0.973)","0.066 (0.049, 0.049)","0.997 (0.995, 0.995)","0.375 (0.267, 0.267)",Model,0.705,0.976,0.066,0.997,0.375
