Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source,AUC_Median,Accuracy_Median,Sensitivity_Median,Specificity_Median,PPV (Precision)_Median
0.21,"0.705 (0.702, 0.702)","0.977 (0.973, 0.973)","0.033 (0.024, 0.024)","0.997 (0.996, 0.996)","0.333 (0.200, 0.200)",Model,0.705,0.977,0.033,0.997,0.333
0.22,"0.705 (0.702, 0.702)","0.977 (0.974, 0.974)","0.033 (0.024, 0.024)","0.997 (0.997, 0.997)","0.333 (0.222, 0.222)",Model,0.705,0.977,0.033,0.997,0.333
0.23,"0.705 (0.702, 0.702)","0.977 (0.974, 0.974)","0.033 (0.024, 0.024)","0.998 (0.998, 0.998)","0.400 (0.286, 0.286)",Model,0.705,0.977,0.033,0.998,0.4
0.24,"0.705 (0.702, 0.702)","0.977 (0.974, 0.974)","0.033 (0.024, 0.024)","0.998 (0.998, 0.998)","0.400 (0.286, 0.286)",Model,0.705,0.977,0.033,0.998,0.4
0.25,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.024 (0.022, 0.022)","0.999 (0.998, 0.998)","0.444 (0.250, 0.250)",Model,0.705,0.976,0.024,0.999,0.444
0.26,"0.705 (0.702, 0.702)","0.977 (0.975, 0.975)","0.024 (0.022, 0.022)","0.999 (0.998, 0.998)","0.500 (0.250, 0.250)",Model,0.705,0.977,0.024,0.999,0.5
0.27,"0.705 (0.702, 0.702)","0.977 (0.975, 0.975)","0.024 (0.022, 0.022)","0.999 (0.998, 0.998)","0.467 (0.250, 0.250)",Model,0.705,0.977,0.024,0.999,0.467
0.28,"0.705 (0.702, 0.702)","0.977 (0.975, 0.975)","0.016 (0.000, 0.000)","0.999 (0.998, 0.998)","0.333 (0.000, 0.000)",Model,0.705,0.977,0.016,0.999,0.333
0.29,"0.705 (0.702, 0.702)","0.977 (0.976, 0.976)","0.016 (0.000, 0.000)","0.999 (0.998, 0.998)","0.333 (0.000, 0.000)",Model,0.705,0.977,0.016,0.999,0.333
0.3,"0.705 (0.702, 0.702)","0.977 (0.976, 0.976)","0.016 (0.000, 0.000)","0.999 (0.999, 0.999)","0.333 (0.000, 0.000)",Model,0.705,0.977,0.016,0.999,0.333
0.31,"0.705 (0.702, 0.702)","0.977 (0.976, 0.976)","0.016 (0.000, 0.000)","1.000 (0.999, 0.999)","0.500 (0.000, 0.000)",Model,0.705,0.977,0.016,1.0,0.5
0.32,"0.705 (0.702, 0.702)","0.977 (0.976, 0.976)","0.016 (0.000, 0.000)","1.000 (0.999, 0.999)","0.500 (0.000, 0.000)",Model,0.705,0.977,0.016,1.0,0.5
0.33,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.016 (0.000, 0.000)","1.000 (0.999, 0.999)","0.500 (0.000, 0.000)",Model,0.705,0.976,0.016,1.0,0.5
0.34,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.35000000000000003,"0.705 (0.702, 0.702)","0.976 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.36,"0.705 (0.702, 0.702)","0.976 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.37,"0.705 (0.702, 0.702)","0.976 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.38,"0.705 (0.702, 0.702)","0.976 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.39,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.4,"0.705 (0.702, 0.702)","0.976 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.41000000000000003,"0.705 (0.702, 0.702)","0.976 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.42,"0.705 (0.702, 0.702)","0.976 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.43,"0.705 (0.702, 0.702)","0.976 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.44,"0.705 (0.702, 0.702)","0.976 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.45,"0.705 (0.702, 0.702)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.977,0.0,1.0,0.0
0.46,"0.705 (0.702, 0.702)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.977,0.0,1.0,0.0
0.47000000000000003,"0.705 (0.702, 0.702)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.977,0.0,1.0,0.0
0.48,"0.705 (0.702, 0.702)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.977,0.0,1.0,0.0
0.49,"0.705 (0.702, 0.702)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.977,0.0,1.0,0.0
0.5,"0.705 (0.702, 0.702)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.977,0.0,1.0,0.0
0.51,"0.705 (0.702, 0.702)","0.976 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.52,"0.705 (0.702, 0.702)","0.976 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.53,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.54,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.55,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.56,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.5700000000000001,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.58,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.59,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.6,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.61,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.62,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.63,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.64,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.65,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.66,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.67,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.68,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.6900000000000001,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.7000000000000001,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.71,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.72,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.73,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.74,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.75,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.76,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.77,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.78,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.79,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.8,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.81,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.8200000000000001,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.8300000000000001,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.84,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.85,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.86,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.87,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.88,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.89,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.9,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.91,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.92,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.93,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.9400000000000001,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.9500000000000001,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.96,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.97,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.98,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.99,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
1.0,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
1.01,"0.705 (0.702, 0.702)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.705,0.976,0.0,1.0,0.0
0.0,"0.704 (0.635, 0.635)","0.063 (0.062, 0.062)","0.978 (0.976, 0.976)","0.043 (0.042, 0.042)","0.025 (0.021, 0.021)",AlloSure,0.704,0.063,0.978,0.043,0.025
0.01,"0.704 (0.635, 0.635)","0.129 (0.127, 0.127)","0.951 (0.943, 0.943)","0.109 (0.109, 0.109)","0.025 (0.022, 0.022)",AlloSure,0.704,0.129,0.951,0.109,0.025
0.02,"0.704 (0.635, 0.635)","0.216 (0.214, 0.214)","0.935 (0.885, 0.885)","0.199 (0.198, 0.198)","0.028 (0.024, 0.024)",AlloSure,0.704,0.216,0.935,0.199,0.028
0.03,"0.704 (0.635, 0.635)","0.305 (0.303, 0.303)","0.887 (0.885, 0.885)","0.291 (0.286, 0.286)","0.030 (0.027, 0.027)",AlloSure,0.704,0.305,0.887,0.291,0.03
0.04,"0.704 (0.635, 0.635)","0.383 (0.377, 0.377)","0.811 (0.770, 0.770)","0.371 (0.366, 0.366)","0.031 (0.029, 0.029)",AlloSure,0.704,0.383,0.811,0.371,0.031
0.05,"0.704 (0.635, 0.635)","0.452 (0.450, 0.450)","0.755 (0.738, 0.738)","0.444 (0.442, 0.442)","0.032 (0.031, 0.031)",AlloSure,0.704,0.452,0.755,0.444,0.032
0.06,"0.704 (0.635, 0.635)","0.511 (0.510, 0.510)","0.755 (0.639, 0.639)","0.506 (0.503, 0.503)","0.036 (0.032, 0.032)",AlloSure,0.704,0.511,0.755,0.506,0.036
0.07,"0.704 (0.635, 0.635)","0.565 (0.561, 0.561)","0.717 (0.623, 0.623)","0.561 (0.557, 0.557)","0.038 (0.035, 0.035)",AlloSure,0.704,0.565,0.717,0.561,0.038
0.08,"0.704 (0.635, 0.635)","0.607 (0.604, 0.604)","0.660 (0.557, 0.557)","0.605 (0.605, 0.605)","0.039 (0.038, 0.038)",AlloSure,0.704,0.607,0.66,0.605,0.039
0.09,"0.704 (0.635, 0.635)","0.645 (0.635, 0.635)","0.660 (0.525, 0.525)","0.645 (0.638, 0.638)","0.042 (0.040, 0.040)",AlloSure,0.704,0.645,0.66,0.645,0.042
0.1,"0.704 (0.635, 0.635)","0.675 (0.668, 0.668)","0.642 (0.492, 0.492)","0.676 (0.673, 0.673)","0.044 (0.041, 0.041)",AlloSure,0.704,0.675,0.642,0.676,0.044
0.11,"0.704 (0.635, 0.635)","0.695 (0.692, 0.692)","0.632 (0.492, 0.492)","0.698 (0.697, 0.697)","0.045 (0.044, 0.044)",AlloSure,0.704,0.695,0.632,0.698,0.045
0.12,"0.704 (0.635, 0.635)","0.716 (0.711, 0.711)","0.623 (0.475, 0.475)","0.719 (0.718, 0.718)","0.048 (0.046, 0.046)",AlloSure,0.704,0.716,0.623,0.719,0.048
0.13,"0.704 (0.635, 0.635)","0.734 (0.731, 0.731)","0.623 (0.459, 0.459)","0.737 (0.737, 0.737)","0.050 (0.047, 0.047)",AlloSure,0.704,0.734,0.623,0.737,0.05
0.14,"0.704 (0.635, 0.635)","0.747 (0.744, 0.744)","0.585 (0.443, 0.443)","0.752 (0.750, 0.750)","0.050 (0.048, 0.048)",AlloSure,0.704,0.747,0.585,0.752,0.05
0.15,"0.704 (0.635, 0.635)","0.759 (0.753, 0.753)","0.585 (0.426, 0.426)","0.762 (0.762, 0.762)","0.053 (0.048, 0.048)",AlloSure,0.704,0.759,0.585,0.762,0.053
0.16,"0.704 (0.635, 0.635)","0.767 (0.765, 0.765)","0.566 (0.426, 0.426)","0.775 (0.771, 0.771)","0.056 (0.051, 0.051)",AlloSure,0.704,0.767,0.566,0.775,0.056
0.17,"0.704 (0.635, 0.635)","0.777 (0.774, 0.774)","0.565 (0.410, 0.410)","0.784 (0.782, 0.782)","0.055 (0.051, 0.051)",AlloSure,0.704,0.777,0.565,0.784,0.055
0.18,"0.704 (0.635, 0.635)","0.784 (0.784, 0.784)","0.509 (0.410, 0.410)","0.795 (0.790, 0.790)","0.056 (0.054, 0.054)",AlloSure,0.704,0.784,0.509,0.795,0.056
0.19,"0.704 (0.635, 0.635)","0.793 (0.793, 0.793)","0.509 (0.410, 0.410)","0.803 (0.800, 0.800)","0.057 (0.056, 0.056)",AlloSure,0.704,0.793,0.509,0.803,0.057
0.2,"0.704 (0.635, 0.635)","0.802 (0.800, 0.800)","0.509 (0.410, 0.410)","0.813 (0.811, 0.811)","0.060 (0.058, 0.058)",AlloSure,0.704,0.802,0.509,0.813,0.06
0.21,"0.704 (0.635, 0.635)","0.808 (0.807, 0.807)","0.478 (0.361, 0.361)","0.819 (0.819, 0.819)","0.058 (0.054, 0.054)",AlloSure,0.704,0.808,0.478,0.819,0.058
0.22,"0.704 (0.635, 0.635)","0.815 (0.811, 0.811)","0.457 (0.311, 0.311)","0.826 (0.825, 0.825)","0.056 (0.048, 0.048)",AlloSure,0.704,0.815,0.457,0.826,0.056
0.23,"0.704 (0.635, 0.635)","0.821 (0.820, 0.820)","0.453 (0.295, 0.295)","0.836 (0.832, 0.832)","0.059 (0.049, 0.049)",AlloSure,0.704,0.821,0.453,0.836,0.059
0.24,"0.704 (0.635, 0.635)","0.827 (0.826, 0.826)","0.435 (0.295, 0.295)","0.842 (0.837, 0.837)","0.058 (0.050, 0.050)",AlloSure,0.704,0.827,0.435,0.842,0.058
0.25,"0.704 (0.635, 0.635)","0.831 (0.831, 0.831)","0.413 (0.295, 0.295)","0.846 (0.843, 0.843)","0.057 (0.052, 0.052)",AlloSure,0.704,0.831,0.413,0.846,0.057
0.26,"0.704 (0.635, 0.635)","0.839 (0.835, 0.835)","0.413 (0.295, 0.295)","0.851 (0.850, 0.850)","0.058 (0.053, 0.053)",AlloSure,0.704,0.839,0.413,0.851,0.058
0.27,"0.704 (0.635, 0.635)","0.843 (0.840, 0.840)","0.391 (0.279, 0.279)","0.856 (0.855, 0.855)","0.057 (0.052, 0.052)",AlloSure,0.704,0.843,0.391,0.856,0.057
0.28,"0.704 (0.635, 0.635)","0.848 (0.843, 0.843)","0.391 (0.279, 0.279)","0.860 (0.859, 0.859)","0.058 (0.053, 0.053)",AlloSure,0.704,0.848,0.391,0.86,0.058
0.29,"0.704 (0.635, 0.635)","0.851 (0.846, 0.846)","0.391 (0.262, 0.262)","0.863 (0.863, 0.863)","0.059 (0.051, 0.051)",AlloSure,0.704,0.851,0.391,0.863,0.059
