,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.7967268082611164,0.9383583267561169,0.487062404870624,0.9630400399567136,0.418848167539267,Full Dataset
1,0.2,0.7967268082611164,0.9513812154696133,0.4444444444444444,0.979105968534088,0.5377532228360957,Full Dataset
2,0.30000000000000004,0.7967268082611164,0.9574585635359116,0.3911719939117199,0.9884292016981603,0.648989898989899,Full Dataset
3,0.4,0.7967268082611164,0.9578531965272297,0.3455098934550989,0.9913427120619329,0.6858006042296072,Full Dataset
4,0.5,0.7967268082611164,0.9590370955011839,0.3242009132420091,0.9937567635062016,0.7395833333333334,Full Dataset
5,0.1,0.7319825972580563,0.9350891194466614,0.3696969696969697,0.9610461880912632,0.3034825870646766,Test Dataset
6,0.2,0.7319825972580563,0.9465283320031923,0.3151515151515151,0.9755147468002225,0.37142857142857144,Test Dataset
7,0.30000000000000004,0.7319825972580563,0.9529130087789306,0.23030303030303031,0.9860879243183083,0.4318181818181818,Test Dataset
8,0.4,0.7319825972580563,0.9534450651769087,0.18181818181818182,0.9888703394546466,0.42857142857142855,Test Dataset
9,0.5,0.7319825972580563,0.9547752061718542,0.16363636363636364,0.9910962715637173,0.4576271186440678,Test Dataset
