,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.6505138410359985,0.6507276507276507,0.5723684210526315,0.65744920993228,0.12536023054755044,Full Dataset
1,0.2,0.6505138410359985,0.7635135135135135,0.45394736842105265,0.7900677200902935,0.1564625850340136,Full Dataset
2,0.30000000000000004,0.6505138410359985,0.803014553014553,0.32894736842105265,0.8436794582392777,0.1529051987767584,Full Dataset
3,0.4,0.6505138410359985,0.831081081081081,0.3092105263157895,0.8758465011286681,0.1760299625468165,Full Dataset
4,0.5,0.6505138410359985,0.8461538461538461,0.2631578947368421,0.8961625282167043,0.17857142857142858,Full Dataset
5,0.1,0.6586854460093896,0.6155844155844156,0.6,0.6169014084507042,0.11688311688311688,Test Dataset
6,0.2,0.6586854460093896,0.7454545454545455,0.5,0.7661971830985915,0.15306122448979592,Test Dataset
7,0.30000000000000004,0.6586854460093896,0.8,0.4,0.8338028169014085,0.16901408450704225,Test Dataset
8,0.4,0.6586854460093896,0.8337662337662337,0.4,0.8704225352112676,0.20689655172413793,Test Dataset
9,0.5,0.6586854460093896,0.8519480519480519,0.3333333333333333,0.895774647887324,0.2127659574468085,Test Dataset
