,ady_dna,avisitn,aval_AlloSure,aval_AlloMap
count,12690.0,12690.0,12690.0,12690.0
mean,296.02545311268716,298.8713159968479,0.23686253525856668,29.766981875492515
std,262.62384628695963,261.59913133143203,0.7823060002136604,6.25910930714321
min,16.0,30.0,-0.068664629,2.0
25%,123.0,121.0,0.026265407424999998,27.0
50%,214.0,182.0,0.058830284600000005,31.0
75%,357.0,365.0,0.14064210775,34.0
max,2059.0,2098.0,16.983634347,39.0
