Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.698 (0.667, 0.667)","0.022 (0.022, 0.022)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.022, 0.022)",Model
0.01,"0.698 (0.667, 0.667)","0.342 (0.320, 0.320)","0.865 (0.822, 0.822)","0.330 (0.307, 0.307)","0.028 (0.028, 0.028)",Model
0.02,"0.698 (0.667, 0.667)","0.694 (0.680, 0.680)","0.570 (0.508, 0.508)","0.696 (0.683, 0.683)","0.041 (0.035, 0.035)",Model
0.03,"0.698 (0.667, 0.667)","0.846 (0.836, 0.836)","0.419 (0.371, 0.371)","0.856 (0.842, 0.842)","0.063 (0.055, 0.055)",Model
0.04,"0.698 (0.667, 0.667)","0.907 (0.901, 0.901)","0.334 (0.269, 0.269)","0.920 (0.914, 0.914)","0.086 (0.073, 0.073)",Model
0.05,"0.698 (0.667, 0.667)","0.937 (0.932, 0.932)","0.255 (0.173, 0.173)","0.952 (0.950, 0.950)","0.110 (0.080, 0.080)",Model
0.06,"0.698 (0.667, 0.667)","0.952 (0.947, 0.947)","0.221 (0.119, 0.119)","0.968 (0.965, 0.965)","0.134 (0.080, 0.080)",Model
0.07,"0.698 (0.667, 0.667)","0.960 (0.955, 0.955)","0.203 (0.119, 0.119)","0.976 (0.974, 0.974)","0.157 (0.104, 0.104)",Model
0.08,"0.698 (0.667, 0.667)","0.964 (0.960, 0.960)","0.171 (0.082, 0.082)","0.981 (0.979, 0.979)","0.167 (0.092, 0.092)",Model
0.09,"0.698 (0.667, 0.667)","0.967 (0.963, 0.963)","0.148 (0.082, 0.082)","0.985 (0.983, 0.983)","0.171 (0.111, 0.111)",Model
0.1,"0.698 (0.667, 0.667)","0.969 (0.964, 0.964)","0.131 (0.076, 0.076)","0.987 (0.985, 0.985)","0.175 (0.122, 0.122)",Model
0.11,"0.698 (0.667, 0.667)","0.972 (0.969, 0.969)","0.124 (0.076, 0.076)","0.990 (0.988, 0.988)","0.205 (0.149, 0.149)",Model
0.12,"0.698 (0.667, 0.667)","0.972 (0.970, 0.970)","0.119 (0.076, 0.076)","0.991 (0.990, 0.990)","0.215 (0.153, 0.153)",Model
