,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.7234734701683999,0.8682998089672997,0.42592592592592593,0.8938547486033519,0.18818181818181817,Full Dataset
1,0.2,0.7234734701683999,0.9314529722440724,0.2736625514403292,0.9694520385118269,0.34102564102564104,Full Dataset
2,0.30000000000000004,0.7234734701683999,0.9439262838521182,0.2222222222222222,0.9856174967312492,0.47161572052401746,Full Dataset
3,0.4,0.7234734701683999,0.9479716822114844,0.18518518518518517,0.9920361345536669,0.5732484076433121,Full Dataset
4,0.5,0.7234734701683999,0.9495448926845713,0.14609053497942387,0.9959586354451444,0.6761904761904762,Full Dataset
5,0.1,0.6304923990604087,0.863849765258216,0.30434782608695654,0.8874617737003058,0.1024390243902439,Test Dataset
6,0.2,0.6304923990604087,0.9330985915492958,0.14492753623188406,0.9663608562691132,0.15384615384615385,Test Dataset
7,0.30000000000000004,0.6304923990604087,0.9465962441314554,0.10144927536231885,0.982262996941896,0.19444444444444445,Test Dataset
8,0.4,0.6304923990604087,0.954225352112676,0.07246376811594203,0.9914373088685016,0.2631578947368421,Test Dataset
9,0.5,0.6304923990604087,0.9589201877934272,0.057971014492753624,0.9969418960244648,0.4444444444444444,Test Dataset
