Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.718 (0.709, 0.709)","0.022 (0.021, 0.021)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.021, 0.021)",Model
0.01,"0.718 (0.709, 0.709)","0.347 (0.326, 0.326)","0.862 (0.827, 0.827)","0.335 (0.315, 0.315)","0.028 (0.025, 0.025)",Model
0.02,"0.718 (0.709, 0.709)","0.690 (0.667, 0.667)","0.646 (0.618, 0.618)","0.691 (0.667, 0.667)","0.046 (0.037, 0.037)",Model
0.03,"0.718 (0.709, 0.709)","0.839 (0.823, 0.823)","0.466 (0.462, 0.462)","0.848 (0.828, 0.828)","0.066 (0.054, 0.054)",Model
0.04,"0.718 (0.709, 0.709)","0.898 (0.891, 0.891)","0.356 (0.323, 0.323)","0.911 (0.900, 0.900)","0.084 (0.073, 0.073)",Model
0.05,"0.718 (0.709, 0.709)","0.932 (0.931, 0.931)","0.279 (0.250, 0.250)","0.947 (0.943, 0.943)","0.109 (0.098, 0.098)",Model
0.06,"0.718 (0.709, 0.709)","0.948 (0.947, 0.947)","0.239 (0.246, 0.246)","0.964 (0.959, 0.959)","0.134 (0.111, 0.111)",Model
0.07,"0.718 (0.709, 0.709)","0.957 (0.957, 0.957)","0.224 (0.227, 0.227)","0.973 (0.971, 0.971)","0.161 (0.127, 0.127)",Model
0.08,"0.718 (0.709, 0.709)","0.961 (0.960, 0.960)","0.200 (0.182, 0.182)","0.978 (0.976, 0.976)","0.172 (0.118, 0.118)",Model
0.09,"0.718 (0.709, 0.709)","0.965 (0.962, 0.962)","0.186 (0.182, 0.182)","0.982 (0.983, 0.983)","0.190 (0.155, 0.155)",Model
0.1,"0.718 (0.709, 0.709)","0.967 (0.965, 0.965)","0.178 (0.164, 0.164)","0.985 (0.985, 0.985)","0.211 (0.158, 0.158)",Model
0.11,"0.718 (0.709, 0.709)","0.969 (0.966, 0.966)","0.159 (0.127, 0.127)","0.987 (0.986, 0.986)","0.220 (0.163, 0.163)",Model
0.12,"0.718 (0.709, 0.709)","0.971 (0.968, 0.968)","0.142 (0.127, 0.127)","0.989 (0.989, 0.989)","0.231 (0.188, 0.188)",Model
