Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0.1,0.5513651634279332,0.8215415913200723,0.24197002141327623,0.8538360577496719,0.08445440956651719,Full Dataset
0.2,0.5513651634279332,0.9208860759493671,0.08779443254817987,0.9673070039374776,0.13015873015873017,Full Dataset
0.30000000000000004,0.5513651634279332,0.9406645569620253,0.044967880085653104,0.9905739171936523,0.21,Full Dataset
0.4,0.5513651634279332,0.945750452079566,0.019271948608137045,0.9973750149146879,0.2903225806451613,Full Dataset
0.5,0.5513651634279332,0.9466546112115732,0.004282655246252677,0.9991647774728553,0.2222222222222222,Full Dataset
0.1,0.5241852119131672,0.8044181034482759,0.211864406779661,0.8446490218642118,0.0847457627118644,Test Dataset
0.2,0.5241852119131672,0.90625,0.06779661016949153,0.9631760644418872,0.1111111111111111,Test Dataset
0.30000000000000004,0.5241852119131672,0.927801724137931,0.01694915254237288,0.9896432681242808,0.1,Test Dataset
0.4,0.5241852119131672,0.9342672413793104,0.0,0.997698504027618,0.0,Test Dataset
0.5,0.5241852119131672,0.9364224137931034,0.0,1.0,0.0,Test Dataset
