,ady_dna,avisitn,aval_AlloSure,aval_AlloMap
count,22214.0,22214.0,22214.0,22214.0
mean,483.9887008193031,484.8417664535878,0.18729299147786518,30.216395066174485
std,388.9041767038748,387.04268907230636,0.6424547365066579,5.5567724224552135
min,34.0,30.0,-0.067295147,2.0
25%,184.0,182.0,0.02598729885,27.0
50%,346.0,365.0,0.05383214535,31.0
75%,695.0,730.0,0.1112646425,34.0
max,2203.0,2190.0,16.983634347,39.0
