Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0.1,0.5581681009882942,0.8395247972845559,0.21442495126705652,0.8712969384722085,0.07806955287437899,Full Dataset
0.2,0.5581681009882942,0.9254195738261362,0.09551656920077972,0.9676013078371148,0.13031914893617022,Full Dataset
0.30000000000000004,0.5581681009882942,0.9439939656798039,0.04678362573099415,0.9895967502229268,0.18604651162790697,Full Dataset
0.4,0.5581681009882942,0.950216858382048,0.029239766081871343,0.9970276429208362,0.3333333333333333,Full Dataset
0.5,0.5581681009882942,0.9512540071657553,0.009746588693957114,0.9991082928762509,0.35714285714285715,Full Dataset
0.1,0.5366948303269058,0.8379990821477742,0.1875,0.8732462506047411,0.07420494699646643,Test Dataset
0.2,0.5366948303269058,0.914180816888481,0.05357142857142857,0.9608127721335269,0.06896551724137931,Test Dataset
0.30000000000000004,0.5366948303269058,0.9394217530977512,0.044642857142857144,0.9879051765844219,0.16666666666666666,Test Dataset
0.4,0.5366948303269058,0.9458467186782928,0.044642857142857144,0.9946782776971457,0.3125,Test Dataset
0.5,0.5366948303269058,0.947682423129876,0.017857142857142856,0.9980648282535075,0.3333333333333333,Test Dataset
