,ady_dna,avisitn,aval_AlloSure,aval_AlloMap
count,11512.0,11512.0,11512.0,11512.0
mean,281.8268763029882,284.8045517720639,0.22543938636006716,29.697706740792217
std,245.8596473664417,244.82915565427768,0.7710148258921641,6.259150330353011
min,16.0,30.0,-0.067295147,2.0
25%,120.0,121.0,0.02552973705,26.0
50%,207.0,182.0,0.05709301495,31.0
75%,345.0,365.0,0.13391068839999998,34.0
max,2038.0,2007.0,16.983634347,39.0
