Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.33,"0.646 (0.624, 0.624)","0.980 (0.978, 0.978)","0.006 (0.000, 0.000)","0.999 (0.998, 0.998)","0.033 (0.000, 0.000)",Model
0.34,"0.646 (0.624, 0.624)","0.980 (0.978, 0.978)","0.006 (0.000, 0.000)","0.999 (0.998, 0.998)","0.033 (0.000, 0.000)",Model
0.35000000000000003,"0.646 (0.624, 0.624)","0.980 (0.978, 0.978)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.36,"0.646 (0.624, 0.624)","0.980 (0.978, 0.978)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.37,"0.646 (0.624, 0.624)","0.980 (0.978, 0.978)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.38,"0.646 (0.624, 0.624)","0.980 (0.978, 0.978)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.39,"0.646 (0.624, 0.624)","0.980 (0.978, 0.978)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.4,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.41000000000000003,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.42,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.43,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.44,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.45,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.46,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.47000000000000003,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.48,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.49,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.5,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.51,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.52,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.53,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.54,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.55,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.56,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5700000000000001,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.58,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.59,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.61,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.62,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.63,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.64,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.65,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.66,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.67,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.68,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6900000000000001,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.7000000000000001,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.71,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.72,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.73,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.74,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.75,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.76,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
