Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.641 (0.631, 0.631)","0.025 (0.024, 0.024)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.025 (0.024, 0.024)",Model
0.01,"0.641 (0.631, 0.631)","0.189 (0.162, 0.162)","0.948 (0.950, 0.950)","0.169 (0.142, 0.142)","0.028 (0.027, 0.027)",Model
0.02,"0.641 (0.631, 0.631)","0.517 (0.495, 0.495)","0.686 (0.698, 0.698)","0.513 (0.488, 0.488)","0.035 (0.034, 0.034)",Model
0.03,"0.641 (0.631, 0.631)","0.705 (0.696, 0.696)","0.465 (0.450, 0.450)","0.711 (0.702, 0.702)","0.040 (0.035, 0.035)",Model
0.04,"0.641 (0.631, 0.631)","0.813 (0.800, 0.800)","0.311 (0.323, 0.323)","0.825 (0.810, 0.810)","0.047 (0.040, 0.040)",Model
0.05,"0.641 (0.631, 0.631)","0.887 (0.884, 0.884)","0.186 (0.116, 0.116)","0.904 (0.899, 0.899)","0.054 (0.034, 0.034)",Model
0.06,"0.641 (0.631, 0.631)","0.929 (0.925, 0.925)","0.159 (0.093, 0.093)","0.949 (0.942, 0.942)","0.083 (0.047, 0.047)",Model
0.07,"0.641 (0.631, 0.631)","0.946 (0.946, 0.946)","0.119 (0.047, 0.047)","0.967 (0.962, 0.962)","0.095 (0.031, 0.031)",Model
0.08,"0.641 (0.631, 0.631)","0.959 (0.958, 0.958)","0.081 (0.047, 0.047)","0.982 (0.972, 0.972)","0.140 (0.039, 0.039)",Model
0.09,"0.641 (0.631, 0.631)","0.969 (0.966, 0.966)","0.056 (0.000, 0.000)","0.992 (0.989, 0.989)","0.187 (0.000, 0.000)",Model
0.1,"0.641 (0.631, 0.631)","0.971 (0.967, 0.967)","0.048 (0.000, 0.000)","0.994 (0.993, 0.993)","0.187 (0.000, 0.000)",Model
0.11,"0.641 (0.631, 0.631)","0.973 (0.972, 0.972)","0.033 (0.000, 0.000)","0.997 (0.996, 0.996)","0.183 (0.000, 0.000)",Model
0.12,"0.641 (0.631, 0.631)","0.974 (0.973, 0.973)","0.021 (0.000, 0.000)","0.998 (0.998, 0.998)","0.186 (0.000, 0.000)",Model
0.13,"0.641 (0.631, 0.631)","0.974 (0.973, 0.973)","0.005 (0.000, 0.000)","0.999 (0.998, 0.998)","0.050 (0.000, 0.000)",Model
0.14,"0.641 (0.631, 0.631)","0.974 (0.973, 0.973)","0.005 (0.000, 0.000)","0.999 (0.999, 0.999)","0.067 (0.000, 0.000)",Model
