,ady_dna,avisitn,aval_AlloSure,aval_AlloMap
count,27136.0,27136.0,27136.0,27136.0
mean,482.225383254717,483.0468381485849,0.1977510464297256,30.275022110849058
std,385.9672470714373,384.21987696563764,0.7097700972391726,5.583645437302851
min,16.0,30.0,-0.068664629,2.0
25%,185.0,182.0,0.0260154482,27.0
50%,346.0,365.0,0.0542556731,31.0
75%,690.0,730.0,0.114663479175,34.0
max,2203.0,2190.0,21.925016995,39.0
