Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0.1,0.6280975824870174,0.9754670087388759,0.014598540145985401,0.9970489384375768,0.1,Full Dataset
0.2,0.6280975824870174,0.9771506453940512,0.0036496350364963502,0.9990163128125256,0.07692307692307693,Full Dataset
0.30000000000000004,0.6280975824870174,0.9777920307864988,0.0036496350364963502,0.9996721042708419,0.2,Full Dataset
0.4,0.6280975824870174,0.9778722039605549,0.0036496350364963502,0.9997540782031314,0.25,Full Dataset
0.5,0.6280975824870174,0.9779523771346108,0.0036496350364963502,0.9998360521354209,0.3333333333333333,Full Dataset
0.1,0.6011205598700194,0.9781275006668445,0.0410958904109589,0.9967355821545157,0.2,Test Dataset
0.2,0.6011205598700194,0.9802614030408109,0.0136986301369863,0.999455930359086,0.3333333333333333,Test Dataset
0.30000000000000004,0.6011205598700194,0.9805281408375567,0.0136986301369863,0.999727965179543,0.5,Test Dataset
0.4,0.6011205598700194,0.9805281408375567,0.0136986301369863,0.999727965179543,0.5,Test Dataset
0.5,0.6011205598700194,0.9807948786343025,0.0136986301369863,1.0,1.0,Test Dataset
