,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.7526701443333,0.6862567811934901,0.6852248394004282,0.6863142823052142,0.10851135978297728,Full Dataset
1,0.2,0.7526701443333,0.8166817359855335,0.5931477516059958,0.8291373344469634,0.16208308952603862,Full Dataset
2,0.30000000000000004,0.7526701443333,0.8616636528028933,0.5182012847965739,0.8808018136260589,0.19500402900886382,Full Dataset
3,0.4,0.7526701443333,0.8867540687160941,0.47751605995717344,0.9095573320606133,0.2273190621814475,Full Dataset
4,0.5,0.7526701443333,0.8992992766726944,0.4282655246252677,0.925545877580241,0.24271844660194175,Full Dataset
5,0.1,0.751186051456884,0.6897883295194508,0.6762177650429799,0.6905012795423754,0.10296684118673648,Test Dataset
6,0.2,0.751186051456884,0.8216533180778032,0.5931232091690545,0.8336594911937377,0.15777439024390244,Test Dataset
7,0.30000000000000004,0.751186051456884,0.8679919908466819,0.5243553008595988,0.8860454613879272,0.1946808510638298,Test Dataset
8,0.4,0.751186051456884,0.8913043478260869,0.4871060171919771,0.9125395152792413,0.22636484687083888,Test Dataset
9,0.5,0.751186051456884,0.9047482837528604,0.4383954154727794,0.9292488333584225,0.24558587479935795,Test Dataset
