Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.715 (0.699, 0.699)","0.022 (0.021, 0.021)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.021, 0.021)",Model
0.01,"0.715 (0.699, 0.699)","0.356 (0.324, 0.324)","0.838 (0.788, 0.788)","0.345 (0.314, 0.314)","0.028 (0.024, 0.024)",Model
0.02,"0.715 (0.699, 0.699)","0.692 (0.681, 0.681)","0.619 (0.596, 0.596)","0.694 (0.682, 0.682)","0.044 (0.038, 0.038)",Model
0.03,"0.715 (0.699, 0.699)","0.838 (0.832, 0.832)","0.471 (0.446, 0.446)","0.847 (0.839, 0.839)","0.065 (0.054, 0.054)",Model
0.04,"0.715 (0.699, 0.699)","0.899 (0.896, 0.896)","0.367 (0.327, 0.327)","0.911 (0.908, 0.908)","0.084 (0.076, 0.076)",Model
0.05,"0.715 (0.699, 0.699)","0.930 (0.928, 0.928)","0.293 (0.250, 0.250)","0.944 (0.943, 0.943)","0.105 (0.088, 0.088)",Model
0.06,"0.715 (0.699, 0.699)","0.945 (0.943, 0.943)","0.256 (0.212, 0.212)","0.960 (0.959, 0.959)","0.125 (0.098, 0.098)",Model
0.07,"0.715 (0.699, 0.699)","0.954 (0.953, 0.953)","0.232 (0.212, 0.212)","0.970 (0.968, 0.968)","0.146 (0.124, 0.124)",Model
0.08,"0.715 (0.699, 0.699)","0.960 (0.958, 0.958)","0.202 (0.200, 0.200)","0.977 (0.974, 0.974)","0.160 (0.147, 0.147)",Model
0.09,"0.715 (0.699, 0.699)","0.964 (0.962, 0.962)","0.178 (0.164, 0.164)","0.982 (0.979, 0.979)","0.177 (0.156, 0.156)",Model
0.1,"0.715 (0.699, 0.699)","0.967 (0.964, 0.964)","0.155 (0.135, 0.135)","0.985 (0.981, 0.981)","0.187 (0.162, 0.162)",Model
0.11,"0.715 (0.699, 0.699)","0.969 (0.967, 0.967)","0.145 (0.127, 0.127)","0.987 (0.985, 0.985)","0.199 (0.161, 0.161)",Model
0.12,"0.715 (0.699, 0.699)","0.970 (0.968, 0.968)","0.127 (0.109, 0.109)","0.989 (0.987, 0.987)","0.212 (0.167, 0.167)",Model
0.13,"0.715 (0.699, 0.699)","0.971 (0.969, 0.969)","0.115 (0.096, 0.096)","0.990 (0.988, 0.988)","0.223 (0.160, 0.160)",Model
0.14,"0.715 (0.699, 0.699)","0.972 (0.970, 0.970)","0.108 (0.077, 0.077)","0.992 (0.990, 0.990)","0.234 (0.174, 0.174)",Model
0.15,"0.715 (0.699, 0.699)","0.973 (0.971, 0.971)","0.104 (0.071, 0.071)","0.992 (0.991, 0.991)","0.235 (0.182, 0.182)",Model
0.16,"0.715 (0.699, 0.699)","0.973 (0.972, 0.972)","0.094 (0.071, 0.071)","0.993 (0.992, 0.992)","0.236 (0.185, 0.185)",Model
0.17,"0.715 (0.699, 0.699)","0.974 (0.972, 0.972)","0.087 (0.071, 0.071)","0.993 (0.993, 0.993)","0.233 (0.160, 0.160)",Model
0.18,"0.715 (0.699, 0.699)","0.974 (0.972, 0.972)","0.087 (0.071, 0.071)","0.994 (0.994, 0.994)","0.252 (0.174, 0.174)",Model
0.19,"0.715 (0.699, 0.699)","0.974 (0.972, 0.972)","0.087 (0.071, 0.071)","0.994 (0.994, 0.994)","0.264 (0.182, 0.182)",Model
0.2,"0.715 (0.699, 0.699)","0.975 (0.973, 0.973)","0.076 (0.055, 0.055)","0.995 (0.994, 0.994)","0.246 (0.182, 0.182)",Model
0.21,"0.715 (0.699, 0.699)","0.975 (0.973, 0.973)","0.069 (0.054, 0.054)","0.995 (0.994, 0.994)","0.272 (0.188, 0.188)",Model
0.22,"0.715 (0.699, 0.699)","0.975 (0.973, 0.973)","0.059 (0.054, 0.054)","0.996 (0.995, 0.995)","0.265 (0.200, 0.200)",Model
0.23,"0.715 (0.699, 0.699)","0.976 (0.973, 0.973)","0.059 (0.054, 0.054)","0.996 (0.995, 0.995)","0.301 (0.200, 0.200)",Model
0.24,"0.715 (0.699, 0.699)","0.976 (0.973, 0.973)","0.047 (0.036, 0.036)","0.997 (0.995, 0.995)","0.299 (0.143, 0.143)",Model
0.25,"0.715 (0.699, 0.699)","0.976 (0.973, 0.973)","0.044 (0.019, 0.019)","0.997 (0.995, 0.995)","0.307 (0.200, 0.200)",Model
0.26,"0.715 (0.699, 0.699)","0.976 (0.973, 0.973)","0.041 (0.019, 0.019)","0.997 (0.996, 0.996)","0.306 (0.200, 0.200)",Model
0.27,"0.715 (0.699, 0.699)","0.977 (0.974, 0.974)","0.036 (0.019, 0.019)","0.998 (0.996, 0.996)","0.319 (0.182, 0.182)",Model
0.28,"0.715 (0.699, 0.699)","0.977 (0.974, 0.974)","0.036 (0.019, 0.019)","0.998 (0.996, 0.996)","0.330 (0.182, 0.182)",Model
0.29,"0.715 (0.699, 0.699)","0.977 (0.974, 0.974)","0.029 (0.018, 0.018)","0.998 (0.996, 0.996)","0.296 (0.182, 0.182)",Model
0.3,"0.715 (0.699, 0.699)","0.977 (0.974, 0.974)","0.029 (0.018, 0.018)","0.998 (0.997, 0.997)","0.309 (0.182, 0.182)",Model
0.31,"0.715 (0.699, 0.699)","0.977 (0.975, 0.975)","0.026 (0.018, 0.018)","0.998 (0.998, 0.998)","0.323 (0.200, 0.200)",Model
0.32,"0.715 (0.699, 0.699)","0.977 (0.975, 0.975)","0.022 (0.018, 0.018)","0.999 (0.998, 0.998)","0.412 (0.200, 0.200)",Model
0.33,"0.715 (0.699, 0.699)","0.977 (0.975, 0.975)","0.019 (0.018, 0.018)","0.999 (0.998, 0.998)","0.382 (0.200, 0.200)",Model
0.34,"0.715 (0.699, 0.699)","0.977 (0.975, 0.975)","0.019 (0.018, 0.018)","0.999 (0.998, 0.998)","0.385 (0.200, 0.200)",Model
0.35000000000000003,"0.715 (0.699, 0.699)","0.977 (0.975, 0.975)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.135 (0.000, 0.000)",Model
0.36,"0.715 (0.699, 0.699)","0.977 (0.975, 0.975)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.135 (0.000, 0.000)",Model
0.37,"0.715 (0.699, 0.699)","0.977 (0.975, 0.975)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.140 (0.000, 0.000)",Model
0.38,"0.715 (0.699, 0.699)","0.977 (0.975, 0.975)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.140 (0.000, 0.000)",Model
0.39,"0.715 (0.699, 0.699)","0.977 (0.975, 0.975)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.140 (0.000, 0.000)",Model
0.4,"0.715 (0.699, 0.699)","0.977 (0.975, 0.975)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.140 (0.000, 0.000)",Model
0.41000000000000003,"0.715 (0.699, 0.699)","0.977 (0.975, 0.975)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.140 (0.000, 0.000)",Model
0.42,"0.715 (0.699, 0.699)","0.978 (0.976, 0.976)","0.011 (0.000, 0.000)","0.999 (0.999, 0.999)","0.150 (0.000, 0.000)",Model
