Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.38,"0.654 (0.636, 0.636)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.39,"0.654 (0.636, 0.636)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.4,"0.654 (0.636, 0.636)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.41000000000000003,"0.654 (0.636, 0.636)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.42,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.43,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.44,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.45,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.46,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.47000000000000003,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.48,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.49,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.51,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.52,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.53,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.54,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.55,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.56,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5700000000000001,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.58,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.59,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.61,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.62,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.63,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.64,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.65,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.66,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.67,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.68,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6900000000000001,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.7000000000000001,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.71,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.72,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.73,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.74,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.75,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.76,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.77,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.78,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.79,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.81,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8200000000000001,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8300000000000001,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.84,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.85,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.86,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.87,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.88,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.89,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.91,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.92,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.93,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9400000000000001,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9500000000000001,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.96,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.97,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.98,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.99,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.0,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.01,"0.654 (0.636, 0.636)","0.975 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.0,"0.666 (0.612, 0.612)","0.066 (0.065, 0.065)","0.976 (0.946, 0.946)","0.042 (0.040, 0.040)","0.026 (0.025, 0.025)",AlloSure
0.01,"0.666 (0.612, 0.612)","0.130 (0.126, 0.126)","0.937 (0.923, 0.923)","0.110 (0.108, 0.108)","0.026 (0.025, 0.025)",AlloSure
0.02,"0.666 (0.612, 0.612)","0.213 (0.209, 0.209)","0.903 (0.892, 0.892)","0.195 (0.193, 0.193)","0.028 (0.026, 0.026)",AlloSure
0.03,"0.666 (0.612, 0.612)","0.302 (0.298, 0.298)","0.881 (0.872, 0.872)","0.287 (0.285, 0.285)","0.031 (0.029, 0.029)",AlloSure
0.04,"0.666 (0.612, 0.612)","0.377 (0.369, 0.369)","0.786 (0.784, 0.784)","0.366 (0.360, 0.360)","0.031 (0.028, 0.028)",AlloSure
0.05,"0.666 (0.612, 0.612)","0.446 (0.431, 0.431)","0.757 (0.744, 0.744)","0.438 (0.424, 0.424)","0.034 (0.030, 0.030)",AlloSure
0.06,"0.666 (0.612, 0.612)","0.502 (0.483, 0.483)","0.697 (0.622, 0.622)","0.497 (0.481, 0.481)","0.035 (0.032, 0.032)",AlloSure
0.07,"0.666 (0.612, 0.612)","0.554 (0.531, 0.531)","0.679 (0.600, 0.600)","0.551 (0.531, 0.531)","0.038 (0.034, 0.034)",AlloSure
0.08,"0.666 (0.612, 0.612)","0.598 (0.572, 0.572)","0.631 (0.600, 0.600)","0.597 (0.573, 0.573)","0.039 (0.037, 0.037)",AlloSure
0.09,"0.666 (0.612, 0.612)","0.637 (0.612, 0.612)","0.600 (0.578, 0.578)","0.638 (0.615, 0.615)","0.041 (0.040, 0.040)",AlloSure
0.1,"0.666 (0.612, 0.612)","0.667 (0.642, 0.642)","0.577 (0.533, 0.533)","0.670 (0.646, 0.646)","0.044 (0.040, 0.040)",AlloSure
0.11,"0.666 (0.612, 0.612)","0.691 (0.668, 0.668)","0.573 (0.533, 0.533)","0.694 (0.672, 0.672)","0.046 (0.043, 0.043)",AlloSure
0.12,"0.666 (0.612, 0.612)","0.709 (0.689, 0.689)","0.562 (0.533, 0.533)","0.713 (0.695, 0.695)","0.049 (0.046, 0.046)",AlloSure
0.13,"0.666 (0.612, 0.612)","0.728 (0.708, 0.708)","0.552 (0.513, 0.513)","0.732 (0.714, 0.714)","0.051 (0.046, 0.046)",AlloSure
0.14,"0.666 (0.612, 0.612)","0.741 (0.725, 0.725)","0.524 (0.444, 0.444)","0.747 (0.732, 0.732)","0.051 (0.043, 0.043)",AlloSure
0.15,"0.666 (0.612, 0.612)","0.755 (0.738, 0.738)","0.513 (0.444, 0.444)","0.761 (0.746, 0.746)","0.053 (0.046, 0.046)",AlloSure
0.16,"0.666 (0.612, 0.612)","0.769 (0.754, 0.754)","0.503 (0.436, 0.436)","0.776 (0.763, 0.763)","0.056 (0.047, 0.047)",AlloSure
0.17,"0.666 (0.612, 0.612)","0.779 (0.766, 0.766)","0.487 (0.422, 0.422)","0.786 (0.775, 0.775)","0.056 (0.050, 0.050)",AlloSure
0.18,"0.666 (0.612, 0.612)","0.788 (0.773, 0.773)","0.467 (0.378, 0.378)","0.797 (0.784, 0.784)","0.057 (0.046, 0.046)",AlloSure
0.19,"0.666 (0.612, 0.612)","0.797 (0.783, 0.783)","0.457 (0.378, 0.378)","0.806 (0.794, 0.794)","0.058 (0.049, 0.049)",AlloSure
0.2,"0.666 (0.612, 0.612)","0.808 (0.794, 0.794)","0.452 (0.378, 0.378)","0.817 (0.806, 0.806)","0.061 (0.051, 0.051)",AlloSure
0.21,"0.666 (0.612, 0.612)","0.813 (0.799, 0.799)","0.408 (0.333, 0.333)","0.824 (0.812, 0.812)","0.057 (0.045, 0.045)",AlloSure
0.22,"0.666 (0.612, 0.612)","0.818 (0.805, 0.805)","0.394 (0.311, 0.311)","0.829 (0.819, 0.819)","0.057 (0.042, 0.042)",AlloSure
0.23,"0.666 (0.612, 0.612)","0.825 (0.810, 0.810)","0.388 (0.311, 0.311)","0.836 (0.824, 0.824)","0.059 (0.044, 0.044)",AlloSure
0.24,"0.666 (0.612, 0.612)","0.831 (0.814, 0.814)","0.379 (0.311, 0.311)","0.842 (0.828, 0.828)","0.060 (0.046, 0.046)",AlloSure
0.25,"0.666 (0.612, 0.612)","0.835 (0.818, 0.818)","0.374 (0.297, 0.297)","0.847 (0.831, 0.831)","0.061 (0.047, 0.047)",AlloSure
0.26,"0.666 (0.612, 0.612)","0.840 (0.826, 0.826)","0.369 (0.297, 0.297)","0.852 (0.837, 0.837)","0.062 (0.049, 0.049)",AlloSure
0.27,"0.666 (0.612, 0.612)","0.843 (0.829, 0.829)","0.361 (0.289, 0.289)","0.856 (0.841, 0.841)","0.062 (0.048, 0.048)",AlloSure
0.28,"0.666 (0.612, 0.612)","0.847 (0.834, 0.834)","0.361 (0.289, 0.289)","0.859 (0.846, 0.846)","0.063 (0.050, 0.050)",AlloSure
0.29,"0.666 (0.612, 0.612)","0.850 (0.837, 0.837)","0.352 (0.289, 0.289)","0.863 (0.849, 0.849)","0.063 (0.050, 0.050)",AlloSure
0.3,"0.666 (0.612, 0.612)","0.853 (0.842, 0.842)","0.342 (0.289, 0.289)","0.866 (0.854, 0.854)","0.063 (0.052, 0.052)",AlloSure
0.31,"0.666 (0.612, 0.612)","0.856 (0.845, 0.845)","0.342 (0.289, 0.289)","0.869 (0.857, 0.857)","0.064 (0.053, 0.053)",AlloSure
0.32,"0.666 (0.612, 0.612)","0.859 (0.849, 0.849)","0.338 (0.289, 0.289)","0.872 (0.861, 0.861)","0.065 (0.053, 0.053)",AlloSure
0.33,"0.666 (0.612, 0.612)","0.862 (0.852, 0.852)","0.334 (0.289, 0.289)","0.875 (0.864, 0.864)","0.065 (0.055, 0.055)",AlloSure
0.34,"0.666 (0.612, 0.612)","0.864 (0.854, 0.854)","0.330 (0.289, 0.289)","0.878 (0.867, 0.867)","0.066 (0.057, 0.057)",AlloSure
0.35000000000000003,"0.666 (0.612, 0.612)","0.866 (0.856, 0.856)","0.326 (0.289, 0.289)","0.880 (0.868, 0.868)","0.066 (0.057, 0.057)",AlloSure
0.36,"0.666 (0.612, 0.612)","0.869 (0.860, 0.860)","0.326 (0.289, 0.289)","0.883 (0.872, 0.872)","0.068 (0.058, 0.058)",AlloSure
0.37,"0.666 (0.612, 0.612)","0.872 (0.862, 0.862)","0.326 (0.289, 0.289)","0.886 (0.874, 0.874)","0.069 (0.059, 0.059)",AlloSure
0.38,"0.666 (0.612, 0.612)","0.873 (0.863, 0.863)","0.326 (0.289, 0.289)","0.887 (0.875, 0.875)","0.070 (0.059, 0.059)",AlloSure
0.39,"0.666 (0.612, 0.612)","0.876 (0.865, 0.865)","0.326 (0.289, 0.289)","0.890 (0.878, 0.878)","0.072 (0.061, 0.061)",AlloSure
0.4,"0.666 (0.612, 0.612)","0.877 (0.867, 0.867)","0.316 (0.270, 0.270)","0.891 (0.880, 0.880)","0.071 (0.058, 0.058)",AlloSure
0.41000000000000003,"0.666 (0.612, 0.612)","0.878 (0.868, 0.868)","0.316 (0.270, 0.270)","0.893 (0.882, 0.882)","0.072 (0.059, 0.059)",AlloSure
0.42,"0.666 (0.612, 0.612)","0.880 (0.869, 0.869)","0.316 (0.270, 0.270)","0.894 (0.883, 0.883)","0.073 (0.060, 0.060)",AlloSure
0.43,"0.666 (0.612, 0.612)","0.882 (0.872, 0.872)","0.316 (0.270, 0.270)","0.896 (0.885, 0.885)","0.074 (0.060, 0.060)",AlloSure
0.44,"0.666 (0.612, 0.612)","0.884 (0.873, 0.873)","0.311 (0.270, 0.270)","0.898 (0.887, 0.887)","0.074 (0.062, 0.062)",AlloSure
0.45,"0.666 (0.612, 0.612)","0.885 (0.875, 0.875)","0.293 (0.270, 0.270)","0.900 (0.890, 0.890)","0.071 (0.063, 0.063)",AlloSure
0.46,"0.666 (0.612, 0.612)","0.886 (0.878, 0.878)","0.293 (0.270, 0.270)","0.902 (0.891, 0.891)","0.072 (0.063, 0.063)",AlloSure
0.47000000000000003,"0.666 (0.612, 0.612)","0.889 (0.881, 0.881)","0.288 (0.270, 0.270)","0.904 (0.894, 0.894)","0.073 (0.065, 0.065)",AlloSure
0.48,"0.666 (0.612, 0.612)","0.890 (0.883, 0.883)","0.288 (0.270, 0.270)","0.906 (0.896, 0.896)","0.074 (0.065, 0.065)",AlloSure
0.49,"0.666 (0.612, 0.612)","0.891 (0.883, 0.883)","0.279 (0.270, 0.270)","0.907 (0.896, 0.896)","0.072 (0.066, 0.066)",AlloSure
0.5,"0.666 (0.612, 0.612)","0.893 (0.883, 0.883)","0.279 (0.270, 0.270)","0.908 (0.900, 0.900)","0.074 (0.069, 0.069)",AlloSure
0.51,"0.666 (0.612, 0.612)","0.894 (0.887, 0.887)","0.271 (0.267, 0.267)","0.910 (0.902, 0.902)","0.072 (0.070, 0.070)",AlloSure
0.52,"0.666 (0.612, 0.612)","0.895 (0.890, 0.890)","0.266 (0.260, 0.260)","0.911 (0.903, 0.903)","0.072 (0.066, 0.066)",AlloSure
0.53,"0.666 (0.612, 0.612)","0.897 (0.891, 0.891)","0.251 (0.243, 0.243)","0.914 (0.907, 0.907)","0.070 (0.067, 0.067)",AlloSure
0.54,"0.666 (0.612, 0.612)","0.898 (0.893, 0.893)","0.246 (0.240, 0.240)","0.915 (0.908, 0.908)","0.070 (0.062, 0.062)",AlloSure
