Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.696 (0.691, 0.691)","0.022 (0.020, 0.020)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.020, 0.020)",Model
0.01,"0.696 (0.691, 0.691)","0.354 (0.336, 0.336)","0.856 (0.841, 0.841)","0.343 (0.324, 0.324)","0.029 (0.027, 0.027)",Model
0.02,"0.696 (0.691, 0.691)","0.705 (0.693, 0.693)","0.572 (0.527, 0.527)","0.708 (0.695, 0.695)","0.043 (0.043, 0.043)",Model
0.03,"0.696 (0.691, 0.691)","0.842 (0.833, 0.833)","0.425 (0.334, 0.334)","0.851 (0.840, 0.840)","0.062 (0.055, 0.055)",Model
0.04,"0.696 (0.691, 0.691)","0.903 (0.897, 0.897)","0.328 (0.267, 0.267)","0.916 (0.909, 0.909)","0.083 (0.063, 0.063)",Model
0.05,"0.696 (0.691, 0.691)","0.932 (0.924, 0.924)","0.271 (0.246, 0.246)","0.947 (0.938, 0.938)","0.106 (0.071, 0.071)",Model
0.06,"0.696 (0.691, 0.691)","0.948 (0.942, 0.942)","0.238 (0.213, 0.213)","0.964 (0.955, 0.955)","0.128 (0.090, 0.090)",Model
0.07,"0.696 (0.691, 0.691)","0.958 (0.955, 0.955)","0.221 (0.167, 0.167)","0.974 (0.969, 0.969)","0.158 (0.107, 0.107)",Model
0.08,"0.696 (0.691, 0.691)","0.962 (0.960, 0.960)","0.192 (0.089, 0.089)","0.979 (0.975, 0.975)","0.169 (0.101, 0.101)",Model
0.09,"0.696 (0.691, 0.691)","0.966 (0.964, 0.964)","0.176 (0.081, 0.081)","0.983 (0.979, 0.979)","0.189 (0.119, 0.119)",Model
0.1,"0.696 (0.691, 0.691)","0.968 (0.966, 0.966)","0.153 (0.060, 0.060)","0.987 (0.982, 0.982)","0.189 (0.073, 0.073)",Model
0.11,"0.696 (0.691, 0.691)","0.970 (0.968, 0.968)","0.140 (0.060, 0.060)","0.989 (0.985, 0.985)","0.202 (0.083, 0.083)",Model
0.12,"0.696 (0.691, 0.691)","0.972 (0.968, 0.968)","0.126 (0.021, 0.021)","0.991 (0.988, 0.988)","0.206 (0.045, 0.045)",Model
0.13,"0.696 (0.691, 0.691)","0.973 (0.970, 0.970)","0.118 (0.021, 0.021)","0.992 (0.989, 0.989)","0.217 (0.050, 0.050)",Model
0.14,"0.696 (0.691, 0.691)","0.974 (0.971, 0.971)","0.118 (0.021, 0.021)","0.993 (0.990, 0.990)","0.233 (0.050, 0.050)",Model
0.15,"0.696 (0.691, 0.691)","0.974 (0.971, 0.971)","0.106 (0.021, 0.021)","0.994 (0.992, 0.992)","0.235 (0.056, 0.056)",Model
0.16,"0.696 (0.691, 0.691)","0.974 (0.971, 0.971)","0.100 (0.021, 0.021)","0.994 (0.992, 0.992)","0.235 (0.056, 0.056)",Model
0.17,"0.696 (0.691, 0.691)","0.975 (0.972, 0.972)","0.096 (0.021, 0.021)","0.995 (0.993, 0.993)","0.241 (0.062, 0.062)",Model
0.18,"0.696 (0.691, 0.691)","0.975 (0.972, 0.972)","0.085 (0.008, 0.008)","0.995 (0.994, 0.994)","0.232 (0.042, 0.042)",Model
0.19,"0.696 (0.691, 0.691)","0.976 (0.972, 0.972)","0.079 (0.008, 0.008)","0.996 (0.995, 0.995)","0.238 (0.042, 0.042)",Model
0.2,"0.696 (0.691, 0.691)","0.976 (0.972, 0.972)","0.067 (0.008, 0.008)","0.996 (0.996, 0.996)","0.231 (0.050, 0.050)",Model
0.21,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.067 (0.008, 0.008)","0.997 (0.997, 0.997)","0.267 (0.062, 0.062)",Model
0.22,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.064 (0.008, 0.008)","0.997 (0.997, 0.997)","0.286 (0.067, 0.067)",Model
0.23,"0.696 (0.691, 0.691)","0.977 (0.975, 0.975)","0.061 (0.008, 0.008)","0.998 (0.997, 0.997)","0.317 (0.067, 0.067)",Model
0.24,"0.696 (0.691, 0.691)","0.977 (0.975, 0.975)","0.054 (0.008, 0.008)","0.998 (0.997, 0.997)","0.320 (0.067, 0.067)",Model
0.25,"0.696 (0.691, 0.691)","0.977 (0.975, 0.975)","0.048 (0.008, 0.008)","0.998 (0.997, 0.997)","0.315 (0.062, 0.062)",Model
0.26,"0.696 (0.691, 0.691)","0.977 (0.975, 0.975)","0.045 (0.008, 0.008)","0.998 (0.997, 0.997)","0.305 (0.062, 0.062)",Model
0.27,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.034 (0.007, 0.007)","0.998 (0.998, 0.998)","0.318 (0.050, 0.050)",Model
0.28,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.030 (0.000, 0.000)","0.998 (0.998, 0.998)","0.285 (0.000, 0.000)",Model
0.29,"0.696 (0.691, 0.691)","0.977 (0.975, 0.975)","0.030 (0.000, 0.000)","0.998 (0.999, 0.999)","0.300 (0.000, 0.000)",Model
0.3,"0.696 (0.691, 0.691)","0.977 (0.975, 0.975)","0.030 (0.000, 0.000)","0.998 (0.999, 0.999)","0.300 (0.000, 0.000)",Model
0.31,"0.696 (0.691, 0.691)","0.977 (0.975, 0.975)","0.028 (0.000, 0.000)","0.999 (0.999, 0.999)","0.250 (0.000, 0.000)",Model
0.32,"0.696 (0.691, 0.691)","0.977 (0.975, 0.975)","0.024 (0.000, 0.000)","0.999 (0.999, 0.999)","0.258 (0.000, 0.000)",Model
0.33,"0.696 (0.691, 0.691)","0.977 (0.975, 0.975)","0.020 (0.000, 0.000)","0.999 (0.999, 0.999)","0.208 (0.000, 0.000)",Model
0.34,"0.696 (0.691, 0.691)","0.977 (0.975, 0.975)","0.020 (0.000, 0.000)","0.999 (0.999, 0.999)","0.208 (0.000, 0.000)",Model
0.35000000000000003,"0.696 (0.691, 0.691)","0.977 (0.975, 0.975)","0.020 (0.000, 0.000)","0.999 (0.999, 0.999)","0.208 (0.000, 0.000)",Model
0.36,"0.696 (0.691, 0.691)","0.977 (0.975, 0.975)","0.020 (0.000, 0.000)","0.999 (0.999, 0.999)","0.225 (0.000, 0.000)",Model
0.37,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.013 (0.000, 0.000)","0.999 (0.999, 0.999)","0.127 (0.000, 0.000)",Model
0.38,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.013 (0.000, 0.000)","0.999 (0.999, 0.999)","0.130 (0.000, 0.000)",Model
0.39,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.009 (0.000, 0.000)","0.999 (0.999, 0.999)","0.030 (0.000, 0.000)",Model
0.4,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.009 (0.000, 0.000)","0.999 (0.999, 0.999)","0.030 (0.000, 0.000)",Model
0.41000000000000003,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.009 (0.000, 0.000)","0.999 (0.999, 0.999)","0.030 (0.000, 0.000)",Model
0.42,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.009 (0.000, 0.000)","0.999 (0.999, 0.999)","0.033 (0.000, 0.000)",Model
0.43,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.009 (0.000, 0.000)","0.999 (0.999, 0.999)","0.033 (0.000, 0.000)",Model
0.44,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.009 (0.000, 0.000)","0.999 (0.999, 0.999)","0.033 (0.000, 0.000)",Model
0.45,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.009 (0.000, 0.000)","0.999 (0.999, 0.999)","0.033 (0.000, 0.000)",Model
0.46,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.009 (0.000, 0.000)","0.999 (0.999, 0.999)","0.033 (0.000, 0.000)",Model
0.47000000000000003,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.009 (0.000, 0.000)","0.999 (0.999, 0.999)","0.033 (0.000, 0.000)",Model
0.48,"0.696 (0.691, 0.691)","0.977 (0.974, 0.974)","0.009 (0.000, 0.000)","0.999 (0.999, 0.999)","0.033 (0.000, 0.000)",Model
0.49,"0.696 (0.691, 0.691)","0.978 (0.975, 0.975)","0.009 (0.000, 0.000)","0.999 (1.000, 1.000)","0.033 (0.000, 0.000)",Model
0.5,"0.696 (0.691, 0.691)","0.978 (0.975, 0.975)","0.009 (0.000, 0.000)","0.999 (1.000, 1.000)","0.033 (0.000, 0.000)",Model
0.51,"0.696 (0.691, 0.691)","0.978 (0.975, 0.975)","0.009 (0.000, 0.000)","0.999 (1.000, 1.000)","0.037 (0.000, 0.000)",Model
0.52,"0.696 (0.691, 0.691)","0.978 (0.975, 0.975)","0.009 (0.000, 0.000)","1.000 (1.000, 1.000)","0.037 (0.000, 0.000)",Model
0.53,"0.696 (0.691, 0.691)","0.978 (0.975, 0.975)","0.009 (0.000, 0.000)","1.000 (1.000, 1.000)","0.043 (0.000, 0.000)",Model
0.54,"0.696 (0.691, 0.691)","0.978 (0.975, 0.975)","0.009 (0.000, 0.000)","1.000 (1.000, 1.000)","0.050 (0.000, 0.000)",Model
0.55,"0.696 (0.691, 0.691)","0.978 (0.975, 0.975)","0.009 (0.000, 0.000)","1.000 (1.000, 1.000)","0.050 (0.000, 0.000)",Model
0.56,"0.696 (0.691, 0.691)","0.978 (0.975, 0.975)","0.009 (0.000, 0.000)","1.000 (1.000, 1.000)","0.050 (0.000, 0.000)",Model
0.5700000000000001,"0.696 (0.691, 0.691)","0.978 (0.975, 0.975)","0.009 (0.000, 0.000)","1.000 (1.000, 1.000)","0.050 (0.000, 0.000)",Model
0.58,"0.696 (0.691, 0.691)","0.978 (0.975, 0.975)","0.009 (0.000, 0.000)","1.000 (1.000, 1.000)","0.050 (0.000, 0.000)",Model
0.59,"0.696 (0.691, 0.691)","0.978 (0.975, 0.975)","0.009 (0.000, 0.000)","1.000 (1.000, 1.000)","0.050 (0.000, 0.000)",Model
0.6,"0.696 (0.691, 0.691)","0.978 (0.975, 0.975)","0.009 (0.000, 0.000)","1.000 (1.000, 1.000)","0.050 (0.000, 0.000)",Model
0.61,"0.696 (0.691, 0.691)","0.978 (0.975, 0.975)","0.009 (0.000, 0.000)","1.000 (1.000, 1.000)","0.060 (0.000, 0.000)",Model
