Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.38,"0.641 (0.612, 0.612)","0.965 (0.961, 0.961)","0.007 (0.000, 0.000)","0.998 (0.999, 0.999)","0.100 (0.000, 0.000)",Model
0.39,"0.641 (0.612, 0.612)","0.965 (0.961, 0.961)","0.007 (0.000, 0.000)","0.998 (0.999, 0.999)","0.100 (0.000, 0.000)",Model
0.4,"0.641 (0.612, 0.612)","0.965 (0.961, 0.961)","0.007 (0.000, 0.000)","0.998 (0.999, 0.999)","0.100 (0.000, 0.000)",Model
0.41000000000000003,"0.641 (0.612, 0.612)","0.965 (0.961, 0.961)","0.007 (0.000, 0.000)","0.998 (0.999, 0.999)","0.100 (0.000, 0.000)",Model
0.42,"0.641 (0.612, 0.612)","0.965 (0.961, 0.961)","0.007 (0.000, 0.000)","0.998 (0.999, 0.999)","0.100 (0.000, 0.000)",Model
0.43,"0.641 (0.612, 0.612)","0.965 (0.961, 0.961)","0.007 (0.000, 0.000)","0.998 (0.999, 0.999)","0.100 (0.000, 0.000)",Model
0.44,"0.641 (0.612, 0.612)","0.965 (0.960, 0.960)","0.000 (0.000, 0.000)","0.998 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.45,"0.641 (0.612, 0.612)","0.965 (0.960, 0.960)","0.000 (0.000, 0.000)","0.998 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.46,"0.641 (0.612, 0.612)","0.965 (0.960, 0.960)","0.000 (0.000, 0.000)","0.998 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.47000000000000003,"0.641 (0.612, 0.612)","0.965 (0.960, 0.960)","0.000 (0.000, 0.000)","0.998 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.48,"0.641 (0.612, 0.612)","0.965 (0.960, 0.960)","0.000 (0.000, 0.000)","0.998 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.49,"0.641 (0.612, 0.612)","0.965 (0.960, 0.960)","0.000 (0.000, 0.000)","0.998 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.5,"0.641 (0.612, 0.612)","0.965 (0.961, 0.961)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.51,"0.641 (0.612, 0.612)","0.965 (0.961, 0.961)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.52,"0.641 (0.612, 0.612)","0.965 (0.961, 0.961)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.53,"0.641 (0.612, 0.612)","0.966 (0.961, 0.961)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.54,"0.641 (0.612, 0.612)","0.966 (0.961, 0.961)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.55,"0.641 (0.612, 0.612)","0.966 (0.961, 0.961)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.56,"0.641 (0.612, 0.612)","0.966 (0.961, 0.961)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5700000000000001,"0.641 (0.612, 0.612)","0.966 (0.961, 0.961)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.58,"0.641 (0.612, 0.612)","0.966 (0.961, 0.961)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.59,"0.641 (0.612, 0.612)","0.966 (0.961, 0.961)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6,"0.641 (0.612, 0.612)","0.966 (0.961, 0.961)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.61,"0.641 (0.612, 0.612)","0.966 (0.961, 0.961)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.62,"0.641 (0.612, 0.612)","0.966 (0.961, 0.961)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.63,"0.641 (0.612, 0.612)","0.966 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.64,"0.641 (0.612, 0.612)","0.966 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.65,"0.641 (0.612, 0.612)","0.966 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.66,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.67,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.68,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6900000000000001,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.7000000000000001,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.71,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.72,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.73,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.74,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.75,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
