Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0.1,0.7368403050628648,0.9393905191873589,0.1953781512605042,0.981631679389313,0.3765182186234818,Full Dataset
0.2,0.7368403050628648,0.9441309255079007,0.09033613445378151,0.992604961832061,0.4095238095238095,Full Dataset
0.30000000000000004,0.7368403050628648,0.9454853273137698,0.06932773109243698,0.9952290076335878,0.4520547945205479,Full Dataset
0.4,0.7368403050628648,0.9457110609480812,0.05672268907563025,0.9961832061068703,0.4576271186440678,Full Dataset
0.5,0.7368403050628648,0.9455981941309255,0.04831932773109244,0.9965410305343512,0.4423076923076923,Full Dataset
0.1,0.741698746462908,0.9348148148148148,0.14893617021276595,0.9781164517389606,0.2727272727272727,Test Dataset
0.2,0.741698746462908,0.9422222222222222,0.0425531914893617,0.9917936694021102,0.2222222222222222,Test Dataset
0.30000000000000004,0.741698746462908,0.9451851851851852,0.03546099290780142,0.9953106682297772,0.29411764705882354,Test Dataset
0.4,0.741698746462908,0.9466666666666667,0.03546099290780142,0.9968737788198515,0.38461538461538464,Test Dataset
0.5,0.741698746462908,0.947037037037037,0.03546099290780142,0.9972645564673701,0.4166666666666667,Test Dataset
