Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.701 (0.689, 0.689)","0.022 (0.019, 0.019)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.019, 0.019)",Model
0.01,"0.701 (0.689, 0.689)","0.360 (0.362, 0.362)","0.838 (0.841, 0.841)","0.349 (0.352, 0.352)","0.028 (0.025, 0.025)",Model
0.02,"0.701 (0.689, 0.689)","0.704 (0.695, 0.695)","0.594 (0.522, 0.522)","0.706 (0.696, 0.696)","0.044 (0.038, 0.038)",Model
0.03,"0.701 (0.689, 0.689)","0.838 (0.833, 0.833)","0.435 (0.418, 0.418)","0.847 (0.841, 0.841)","0.061 (0.049, 0.049)",Model
0.04,"0.701 (0.689, 0.689)","0.900 (0.890, 0.890)","0.354 (0.319, 0.319)","0.912 (0.901, 0.901)","0.086 (0.059, 0.059)",Model
0.05,"0.701 (0.689, 0.689)","0.930 (0.922, 0.922)","0.287 (0.234, 0.234)","0.945 (0.937, 0.937)","0.113 (0.062, 0.062)",Model
0.06,"0.701 (0.689, 0.689)","0.945 (0.939, 0.939)","0.241 (0.170, 0.170)","0.960 (0.955, 0.955)","0.134 (0.067, 0.067)",Model
0.07,"0.701 (0.689, 0.689)","0.954 (0.951, 0.951)","0.224 (0.170, 0.170)","0.970 (0.968, 0.968)","0.159 (0.078, 0.078)",Model
0.08,"0.701 (0.689, 0.689)","0.960 (0.960, 0.960)","0.195 (0.170, 0.170)","0.978 (0.976, 0.976)","0.179 (0.090, 0.090)",Model
0.09,"0.701 (0.689, 0.689)","0.964 (0.962, 0.962)","0.163 (0.149, 0.149)","0.982 (0.982, 0.982)","0.190 (0.091, 0.091)",Model
0.1,"0.701 (0.689, 0.689)","0.967 (0.964, 0.964)","0.150 (0.140, 0.140)","0.986 (0.985, 0.985)","0.205 (0.117, 0.117)",Model
0.11,"0.701 (0.689, 0.689)","0.969 (0.967, 0.967)","0.130 (0.123, 0.123)","0.988 (0.988, 0.988)","0.206 (0.146, 0.146)",Model
0.12,"0.701 (0.689, 0.689)","0.971 (0.969, 0.969)","0.117 (0.123, 0.123)","0.990 (0.989, 0.989)","0.214 (0.146, 0.146)",Model
0.13,"0.701 (0.689, 0.689)","0.971 (0.969, 0.969)","0.117 (0.123, 0.123)","0.991 (0.990, 0.990)","0.223 (0.150, 0.150)",Model
0.14,"0.701 (0.689, 0.689)","0.972 (0.970, 0.970)","0.110 (0.119, 0.119)","0.992 (0.991, 0.991)","0.237 (0.171, 0.171)",Model
0.15,"0.701 (0.689, 0.689)","0.973 (0.971, 0.971)","0.105 (0.119, 0.119)","0.993 (0.991, 0.991)","0.241 (0.200, 0.200)",Model
