Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source,AUC_Median,Accuracy_Median,Sensitivity_Median,Specificity_Median,PPV (Precision)_Median
0.0,"0.716 (0.670, 0.670)","0.021 (0.019, 0.019)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.021 (0.019, 0.019)",Model,0.716,0.021,1.0,0.0,0.021
0.01,"0.716 (0.670, 0.670)","0.384 (0.367, 0.367)","0.833 (0.828, 0.828)","0.375 (0.359, 0.359)","0.027 (0.026, 0.026)",Model,0.716,0.384,0.833,0.375,0.027
0.02,"0.716 (0.670, 0.670)","0.696 (0.693, 0.693)","0.603 (0.556, 0.556)","0.697 (0.692, 0.692)","0.048 (0.036, 0.036)",Model,0.716,0.696,0.603,0.697,0.048
0.03,"0.716 (0.670, 0.670)","0.833 (0.829, 0.829)","0.483 (0.400, 0.400)","0.842 (0.835, 0.835)","0.062 (0.050, 0.050)",Model,0.716,0.833,0.483,0.842,0.062
0.04,"0.716 (0.670, 0.670)","0.893 (0.890, 0.890)","0.379 (0.356, 0.356)","0.904 (0.901, 0.901)","0.087 (0.067, 0.067)",Model,0.716,0.893,0.379,0.904,0.087
0.05,"0.716 (0.670, 0.670)","0.923 (0.921, 0.921)","0.292 (0.222, 0.222)","0.937 (0.935, 0.935)","0.106 (0.062, 0.062)",Model,0.716,0.923,0.292,0.937,0.106
0.06,"0.716 (0.670, 0.670)","0.943 (0.942, 0.942)","0.250 (0.200, 0.200)","0.958 (0.957, 0.957)","0.133 (0.083, 0.083)",Model,0.716,0.943,0.25,0.958,0.133
0.07,"0.716 (0.670, 0.670)","0.953 (0.951, 0.951)","0.208 (0.178, 0.178)","0.968 (0.968, 0.968)","0.154 (0.098, 0.098)",Model,0.716,0.953,0.208,0.968,0.154
0.08,"0.716 (0.670, 0.670)","0.959 (0.958, 0.958)","0.207 (0.133, 0.133)","0.976 (0.975, 0.975)","0.182 (0.092, 0.092)",Model,0.716,0.959,0.207,0.976,0.182
0.09,"0.716 (0.670, 0.670)","0.964 (0.964, 0.964)","0.188 (0.089, 0.089)","0.981 (0.981, 0.981)","0.196 (0.083, 0.083)",Model,0.716,0.964,0.188,0.981,0.196
0.1,"0.716 (0.670, 0.670)","0.967 (0.966, 0.966)","0.155 (0.067, 0.067)","0.985 (0.985, 0.985)","0.225 (0.079, 0.079)",Model,0.716,0.967,0.155,0.985,0.225
0.11,"0.716 (0.670, 0.670)","0.969 (0.969, 0.969)","0.155 (0.067, 0.067)","0.987 (0.987, 0.987)","0.231 (0.091, 0.091)",Model,0.716,0.969,0.155,0.987,0.231
0.12,"0.716 (0.670, 0.670)","0.970 (0.970, 0.970)","0.121 (0.067, 0.067)","0.989 (0.988, 0.988)","0.229 (0.097, 0.097)",Model,0.716,0.97,0.121,0.989,0.229
0.13,"0.716 (0.670, 0.670)","0.970 (0.970, 0.970)","0.103 (0.067, 0.067)","0.989 (0.989, 0.989)","0.235 (0.103, 0.103)",Model,0.716,0.97,0.103,0.989,0.235
0.14,"0.716 (0.670, 0.670)","0.972 (0.971, 0.971)","0.103 (0.067, 0.067)","0.992 (0.991, 0.991)","0.226 (0.136, 0.136)",Model,0.716,0.972,0.103,0.992,0.226
0.15,"0.716 (0.670, 0.670)","0.972 (0.972, 0.972)","0.103 (0.067, 0.067)","0.993 (0.991, 0.991)","0.250 (0.158, 0.158)",Model,0.716,0.972,0.103,0.993,0.25
0.16,"0.716 (0.670, 0.670)","0.973 (0.972, 0.972)","0.103 (0.022, 0.022)","0.994 (0.992, 0.992)","0.231 (0.067, 0.067)",Model,0.716,0.973,0.103,0.994,0.231
0.17,"0.716 (0.670, 0.670)","0.973 (0.973, 0.973)","0.086 (0.000, 0.000)","0.994 (0.992, 0.992)","0.250 (0.000, 0.000)",Model,0.716,0.973,0.086,0.994,0.25
0.18,"0.716 (0.670, 0.670)","0.973 (0.973, 0.973)","0.069 (0.000, 0.000)","0.994 (0.992, 0.992)","0.227 (0.000, 0.000)",Model,0.716,0.973,0.069,0.994,0.227
0.19,"0.716 (0.670, 0.670)","0.974 (0.973, 0.973)","0.069 (0.000, 0.000)","0.995 (0.993, 0.993)","0.250 (0.000, 0.000)",Model,0.716,0.974,0.069,0.995,0.25
0.2,"0.716 (0.670, 0.670)","0.975 (0.974, 0.974)","0.069 (0.000, 0.000)","0.995 (0.994, 0.994)","0.278 (0.000, 0.000)",Model,0.716,0.975,0.069,0.995,0.278
0.21,"0.716 (0.670, 0.670)","0.977 (0.974, 0.974)","0.052 (0.000, 0.000)","0.997 (0.996, 0.996)","0.278 (0.000, 0.000)",Model,0.716,0.977,0.052,0.997,0.278
0.22,"0.716 (0.670, 0.670)","0.977 (0.974, 0.974)","0.034 (0.000, 0.000)","0.997 (0.996, 0.996)","0.286 (0.000, 0.000)",Model,0.716,0.977,0.034,0.997,0.286
0.23,"0.716 (0.670, 0.670)","0.978 (0.974, 0.974)","0.017 (0.000, 0.000)","0.997 (0.997, 0.997)","0.200 (0.000, 0.000)",Model,0.716,0.978,0.017,0.997,0.2
0.24,"0.716 (0.670, 0.670)","0.978 (0.974, 0.974)","0.017 (0.000, 0.000)","0.997 (0.997, 0.997)","0.250 (0.000, 0.000)",Model,0.716,0.978,0.017,0.997,0.25
0.25,"0.716 (0.670, 0.670)","0.978 (0.974, 0.974)","0.017 (0.000, 0.000)","0.997 (0.997, 0.997)","0.250 (0.000, 0.000)",Model,0.716,0.978,0.017,0.997,0.25
0.26,"0.716 (0.670, 0.670)","0.978 (0.974, 0.974)","0.017 (0.000, 0.000)","0.997 (0.997, 0.997)","0.250 (0.000, 0.000)",Model,0.716,0.978,0.017,0.997,0.25
0.27,"0.716 (0.670, 0.670)","0.978 (0.974, 0.974)","0.017 (0.000, 0.000)","0.998 (0.997, 0.997)","0.250 (0.000, 0.000)",Model,0.716,0.978,0.017,0.998,0.25
0.28,"0.716 (0.670, 0.670)","0.978 (0.975, 0.975)","0.017 (0.000, 0.000)","0.998 (0.998, 0.998)","0.250 (0.000, 0.000)",Model,0.716,0.978,0.017,0.998,0.25
