Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.710 (0.709, 0.709)","0.022 (0.021, 0.021)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.021, 0.021)",Model
0.01,"0.710 (0.709, 0.709)","0.357 (0.336, 0.336)","0.871 (0.839, 0.839)","0.346 (0.322, 0.322)","0.029 (0.026, 0.026)",Model
0.02,"0.710 (0.709, 0.709)","0.704 (0.690, 0.690)","0.583 (0.568, 0.568)","0.707 (0.692, 0.692)","0.043 (0.039, 0.039)",Model
0.03,"0.710 (0.709, 0.709)","0.847 (0.845, 0.845)","0.448 (0.442, 0.442)","0.855 (0.854, 0.854)","0.066 (0.059, 0.059)",Model
0.04,"0.710 (0.709, 0.709)","0.904 (0.896, 0.896)","0.342 (0.341, 0.341)","0.917 (0.909, 0.909)","0.085 (0.075, 0.075)",Model
0.05,"0.710 (0.709, 0.709)","0.935 (0.929, 0.929)","0.277 (0.250, 0.250)","0.950 (0.946, 0.946)","0.113 (0.095, 0.095)",Model
0.06,"0.710 (0.709, 0.709)","0.948 (0.942, 0.942)","0.227 (0.231, 0.231)","0.964 (0.961, 0.961)","0.127 (0.110, 0.110)",Model
0.07,"0.710 (0.709, 0.709)","0.957 (0.953, 0.953)","0.212 (0.228, 0.228)","0.973 (0.971, 0.971)","0.155 (0.133, 0.133)",Model
0.08,"0.710 (0.709, 0.709)","0.962 (0.958, 0.958)","0.201 (0.211, 0.211)","0.979 (0.976, 0.976)","0.180 (0.143, 0.143)",Model
0.09,"0.710 (0.709, 0.709)","0.965 (0.963, 0.963)","0.158 (0.136, 0.136)","0.983 (0.980, 0.980)","0.181 (0.109, 0.109)",Model
0.1,"0.710 (0.709, 0.709)","0.967 (0.966, 0.966)","0.151 (0.136, 0.136)","0.986 (0.982, 0.982)","0.198 (0.121, 0.121)",Model
0.11,"0.710 (0.709, 0.709)","0.969 (0.968, 0.968)","0.136 (0.114, 0.114)","0.987 (0.986, 0.986)","0.197 (0.128, 0.128)",Model
0.12,"0.710 (0.709, 0.709)","0.970 (0.969, 0.969)","0.124 (0.068, 0.068)","0.989 (0.987, 0.987)","0.210 (0.130, 0.130)",Model
0.13,"0.710 (0.709, 0.709)","0.972 (0.971, 0.971)","0.120 (0.068, 0.068)","0.991 (0.989, 0.989)","0.236 (0.143, 0.143)",Model
0.14,"0.710 (0.709, 0.709)","0.972 (0.971, 0.971)","0.109 (0.068, 0.068)","0.992 (0.990, 0.990)","0.239 (0.150, 0.150)",Model
0.15,"0.710 (0.709, 0.709)","0.973 (0.971, 0.971)","0.102 (0.068, 0.068)","0.993 (0.992, 0.992)","0.252 (0.150, 0.150)",Model
0.16,"0.710 (0.709, 0.709)","0.974 (0.972, 0.972)","0.088 (0.058, 0.058)","0.994 (0.992, 0.992)","0.246 (0.176, 0.176)",Model
