,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.7735070721962971,0.9700152329030707,0.19343065693430658,0.9874579883597017,0.25728155339805825,Full Dataset
1,0.2,0.7735070721962971,0.9769101258718833,0.10218978102189781,0.9965570948438397,0.4,Full Dataset
2,0.30000000000000004,0.7735070721962971,0.9784334161789465,0.08029197080291971,0.9986064431510779,0.5641025641025641,Full Dataset
3,0.4,0.7735070721962971,0.9781127234827227,0.043795620437956206,0.9990982867448152,0.5217391304347826,Full Dataset
4,0.5,0.7735070721962971,0.9780325503086668,0.029197080291970802,0.9993442085416837,0.5,Full Dataset
5,0.1,0.8043584754650328,0.9684037751333607,0.2786885245901639,0.9861111111111112,0.34,Test Dataset
6,0.2,0.8043584754650328,0.9745588838736151,0.18032786885245902,0.9949494949494949,0.4782608695652174,Test Dataset
7,0.30000000000000004,0.8043584754650328,0.9753795650389824,0.13114754098360656,0.9970538720538721,0.5333333333333333,Test Dataset
8,0.4,0.8043584754650328,0.9749692244562987,0.04918032786885246,0.9987373737373737,0.5,Test Dataset
9,0.5,0.8043584754650328,0.9753795650389824,0.03278688524590164,0.9995791245791246,0.6666666666666666,Test Dataset
