Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.708 (0.701, 0.701)","0.022 (0.021, 0.021)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.021, 0.021)",Model
0.01,"0.708 (0.701, 0.701)","0.348 (0.328, 0.328)","0.849 (0.837, 0.837)","0.337 (0.316, 0.316)","0.028 (0.025, 0.025)",Model
0.02,"0.708 (0.701, 0.701)","0.690 (0.678, 0.678)","0.630 (0.585, 0.585)","0.692 (0.678, 0.678)","0.044 (0.039, 0.039)",Model
0.03,"0.708 (0.701, 0.701)","0.836 (0.832, 0.832)","0.451 (0.429, 0.429)","0.845 (0.840, 0.840)","0.061 (0.058, 0.058)",Model
0.04,"0.708 (0.701, 0.701)","0.907 (0.904, 0.904)","0.353 (0.347, 0.347)","0.919 (0.914, 0.914)","0.089 (0.078, 0.078)",Model
0.05,"0.708 (0.701, 0.701)","0.939 (0.937, 0.937)","0.262 (0.245, 0.245)","0.954 (0.951, 0.951)","0.114 (0.096, 0.096)",Model
0.06,"0.708 (0.701, 0.701)","0.954 (0.951, 0.951)","0.224 (0.200, 0.200)","0.970 (0.966, 0.966)","0.143 (0.114, 0.114)",Model
0.07,"0.708 (0.701, 0.701)","0.961 (0.960, 0.960)","0.186 (0.170, 0.170)","0.978 (0.977, 0.977)","0.159 (0.136, 0.136)",Model
0.08,"0.708 (0.701, 0.701)","0.965 (0.964, 0.964)","0.152 (0.140, 0.140)","0.983 (0.982, 0.982)","0.164 (0.140, 0.140)",Model
0.09,"0.708 (0.701, 0.701)","0.968 (0.967, 0.967)","0.148 (0.140, 0.140)","0.986 (0.985, 0.985)","0.185 (0.167, 0.167)",Model
0.1,"0.708 (0.701, 0.701)","0.970 (0.968, 0.968)","0.144 (0.140, 0.140)","0.988 (0.986, 0.986)","0.210 (0.179, 0.179)",Model
0.11,"0.708 (0.701, 0.701)","0.972 (0.971, 0.971)","0.140 (0.120, 0.120)","0.990 (0.989, 0.989)","0.243 (0.190, 0.190)",Model
0.12,"0.708 (0.701, 0.701)","0.973 (0.972, 0.972)","0.121 (0.119, 0.119)","0.992 (0.991, 0.991)","0.244 (0.200, 0.200)",Model
0.13,"0.708 (0.701, 0.701)","0.974 (0.972, 0.972)","0.101 (0.082, 0.082)","0.993 (0.992, 0.992)","0.241 (0.211, 0.211)",Model
0.14,"0.708 (0.701, 0.701)","0.975 (0.973, 0.973)","0.092 (0.075, 0.075)","0.994 (0.993, 0.993)","0.252 (0.182, 0.182)",Model
0.15,"0.708 (0.701, 0.701)","0.975 (0.974, 0.974)","0.084 (0.061, 0.061)","0.995 (0.993, 0.993)","0.258 (0.200, 0.200)",Model
0.16,"0.708 (0.701, 0.701)","0.975 (0.974, 0.974)","0.081 (0.061, 0.061)","0.995 (0.994, 0.994)","0.280 (0.235, 0.235)",Model
0.17,"0.708 (0.701, 0.701)","0.976 (0.975, 0.975)","0.081 (0.061, 0.061)","0.996 (0.994, 0.994)","0.303 (0.235, 0.235)",Model
0.18,"0.708 (0.701, 0.701)","0.976 (0.974, 0.974)","0.071 (0.050, 0.050)","0.996 (0.994, 0.994)","0.295 (0.267, 0.267)",Model
0.19,"0.708 (0.701, 0.701)","0.977 (0.975, 0.975)","0.068 (0.048, 0.048)","0.997 (0.996, 0.996)","0.314 (0.286, 0.286)",Model
0.2,"0.708 (0.701, 0.701)","0.977 (0.976, 0.976)","0.055 (0.024, 0.024)","0.997 (0.996, 0.996)","0.286 (0.250, 0.250)",Model
0.21,"0.708 (0.701, 0.701)","0.977 (0.976, 0.976)","0.052 (0.024, 0.024)","0.997 (0.996, 0.996)","0.333 (0.250, 0.250)",Model
0.22,"0.708 (0.701, 0.701)","0.977 (0.976, 0.976)","0.052 (0.024, 0.024)","0.998 (0.997, 0.997)","0.351 (0.250, 0.250)",Model
0.23,"0.708 (0.701, 0.701)","0.977 (0.976, 0.976)","0.044 (0.020, 0.020)","0.998 (0.997, 0.997)","0.329 (0.250, 0.250)",Model
0.24,"0.708 (0.701, 0.701)","0.978 (0.976, 0.976)","0.040 (0.019, 0.019)","0.999 (0.998, 0.998)","0.378 (0.200, 0.200)",Model
0.25,"0.708 (0.701, 0.701)","0.978 (0.976, 0.976)","0.033 (0.019, 0.019)","0.999 (0.998, 0.998)","0.283 (0.167, 0.167)",Model
0.26,"0.708 (0.701, 0.701)","0.978 (0.976, 0.976)","0.029 (0.019, 0.019)","0.999 (0.998, 0.998)","0.290 (0.200, 0.200)",Model
0.27,"0.708 (0.701, 0.701)","0.978 (0.976, 0.976)","0.029 (0.019, 0.019)","0.999 (0.999, 0.999)","0.300 (0.250, 0.250)",Model
0.28,"0.708 (0.701, 0.701)","0.978 (0.976, 0.976)","0.029 (0.019, 0.019)","0.999 (0.999, 0.999)","0.300 (0.250, 0.250)",Model
0.29,"0.708 (0.701, 0.701)","0.978 (0.976, 0.976)","0.024 (0.000, 0.000)","0.999 (0.999, 0.999)","0.200 (0.000, 0.000)",Model
0.3,"0.708 (0.701, 0.701)","0.978 (0.976, 0.976)","0.024 (0.000, 0.000)","0.999 (0.999, 0.999)","0.214 (0.000, 0.000)",Model
0.31,"0.708 (0.701, 0.701)","0.978 (0.976, 0.976)","0.024 (0.000, 0.000)","0.999 (0.999, 0.999)","0.233 (0.000, 0.000)",Model
0.32,"0.708 (0.701, 0.701)","0.978 (0.977, 0.977)","0.020 (0.000, 0.000)","0.999 (0.999, 0.999)","0.237 (0.000, 0.000)",Model
0.33,"0.708 (0.701, 0.701)","0.978 (0.977, 0.977)","0.020 (0.000, 0.000)","1.000 (0.999, 0.999)","0.287 (0.000, 0.000)",Model
0.34,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.020 (0.000, 0.000)","1.000 (0.999, 0.999)","0.387 (0.000, 0.000)",Model
0.35000000000000003,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.020 (0.000, 0.000)","1.000 (1.000, 1.000)","0.450 (0.000, 0.000)",Model
0.36,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.016 (0.000, 0.000)","1.000 (1.000, 1.000)","0.350 (0.000, 0.000)",Model
0.37,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.016 (0.000, 0.000)","1.000 (1.000, 1.000)","0.350 (0.000, 0.000)",Model
0.38,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.016 (0.000, 0.000)","1.000 (1.000, 1.000)","0.350 (0.000, 0.000)",Model
0.39,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.012 (0.000, 0.000)","1.000 (1.000, 1.000)","0.400 (0.000, 0.000)",Model
0.4,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.012 (0.000, 0.000)","1.000 (1.000, 1.000)","0.400 (0.000, 0.000)",Model
0.41000000000000003,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.008 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.42,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.008 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.43,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.008 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.44,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.008 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.45,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.008 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.46,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.008 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.47000000000000003,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.008 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.48,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.49,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.5,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.51,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.52,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.53,"0.708 (0.701, 0.701)","0.979 (0.977, 0.977)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
