Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.675 (0.661, 0.661)","0.023 (0.021, 0.021)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.023 (0.021, 0.021)",Model
0.01,"0.675 (0.661, 0.661)","0.204 (0.195, 0.195)","0.925 (0.900, 0.900)","0.187 (0.177, 0.177)","0.026 (0.024, 0.024)",Model
0.02,"0.675 (0.661, 0.661)","0.576 (0.564, 0.564)","0.667 (0.667, 0.667)","0.574 (0.561, 0.561)","0.035 (0.034, 0.034)",Model
0.03,"0.675 (0.661, 0.661)","0.754 (0.751, 0.751)","0.490 (0.479, 0.479)","0.760 (0.758, 0.758)","0.045 (0.042, 0.042)",Model
0.04,"0.675 (0.661, 0.661)","0.863 (0.855, 0.855)","0.330 (0.294, 0.294)","0.876 (0.868, 0.868)","0.058 (0.052, 0.052)",Model
0.05,"0.675 (0.661, 0.661)","0.917 (0.912, 0.912)","0.227 (0.196, 0.196)","0.933 (0.930, 0.930)","0.075 (0.053, 0.053)",Model
0.06,"0.675 (0.661, 0.661)","0.943 (0.942, 0.942)","0.140 (0.080, 0.080)","0.961 (0.961, 0.961)","0.086 (0.048, 0.048)",Model
0.07,"0.675 (0.661, 0.661)","0.960 (0.958, 0.958)","0.095 (0.047, 0.047)","0.980 (0.978, 0.978)","0.115 (0.048, 0.048)",Model
0.08,"0.675 (0.661, 0.661)","0.967 (0.964, 0.964)","0.060 (0.047, 0.047)","0.988 (0.986, 0.986)","0.121 (0.047, 0.047)",Model
0.09,"0.675 (0.661, 0.661)","0.971 (0.968, 0.968)","0.052 (0.047, 0.047)","0.992 (0.990, 0.990)","0.173 (0.065, 0.065)",Model
0.1,"0.675 (0.661, 0.661)","0.973 (0.971, 0.971)","0.038 (0.000, 0.000)","0.995 (0.993, 0.993)","0.217 (0.000, 0.000)",Model
0.11,"0.675 (0.661, 0.661)","0.975 (0.973, 0.973)","0.034 (0.000, 0.000)","0.997 (0.995, 0.995)","0.241 (0.000, 0.000)",Model
0.12,"0.675 (0.661, 0.661)","0.975 (0.975, 0.975)","0.023 (0.000, 0.000)","0.998 (0.997, 0.997)","0.247 (0.000, 0.000)",Model
0.13,"0.675 (0.661, 0.661)","0.976 (0.975, 0.975)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.133 (0.000, 0.000)",Model
0.14,"0.675 (0.661, 0.661)","0.976 (0.976, 0.976)","0.008 (0.000, 0.000)","0.999 (0.999, 0.999)","0.080 (0.000, 0.000)",Model
0.15,"0.675 (0.661, 0.661)","0.977 (0.976, 0.976)","0.004 (0.000, 0.000)","0.999 (0.999, 0.999)","0.100 (0.000, 0.000)",Model
0.16,"0.675 (0.661, 0.661)","0.977 (0.976, 0.976)","0.004 (0.000, 0.000)","0.999 (0.999, 0.999)","0.100 (0.000, 0.000)",Model
