Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.38,"0.697 (0.684, 0.684)","0.979 (0.977, 0.977)","0.024 (0.000, 0.000)","0.999 (0.999, 0.999)","0.307 (0.000, 0.000)",Model
0.39,"0.697 (0.684, 0.684)","0.979 (0.977, 0.977)","0.024 (0.000, 0.000)","0.999 (0.999, 0.999)","0.307 (0.000, 0.000)",Model
0.4,"0.697 (0.684, 0.684)","0.979 (0.977, 0.977)","0.024 (0.000, 0.000)","1.000 (0.999, 0.999)","0.307 (0.000, 0.000)",Model
0.41000000000000003,"0.697 (0.684, 0.684)","0.979 (0.977, 0.977)","0.024 (0.000, 0.000)","1.000 (0.999, 0.999)","0.307 (0.000, 0.000)",Model
0.42,"0.697 (0.684, 0.684)","0.979 (0.977, 0.977)","0.024 (0.000, 0.000)","1.000 (0.999, 0.999)","0.327 (0.000, 0.000)",Model
0.43,"0.697 (0.684, 0.684)","0.979 (0.977, 0.977)","0.024 (0.000, 0.000)","1.000 (0.999, 0.999)","0.327 (0.000, 0.000)",Model
0.44,"0.697 (0.684, 0.684)","0.979 (0.977, 0.977)","0.020 (0.000, 0.000)","1.000 (0.999, 0.999)","0.260 (0.000, 0.000)",Model
0.45,"0.697 (0.684, 0.684)","0.979 (0.977, 0.977)","0.020 (0.000, 0.000)","1.000 (0.999, 0.999)","0.260 (0.000, 0.000)",Model
0.46,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.016 (0.000, 0.000)","1.000 (1.000, 1.000)","0.250 (0.000, 0.000)",Model
0.47000000000000003,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.013 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.48,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.013 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.49,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.013 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.5,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.013 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.51,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.013 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.52,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.013 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.53,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.013 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.54,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.013 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.55,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.013 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.56,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.013 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.5700000000000001,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.013 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
