Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.683 (0.681, 0.681)","0.022 (0.022, 0.022)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.022, 0.022)",Model
0.01,"0.683 (0.681, 0.681)","0.405 (0.379, 0.379)","0.805 (0.797, 0.797)","0.396 (0.369, 0.369)","0.029 (0.028, 0.028)",Model
0.02,"0.683 (0.681, 0.681)","0.707 (0.703, 0.703)","0.549 (0.540, 0.540)","0.710 (0.707, 0.707)","0.041 (0.040, 0.040)",Model
0.03,"0.683 (0.681, 0.681)","0.833 (0.827, 0.827)","0.417 (0.407, 0.407)","0.843 (0.836, 0.836)","0.057 (0.056, 0.056)",Model
0.04,"0.683 (0.681, 0.681)","0.894 (0.889, 0.889)","0.344 (0.330, 0.330)","0.906 (0.901, 0.901)","0.077 (0.073, 0.073)",Model
0.05,"0.683 (0.681, 0.681)","0.923 (0.919, 0.919)","0.272 (0.249, 0.249)","0.938 (0.933, 0.933)","0.091 (0.085, 0.085)",Model
0.06,"0.683 (0.681, 0.681)","0.941 (0.937, 0.937)","0.202 (0.186, 0.186)","0.957 (0.954, 0.954)","0.100 (0.084, 0.084)",Model
0.07,"0.683 (0.681, 0.681)","0.951 (0.947, 0.947)","0.183 (0.164, 0.164)","0.969 (0.965, 0.965)","0.124 (0.096, 0.096)",Model
0.08,"0.683 (0.681, 0.681)","0.959 (0.955, 0.955)","0.168 (0.147, 0.147)","0.977 (0.974, 0.974)","0.149 (0.114, 0.114)",Model
0.09,"0.683 (0.681, 0.681)","0.964 (0.961, 0.961)","0.157 (0.142, 0.142)","0.982 (0.980, 0.980)","0.170 (0.139, 0.139)",Model
0.1,"0.683 (0.681, 0.681)","0.965 (0.963, 0.963)","0.135 (0.125, 0.125)","0.984 (0.982, 0.982)","0.166 (0.140, 0.140)",Model
0.11,"0.683 (0.681, 0.681)","0.968 (0.966, 0.966)","0.127 (0.119, 0.119)","0.987 (0.985, 0.985)","0.180 (0.157, 0.157)",Model
0.12,"0.683 (0.681, 0.681)","0.969 (0.967, 0.967)","0.119 (0.107, 0.107)","0.988 (0.987, 0.987)","0.184 (0.153, 0.153)",Model
0.13,"0.683 (0.681, 0.681)","0.970 (0.969, 0.969)","0.115 (0.107, 0.107)","0.989 (0.988, 0.988)","0.201 (0.168, 0.168)",Model
0.14,"0.683 (0.681, 0.681)","0.971 (0.969, 0.969)","0.112 (0.104, 0.104)","0.990 (0.989, 0.989)","0.211 (0.180, 0.180)",Model
0.15,"0.683 (0.681, 0.681)","0.972 (0.971, 0.971)","0.104 (0.093, 0.093)","0.992 (0.990, 0.990)","0.222 (0.201, 0.201)",Model
0.16,"0.683 (0.681, 0.681)","0.973 (0.972, 0.972)","0.101 (0.087, 0.087)","0.992 (0.991, 0.991)","0.231 (0.217, 0.217)",Model
0.17,"0.683 (0.681, 0.681)","0.974 (0.973, 0.973)","0.101 (0.087, 0.087)","0.993 (0.992, 0.992)","0.258 (0.239, 0.239)",Model
0.18,"0.683 (0.681, 0.681)","0.974 (0.973, 0.973)","0.093 (0.075, 0.075)","0.994 (0.993, 0.993)","0.247 (0.231, 0.231)",Model
