Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.653 (0.621, 0.621)","0.034 (0.029, 0.029)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.034 (0.029, 0.029)",Model
0.01,"0.653 (0.621, 0.621)","0.182 (0.135, 0.135)","0.906 (0.897, 0.897)","0.156 (0.103, 0.103)","0.036 (0.032, 0.032)",Model
0.02,"0.653 (0.621, 0.621)","0.424 (0.388, 0.388)","0.795 (0.762, 0.762)","0.411 (0.368, 0.368)","0.045 (0.041, 0.041)",Model
0.03,"0.653 (0.621, 0.621)","0.610 (0.586, 0.586)","0.606 (0.524, 0.524)","0.610 (0.585, 0.585)","0.052 (0.040, 0.040)",Model
0.04,"0.653 (0.621, 0.621)","0.720 (0.707, 0.707)","0.464 (0.429, 0.429)","0.728 (0.711, 0.711)","0.057 (0.042, 0.042)",Model
0.05,"0.653 (0.621, 0.621)","0.789 (0.784, 0.784)","0.353 (0.286, 0.286)","0.804 (0.797, 0.797)","0.062 (0.043, 0.043)",Model
0.06,"0.653 (0.621, 0.621)","0.841 (0.828, 0.828)","0.323 (0.238, 0.238)","0.859 (0.843, 0.843)","0.079 (0.047, 0.047)",Model
0.07,"0.653 (0.621, 0.621)","0.871 (0.861, 0.861)","0.269 (0.238, 0.238)","0.892 (0.880, 0.880)","0.085 (0.056, 0.056)",Model
0.08,"0.653 (0.621, 0.621)","0.897 (0.887, 0.887)","0.232 (0.190, 0.190)","0.921 (0.914, 0.914)","0.103 (0.059, 0.059)",Model
0.09,"0.653 (0.621, 0.621)","0.927 (0.926, 0.926)","0.192 (0.143, 0.143)","0.953 (0.953, 0.953)","0.127 (0.082, 0.082)",Model
0.1,"0.653 (0.621, 0.621)","0.937 (0.929, 0.929)","0.137 (0.103, 0.103)","0.966 (0.960, 0.960)","0.143 (0.093, 0.093)",Model
0.11,"0.653 (0.621, 0.621)","0.949 (0.947, 0.947)","0.113 (0.095, 0.095)","0.978 (0.981, 0.981)","0.181 (0.105, 0.105)",Model
0.12,"0.653 (0.621, 0.621)","0.958 (0.956, 0.956)","0.106 (0.069, 0.069)","0.988 (0.982, 0.982)","0.253 (0.133, 0.133)",Model
0.13,"0.653 (0.621, 0.621)","0.959 (0.955, 0.955)","0.089 (0.069, 0.069)","0.990 (0.986, 0.986)","0.260 (0.154, 0.154)",Model
0.14,"0.653 (0.621, 0.621)","0.960 (0.958, 0.958)","0.063 (0.048, 0.048)","0.992 (0.990, 0.990)","0.263 (0.125, 0.125)",Model
0.15,"0.653 (0.621, 0.621)","0.962 (0.959, 0.959)","0.056 (0.034, 0.034)","0.994 (0.993, 0.993)","0.263 (0.111, 0.111)",Model
0.16,"0.653 (0.621, 0.621)","0.963 (0.959, 0.959)","0.056 (0.034, 0.034)","0.995 (0.994, 0.994)","0.332 (0.125, 0.125)",Model
0.17,"0.653 (0.621, 0.621)","0.963 (0.959, 0.959)","0.047 (0.034, 0.034)","0.995 (0.994, 0.994)","0.309 (0.143, 0.143)",Model
0.18,"0.653 (0.621, 0.621)","0.963 (0.960, 0.960)","0.037 (0.000, 0.000)","0.996 (0.994, 0.994)","0.279 (0.000, 0.000)",Model
0.19,"0.653 (0.621, 0.621)","0.963 (0.960, 0.960)","0.030 (0.000, 0.000)","0.996 (0.994, 0.994)","0.300 (0.000, 0.000)",Model
