Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0.1,0.6489945029597376,0.9757877014350999,0.0072992700729927005,0.997540782031314,0.0625,Full Dataset
0.2,0.6489945029597376,0.977391164916219,0.0036496350364963502,0.9992622346093942,0.1,Full Dataset
0.30000000000000004,0.6489945029597376,0.9778722039605549,0.0036496350364963502,0.9997540782031314,0.25,Full Dataset
0.4,0.6489945029597376,0.9778722039605549,0.0036496350364963502,0.9997540782031314,0.25,Full Dataset
0.5,0.6489945029597376,0.9780325503086668,0.0,1.0,0.0,Full Dataset
0.1,0.5997720018239854,0.9759933774834437,0.0,0.9970401691331924,0.0,Test Dataset
0.2,0.5997720018239854,0.9776490066225165,0.0,0.9987315010570824,0.0,Test Dataset
0.30000000000000004,0.5997720018239854,0.9788907284768212,0.0,1.0,0.0,Test Dataset
0.4,0.5997720018239854,0.9788907284768212,0.0,1.0,0.0,Test Dataset
0.5,0.5997720018239854,0.9788907284768212,0.0,1.0,0.0,Test Dataset
