Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.813 (0.808, 0.808)","0.031 (0.029, 0.029)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.031 (0.029, 0.029)",Model
0.01,"0.813 (0.808, 0.808)","0.580 (0.570, 0.570)","0.798 (0.784, 0.784)","0.574 (0.563, 0.563)","0.056 (0.053, 0.053)",Model
0.02,"0.813 (0.808, 0.808)","0.833 (0.823, 0.823)","0.680 (0.667, 0.667)","0.838 (0.827, 0.827)","0.119 (0.106, 0.106)",Model
0.03,"0.813 (0.808, 0.808)","0.911 (0.909, 0.909)","0.629 (0.620, 0.620)","0.920 (0.918, 0.918)","0.198 (0.190, 0.190)",Model
0.04,"0.813 (0.808, 0.808)","0.934 (0.932, 0.932)","0.608 (0.600, 0.600)","0.944 (0.943, 0.943)","0.255 (0.245, 0.245)",Model
0.05,"0.813 (0.808, 0.808)","0.943 (0.941, 0.941)","0.580 (0.562, 0.562)","0.955 (0.952, 0.952)","0.288 (0.278, 0.278)",Model
0.06,"0.813 (0.808, 0.808)","0.949 (0.946, 0.946)","0.563 (0.544, 0.544)","0.961 (0.958, 0.958)","0.316 (0.306, 0.306)",Model
0.07,"0.813 (0.808, 0.808)","0.954 (0.951, 0.951)","0.556 (0.536, 0.536)","0.967 (0.964, 0.964)","0.345 (0.331, 0.331)",Model
0.08,"0.813 (0.808, 0.808)","0.957 (0.954, 0.954)","0.548 (0.529, 0.529)","0.970 (0.967, 0.967)","0.367 (0.360, 0.360)",Model
0.09,"0.813 (0.808, 0.808)","0.959 (0.956, 0.956)","0.536 (0.518, 0.518)","0.973 (0.970, 0.970)","0.384 (0.377, 0.377)",Model
0.1,"0.813 (0.808, 0.808)","0.961 (0.958, 0.958)","0.531 (0.511, 0.511)","0.974 (0.972, 0.972)","0.398 (0.392, 0.392)",Model
0.11,"0.813 (0.808, 0.808)","0.962 (0.959, 0.959)","0.510 (0.491, 0.491)","0.976 (0.973, 0.973)","0.403 (0.395, 0.395)",Model
0.12,"0.813 (0.808, 0.808)","0.963 (0.960, 0.960)","0.494 (0.466, 0.466)","0.977 (0.975, 0.975)","0.411 (0.397, 0.397)",Model
0.13,"0.813 (0.808, 0.808)","0.963 (0.960, 0.960)","0.484 (0.459, 0.459)","0.978 (0.976, 0.976)","0.417 (0.407, 0.407)",Model
0.14,"0.813 (0.808, 0.808)","0.964 (0.961, 0.961)","0.474 (0.444, 0.444)","0.979 (0.977, 0.977)","0.426 (0.416, 0.416)",Model
0.15,"0.813 (0.808, 0.808)","0.965 (0.962, 0.962)","0.469 (0.440, 0.440)","0.980 (0.978, 0.978)","0.430 (0.419, 0.419)",Model
0.16,"0.813 (0.808, 0.808)","0.965 (0.962, 0.962)","0.458 (0.432, 0.432)","0.981 (0.978, 0.978)","0.435 (0.423, 0.423)",Model
0.17,"0.813 (0.808, 0.808)","0.966 (0.963, 0.963)","0.450 (0.427, 0.427)","0.982 (0.980, 0.980)","0.451 (0.441, 0.441)",Model
0.18,"0.813 (0.808, 0.808)","0.967 (0.964, 0.964)","0.443 (0.424, 0.424)","0.983 (0.981, 0.981)","0.461 (0.453, 0.453)",Model
0.19,"0.813 (0.808, 0.808)","0.967 (0.964, 0.964)","0.431 (0.409, 0.409)","0.984 (0.981, 0.981)","0.457 (0.449, 0.449)",Model
0.2,"0.813 (0.808, 0.808)","0.967 (0.964, 0.964)","0.421 (0.395, 0.395)","0.984 (0.982, 0.982)","0.457 (0.446, 0.446)",Model
0.21,"0.813 (0.808, 0.808)","0.968 (0.965, 0.965)","0.414 (0.384, 0.384)","0.985 (0.983, 0.983)","0.469 (0.461, 0.461)",Model
0.22,"0.813 (0.808, 0.808)","0.968 (0.965, 0.965)","0.404 (0.372, 0.372)","0.986 (0.984, 0.984)","0.476 (0.466, 0.466)",Model
0.23,"0.813 (0.808, 0.808)","0.968 (0.965, 0.965)","0.394 (0.369, 0.369)","0.986 (0.984, 0.984)","0.475 (0.460, 0.460)",Model
0.24,"0.813 (0.808, 0.808)","0.968 (0.965, 0.965)","0.388 (0.361, 0.361)","0.987 (0.984, 0.984)","0.481 (0.465, 0.465)",Model
0.25,"0.813 (0.808, 0.808)","0.968 (0.965, 0.965)","0.385 (0.356, 0.356)","0.987 (0.985, 0.985)","0.483 (0.467, 0.467)",Model
0.26,"0.813 (0.808, 0.808)","0.968 (0.965, 0.965)","0.373 (0.349, 0.349)","0.987 (0.985, 0.985)","0.488 (0.462, 0.462)",Model
0.27,"0.813 (0.808, 0.808)","0.968 (0.965, 0.965)","0.360 (0.338, 0.338)","0.987 (0.985, 0.985)","0.483 (0.454, 0.454)",Model
0.28,"0.813 (0.808, 0.808)","0.968 (0.964, 0.964)","0.351 (0.331, 0.331)","0.988 (0.985, 0.985)","0.479 (0.444, 0.444)",Model
0.29,"0.813 (0.808, 0.808)","0.968 (0.964, 0.964)","0.342 (0.318, 0.318)","0.988 (0.986, 0.986)","0.484 (0.450, 0.450)",Model
0.3,"0.813 (0.808, 0.808)","0.968 (0.965, 0.965)","0.337 (0.314, 0.314)","0.988 (0.986, 0.986)","0.483 (0.452, 0.452)",Model
0.31,"0.813 (0.808, 0.808)","0.968 (0.964, 0.964)","0.324 (0.294, 0.294)","0.988 (0.986, 0.986)","0.476 (0.445, 0.445)",Model
0.32,"0.813 (0.808, 0.808)","0.968 (0.964, 0.964)","0.318 (0.286, 0.286)","0.989 (0.986, 0.986)","0.475 (0.446, 0.446)",Model
0.33,"0.813 (0.808, 0.808)","0.968 (0.964, 0.964)","0.308 (0.278, 0.278)","0.989 (0.986, 0.986)","0.470 (0.443, 0.443)",Model
0.34,"0.813 (0.808, 0.808)","0.968 (0.964, 0.964)","0.305 (0.273, 0.273)","0.989 (0.987, 0.987)","0.469 (0.445, 0.445)",Model
0.35000000000000003,"0.813 (0.808, 0.808)","0.968 (0.965, 0.965)","0.305 (0.273, 0.273)","0.989 (0.987, 0.987)","0.485 (0.460, 0.460)",Model
0.36,"0.813 (0.808, 0.808)","0.969 (0.966, 0.966)","0.300 (0.269, 0.269)","0.990 (0.988, 0.988)","0.495 (0.470, 0.470)",Model
0.37,"0.813 (0.808, 0.808)","0.969 (0.966, 0.966)","0.297 (0.265, 0.265)","0.990 (0.988, 0.988)","0.503 (0.472, 0.472)",Model
0.38,"0.813 (0.808, 0.808)","0.969 (0.966, 0.966)","0.292 (0.262, 0.262)","0.991 (0.989, 0.989)","0.513 (0.475, 0.475)",Model
0.39,"0.813 (0.808, 0.808)","0.969 (0.966, 0.966)","0.290 (0.262, 0.262)","0.991 (0.989, 0.989)","0.513 (0.475, 0.475)",Model
0.4,"0.813 (0.808, 0.808)","0.970 (0.966, 0.966)","0.288 (0.258, 0.258)","0.991 (0.989, 0.989)","0.520 (0.480, 0.480)",Model
0.41000000000000003,"0.813 (0.808, 0.808)","0.970 (0.967, 0.967)","0.288 (0.258, 0.258)","0.992 (0.990, 0.990)","0.534 (0.489, 0.489)",Model
0.42,"0.813 (0.808, 0.808)","0.970 (0.966, 0.966)","0.280 (0.251, 0.251)","0.992 (0.990, 0.990)","0.534 (0.482, 0.482)",Model
0.43,"0.813 (0.808, 0.808)","0.970 (0.966, 0.966)","0.273 (0.240, 0.240)","0.992 (0.990, 0.990)","0.536 (0.481, 0.481)",Model
0.44,"0.813 (0.808, 0.808)","0.970 (0.967, 0.967)","0.273 (0.240, 0.240)","0.992 (0.991, 0.991)","0.547 (0.498, 0.498)",Model
0.45,"0.813 (0.808, 0.808)","0.970 (0.967, 0.967)","0.270 (0.240, 0.240)","0.992 (0.991, 0.991)","0.545 (0.495, 0.495)",Model
0.46,"0.813 (0.808, 0.808)","0.971 (0.967, 0.967)","0.262 (0.227, 0.227)","0.993 (0.991, 0.991)","0.554 (0.510, 0.510)",Model
0.47000000000000003,"0.813 (0.808, 0.808)","0.971 (0.967, 0.967)","0.259 (0.227, 0.227)","0.993 (0.991, 0.991)","0.559 (0.510, 0.510)",Model
0.48,"0.813 (0.808, 0.808)","0.971 (0.968, 0.968)","0.254 (0.224, 0.224)","0.993 (0.992, 0.992)","0.564 (0.516, 0.516)",Model
0.49,"0.813 (0.808, 0.808)","0.971 (0.968, 0.968)","0.251 (0.219, 0.219)","0.993 (0.992, 0.992)","0.561 (0.516, 0.516)",Model
0.5,"0.813 (0.808, 0.808)","0.971 (0.968, 0.968)","0.243 (0.210, 0.210)","0.994 (0.992, 0.992)","0.561 (0.517, 0.517)",Model
0.51,"0.813 (0.808, 0.808)","0.971 (0.968, 0.968)","0.240 (0.206, 0.206)","0.994 (0.992, 0.992)","0.576 (0.526, 0.526)",Model
0.52,"0.813 (0.808, 0.808)","0.971 (0.968, 0.968)","0.240 (0.206, 0.206)","0.994 (0.992, 0.992)","0.585 (0.529, 0.529)",Model
0.53,"0.813 (0.808, 0.808)","0.971 (0.968, 0.968)","0.235 (0.198, 0.198)","0.994 (0.992, 0.992)","0.586 (0.525, 0.525)",Model
0.54,"0.813 (0.808, 0.808)","0.971 (0.968, 0.968)","0.230 (0.191, 0.191)","0.995 (0.993, 0.993)","0.601 (0.535, 0.535)",Model
0.55,"0.813 (0.808, 0.808)","0.972 (0.969, 0.969)","0.230 (0.191, 0.191)","0.995 (0.993, 0.993)","0.619 (0.550, 0.550)",Model
0.56,"0.813 (0.808, 0.808)","0.972 (0.969, 0.969)","0.223 (0.184, 0.184)","0.995 (0.994, 0.994)","0.620 (0.550, 0.550)",Model
0.5700000000000001,"0.813 (0.808, 0.808)","0.971 (0.969, 0.969)","0.214 (0.171, 0.171)","0.995 (0.994, 0.994)","0.614 (0.550, 0.550)",Model
0.58,"0.813 (0.808, 0.808)","0.971 (0.969, 0.969)","0.209 (0.168, 0.168)","0.996 (0.994, 0.994)","0.619 (0.558, 0.558)",Model
0.59,"0.813 (0.808, 0.808)","0.972 (0.969, 0.969)","0.206 (0.163, 0.163)","0.996 (0.994, 0.994)","0.621 (0.567, 0.567)",Model
