Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.706 (0.693, 0.693)","0.022 (0.021, 0.021)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.021, 0.021)",Model
0.01,"0.706 (0.693, 0.693)","0.360 (0.344, 0.344)","0.850 (0.827, 0.827)","0.349 (0.332, 0.332)","0.028 (0.027, 0.027)",Model
0.02,"0.706 (0.693, 0.693)","0.694 (0.681, 0.681)","0.602 (0.566, 0.566)","0.696 (0.682, 0.682)","0.042 (0.041, 0.041)",Model
0.03,"0.706 (0.693, 0.693)","0.837 (0.829, 0.829)","0.451 (0.412, 0.412)","0.846 (0.836, 0.836)","0.061 (0.060, 0.060)",Model
0.04,"0.706 (0.693, 0.693)","0.900 (0.896, 0.896)","0.369 (0.343, 0.343)","0.912 (0.907, 0.907)","0.086 (0.080, 0.080)",Model
0.05,"0.706 (0.693, 0.693)","0.932 (0.930, 0.930)","0.291 (0.274, 0.274)","0.947 (0.943, 0.943)","0.109 (0.099, 0.099)",Model
0.06,"0.706 (0.693, 0.693)","0.948 (0.946, 0.946)","0.240 (0.216, 0.216)","0.964 (0.961, 0.961)","0.128 (0.118, 0.118)",Model
0.07,"0.706 (0.693, 0.693)","0.957 (0.956, 0.956)","0.207 (0.184, 0.184)","0.974 (0.971, 0.971)","0.147 (0.136, 0.136)",Model
0.08,"0.706 (0.693, 0.693)","0.963 (0.962, 0.962)","0.180 (0.151, 0.151)","0.980 (0.978, 0.978)","0.163 (0.143, 0.143)",Model
0.09,"0.706 (0.693, 0.693)","0.966 (0.966, 0.966)","0.158 (0.133, 0.133)","0.984 (0.983, 0.983)","0.180 (0.162, 0.162)",Model
0.1,"0.706 (0.693, 0.693)","0.968 (0.968, 0.968)","0.136 (0.116, 0.116)","0.987 (0.986, 0.986)","0.186 (0.168, 0.168)",Model
0.11,"0.706 (0.693, 0.693)","0.971 (0.970, 0.970)","0.133 (0.111, 0.111)","0.990 (0.989, 0.989)","0.212 (0.195, 0.195)",Model
0.12,"0.706 (0.693, 0.693)","0.972 (0.971, 0.971)","0.114 (0.099, 0.099)","0.991 (0.990, 0.990)","0.214 (0.202, 0.202)",Model
0.13,"0.706 (0.693, 0.693)","0.973 (0.972, 0.972)","0.107 (0.092, 0.092)","0.993 (0.992, 0.992)","0.239 (0.222, 0.222)",Model
0.14,"0.706 (0.693, 0.693)","0.974 (0.972, 0.972)","0.103 (0.087, 0.087)","0.993 (0.993, 0.993)","0.245 (0.225, 0.225)",Model
0.15,"0.706 (0.693, 0.693)","0.974 (0.973, 0.973)","0.100 (0.087, 0.087)","0.994 (0.993, 0.993)","0.258 (0.226, 0.226)",Model
0.16,"0.706 (0.693, 0.693)","0.975 (0.973, 0.973)","0.092 (0.081, 0.081)","0.994 (0.994, 0.994)","0.265 (0.230, 0.230)",Model
0.17,"0.706 (0.693, 0.693)","0.976 (0.974, 0.974)","0.089 (0.079, 0.079)","0.995 (0.995, 0.995)","0.302 (0.258, 0.258)",Model
0.18,"0.706 (0.693, 0.693)","0.976 (0.975, 0.975)","0.078 (0.069, 0.069)","0.996 (0.996, 0.996)","0.321 (0.282, 0.282)",Model
0.19,"0.706 (0.693, 0.693)","0.977 (0.976, 0.976)","0.078 (0.069, 0.069)","0.997 (0.997, 0.997)","0.368 (0.330, 0.330)",Model
0.2,"0.706 (0.693, 0.693)","0.977 (0.976, 0.976)","0.066 (0.063, 0.063)","0.997 (0.997, 0.997)","0.370 (0.362, 0.362)",Model
0.21,"0.706 (0.693, 0.693)","0.977 (0.976, 0.976)","0.059 (0.053, 0.053)","0.998 (0.998, 0.998)","0.380 (0.369, 0.369)",Model
0.22,"0.706 (0.693, 0.693)","0.977 (0.976, 0.976)","0.056 (0.047, 0.047)","0.998 (0.998, 0.998)","0.376 (0.350, 0.350)",Model
0.23,"0.706 (0.693, 0.693)","0.977 (0.976, 0.976)","0.048 (0.040, 0.040)","0.998 (0.998, 0.998)","0.356 (0.333, 0.333)",Model
0.24,"0.706 (0.693, 0.693)","0.977 (0.977, 0.977)","0.048 (0.040, 0.040)","0.998 (0.998, 0.998)","0.365 (0.333, 0.333)",Model
0.25,"0.706 (0.693, 0.693)","0.977 (0.977, 0.977)","0.044 (0.035, 0.035)","0.998 (0.998, 0.998)","0.358 (0.307, 0.307)",Model
0.26,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.044 (0.035, 0.035)","0.998 (0.998, 0.998)","0.371 (0.325, 0.325)",Model
0.27,"0.706 (0.693, 0.693)","0.977 (0.976, 0.976)","0.027 (0.016, 0.016)","0.998 (0.998, 0.998)","0.255 (0.183, 0.183)",Model
0.28,"0.706 (0.693, 0.693)","0.977 (0.976, 0.976)","0.027 (0.016, 0.016)","0.999 (0.999, 0.999)","0.291 (0.214, 0.214)",Model
0.29,"0.706 (0.693, 0.693)","0.977 (0.976, 0.976)","0.023 (0.011, 0.011)","0.999 (0.999, 0.999)","0.270 (0.183, 0.183)",Model
0.3,"0.706 (0.693, 0.693)","0.977 (0.976, 0.976)","0.019 (0.011, 0.011)","0.999 (0.999, 0.999)","0.247 (0.183, 0.183)",Model
0.31,"0.706 (0.693, 0.693)","0.977 (0.976, 0.976)","0.015 (0.011, 0.011)","0.999 (0.999, 0.999)","0.229 (0.200, 0.200)",Model
0.32,"0.706 (0.693, 0.693)","0.977 (0.976, 0.976)","0.015 (0.011, 0.011)","0.999 (0.999, 0.999)","0.244 (0.200, 0.200)",Model
0.33,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.015 (0.011, 0.011)","0.999 (0.999, 0.999)","0.261 (0.225, 0.225)",Model
0.34,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.015 (0.011, 0.011)","0.999 (0.999, 0.999)","0.283 (0.225, 0.225)",Model
0.35000000000000003,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.011 (0.011, 0.011)","0.999 (0.999, 0.999)","0.261 (0.225, 0.225)",Model
0.36,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.011 (0.011, 0.011)","0.999 (0.999, 0.999)","0.261 (0.225, 0.225)",Model
0.37,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.011 (0.011, 0.011)","0.999 (0.999, 0.999)","0.289 (0.267, 0.267)",Model
0.38,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.011 (0.011, 0.011)","0.999 (0.999, 0.999)","0.344 (0.267, 0.267)",Model
0.39,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.011 (0.011, 0.011)","0.999 (0.999, 0.999)","0.344 (0.267, 0.267)",Model
0.4,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.011 (0.011, 0.011)","0.999 (0.999, 0.999)","0.344 (0.267, 0.267)",Model
0.41000000000000003,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.011 (0.011, 0.011)","0.999 (0.999, 0.999)","0.344 (0.267, 0.267)",Model
0.42,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.011 (0.011, 0.011)","0.999 (0.999, 0.999)","0.344 (0.267, 0.267)",Model
0.43,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.011 (0.011, 0.011)","0.999 (0.999, 0.999)","0.344 (0.267, 0.267)",Model
0.44,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.011 (0.011, 0.011)","0.999 (0.999, 0.999)","0.344 (0.267, 0.267)",Model
0.45,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.008 (0.005, 0.005)","0.999 (0.999, 0.999)","0.178 (0.100, 0.100)",Model
0.46,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.008 (0.005, 0.005)","0.999 (0.999, 0.999)","0.178 (0.100, 0.100)",Model
0.47000000000000003,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.008 (0.005, 0.005)","0.999 (0.999, 0.999)","0.178 (0.100, 0.100)",Model
0.48,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.008 (0.005, 0.005)","1.000 (0.999, 0.999)","0.233 (0.100, 0.100)",Model
0.49,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.008 (0.005, 0.005)","1.000 (0.999, 0.999)","0.233 (0.100, 0.100)",Model
0.5,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.008 (0.005, 0.005)","1.000 (0.999, 0.999)","0.233 (0.100, 0.100)",Model
0.51,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.008 (0.005, 0.005)","1.000 (1.000, 1.000)","0.250 (0.125, 0.125)",Model
0.52,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.008 (0.005, 0.005)","1.000 (1.000, 1.000)","0.250 (0.125, 0.125)",Model
0.53,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.083 (0.000, 0.000)",Model
0.54,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.111 (0.000, 0.000)",Model
0.55,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.111 (0.000, 0.000)",Model
0.56,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5700000000000001,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.58,"0.706 (0.693, 0.693)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
