,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.8373080119523801,0.9076609379551412,0.5927209705372617,0.9263526023451965,0.32325141776937616,Full Dataset
1,0.2,0.8373080119523801,0.9411593358578503,0.4246100519930676,0.9718164986628266,0.4720616570327553,Full Dataset
2,0.30000000000000004,0.8373080119523801,0.9472764346053015,0.3396880415944541,0.983336761983131,0.547486033519553,Full Dataset
3,0.4,0.8373080119523801,0.9487328866880279,0.24610051993067592,0.9904340670643901,0.6042553191489362,Full Dataset
4,0.5,0.8373080119523801,0.9491212739100884,0.16984402079722705,0.9953713227730919,0.6853146853146853,Full Dataset
5,0.1,0.808648317753882,0.9061107574793126,0.5087719298245614,0.9289801413665433,0.29194630872483224,Test Dataset
6,0.2,0.808648317753882,0.9398472310630172,0.3508771929824561,0.973746213396163,0.43478260869565216,Test Dataset
7,0.30000000000000004,0.808648317753882,0.9449395289624443,0.26900584795321636,0.9838438236284079,0.48936170212765956,Test Dataset
8,0.4,0.808648317753882,0.9455760661998727,0.16374269005847952,0.990575563783238,0.5,Test Dataset
9,0.5,0.808648317753882,0.9449395289624443,0.07602339181286549,0.9949511948838775,0.4642857142857143,Test Dataset
