,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.7424432303719649,0.6815372513765592,0.6790123456790124,0.681683109473434,0.10970744680851063,Full Dataset
1,0.2,0.7424432303719649,0.8176199572985728,0.5699588477366255,0.8319267799833591,0.16380839739798936,Full Dataset
2,0.30000000000000004,0.7424432303719649,0.8608832453084616,0.49794238683127573,0.8818495186021633,0.19579288025889968,Full Dataset
3,0.4,0.7424432303719649,0.8823463310484324,0.4609053497942387,0.9066920242481873,0.222001982160555,Full Dataset
4,0.5,0.7424432303719649,0.8944825261265311,0.411522633744856,0.9223820278140973,0.23446658851113716,Full Dataset
