Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.704 (0.654, 0.654)","0.021 (0.017, 0.017)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.021 (0.017, 0.017)",Model
0.01,"0.704 (0.654, 0.654)","0.403 (0.373, 0.373)","0.803 (0.718, 0.718)","0.395 (0.363, 0.363)","0.028 (0.020, 0.020)",Model
0.02,"0.704 (0.654, 0.654)","0.704 (0.697, 0.697)","0.612 (0.590, 0.590)","0.706 (0.697, 0.697)","0.042 (0.032, 0.032)",Model
0.03,"0.704 (0.654, 0.654)","0.844 (0.844, 0.844)","0.456 (0.403, 0.403)","0.853 (0.849, 0.849)","0.061 (0.045, 0.045)",Model
0.04,"0.704 (0.654, 0.654)","0.912 (0.900, 0.900)","0.337 (0.343, 0.343)","0.924 (0.917, 0.917)","0.086 (0.067, 0.067)",Model
0.05,"0.704 (0.654, 0.654)","0.938 (0.930, 0.930)","0.241 (0.205, 0.205)","0.953 (0.950, 0.950)","0.099 (0.080, 0.080)",Model
0.06,"0.704 (0.654, 0.654)","0.952 (0.946, 0.946)","0.215 (0.194, 0.194)","0.968 (0.963, 0.963)","0.124 (0.118, 0.118)",Model
0.07,"0.704 (0.654, 0.654)","0.961 (0.953, 0.953)","0.173 (0.134, 0.134)","0.977 (0.973, 0.973)","0.139 (0.129, 0.129)",Model
0.08,"0.704 (0.654, 0.654)","0.965 (0.959, 0.959)","0.143 (0.090, 0.090)","0.983 (0.980, 0.980)","0.146 (0.118, 0.118)",Model
0.09,"0.704 (0.654, 0.654)","0.968 (0.961, 0.961)","0.126 (0.075, 0.075)","0.986 (0.983, 0.983)","0.159 (0.119, 0.119)",Model
0.1,"0.704 (0.654, 0.654)","0.970 (0.963, 0.963)","0.112 (0.065, 0.065)","0.988 (0.986, 0.986)","0.162 (0.088, 0.088)",Model
0.11,"0.704 (0.654, 0.654)","0.972 (0.965, 0.965)","0.112 (0.065, 0.065)","0.990 (0.989, 0.989)","0.191 (0.111, 0.111)",Model
0.12,"0.704 (0.654, 0.654)","0.973 (0.967, 0.967)","0.099 (0.065, 0.065)","0.992 (0.991, 0.991)","0.195 (0.130, 0.130)",Model
0.13,"0.704 (0.654, 0.654)","0.974 (0.968, 0.968)","0.087 (0.065, 0.065)","0.993 (0.993, 0.993)","0.198 (0.158, 0.158)",Model
0.14,"0.704 (0.654, 0.654)","0.975 (0.969, 0.969)","0.087 (0.065, 0.065)","0.994 (0.994, 0.994)","0.221 (0.188, 0.188)",Model
